date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-09-14,20.2,20.24,20.15,20.2,20.0678,31175.0,0.0,1.0
2018-09-17,20.13,20.13,20.08,20.08,19.9486,1106.0,0.0,1.0
2018-09-18,20.07,20.13,20.07,20.13,19.9982,12740.0,0.0,1.0
2018-09-19,20.11,20.11,20.11,20.11,19.9784,300.0,0.0,1.0
2018-09-20,20.09,20.14,20.05,20.14,20.0082,2276.0,0.0,1.0
2018-09-21,20.1488,20.1488,20.1488,20.1488,20.0169,186.0,0.0,1.0
2018-09-24,20.0475,20.0475,20.04,20.04,19.9088,509.0,0.0,1.0
2018-09-25,20.06,20.06,20.02,20.02,19.8889,2138.0,0.0,1.0
2018-09-26,19.95,20.04,19.91,19.91,19.7797,26151.0,0.0,1.0
2018-09-27,19.94,20.0,19.9062,19.91,19.7797,151911.0,0.0,1.0
2018-09-28,19.965,19.99,19.965,19.97,19.8393,4322.0,0.0,1.0
2018-10-01,20.04,20.04,19.95,19.95,19.8194,11562.0,0.0,1.0
2018-10-02,19.95,19.96,19.95,19.95,19.8194,9948.0,0.0,1.0
2018-10-03,19.98,20.01,19.95,19.95,19.8194,4827.0,0.0,1.0
2018-10-04,19.95,19.95,19.95,19.95,19.8194,0.0,0.0,1.0
2018-10-05,19.9,19.9,19.7999,19.8197,19.69,4454.0,0.0,1.0
2018-10-08,19.72,19.73,19.718,19.718,19.5889,4714.0,0.0,1.0
2018-10-09,19.78,19.79,19.7663,19.79,19.6605,2553.0,0.0,1.0
2018-10-10,19.53,19.53,19.333,19.333,19.2064,1887.0,0.0,1.0
2018-10-11,19.151,19.151,18.97,18.97,18.8458,620.0,0.0,1.0
2018-10-12,18.97,18.97,18.97,18.97,18.8458,0.0,0.0,1.0
2018-10-15,18.95,18.95,18.95,18.95,18.826,357.0,0.0,1.0
2018-10-16,19.14,19.2696,19.14,19.25,19.124,5494.0,0.0,1.0
2018-10-17,19.3093,19.3093,19.3093,19.3093,19.1829,356.0,0.0,1.0
2018-10-18,19.31,19.31,19.13,19.13,19.0048,4700.0,0.0,1.0
2018-10-19,19.25,19.25,19.1,19.1,18.975,3400.0,0.0,1.0
2018-10-22,19.1,19.1,19.1,19.1,18.975,1500.0,0.0,1.0
2018-10-23,18.69,18.69,18.68,18.68,18.5577,300.0,0.0,1.0
2018-10-24,18.85,18.87,18.85,18.87,18.7465,400.0,0.0,1.0
2018-10-25,18.75,18.75,18.75,18.75,18.6273,100.0,0.0,1.0
2018-10-26,18.52,18.52,18.52,18.52,18.3988,100.0,0.0,1.0
2018-10-29,18.8,18.84,18.8,18.84,18.7167,700.0,0.0,1.0
2018-10-30,18.84,18.84,18.84,18.84,18.7167,100.0,0.0,1.0
2018-10-31,19.13,19.13,19.13,19.13,19.0048,5800.0,0.0,1.0
2018-11-01,18.95,19.05,18.95,19.02,18.8955,11300.0,0.0,1.0
2018-11-02,19.02,19.02,19.02,19.02,18.8955,0.0,0.0,1.0
2018-11-05,19.19,19.19,19.19,19.19,19.0644,200.0,0.0,1.0
2018-11-06,19.3,19.3,19.3,19.3,19.1737,400.0,0.0,1.0
2018-11-07,19.59,19.59,19.59,19.59,19.4618,200.0,0.0,1.0
2018-11-08,19.58,19.58,19.58,19.58,19.4518,400.0,0.0,1.0
2018-11-09,19.58,19.58,19.58,19.58,19.4518,100.0,0.0,1.0
2018-11-12,19.58,19.58,19.58,19.58,19.4518,400.0,0.0,1.0
2018-11-13,19.22,19.51,19.22,19.42,19.2929,1900.0,0.0,1.0
2018-11-14,19.36,19.36,19.36,19.36,19.2333,500.0,0.0,1.0
2018-11-15,19.31,19.33,19.27,19.28,19.1538,3200.0,0.0,1.0
2018-11-16,19.28,19.28,19.28,19.28,19.1538,0.0,0.0,1.0
2018-11-19,19.62,19.62,19.51,19.51,19.3823,1000.0,0.0,1.0
2018-11-20,19.13,19.14,19.13,19.14,19.0147,2700.0,0.0,1.0
2018-11-21,19.13,19.22,19.13,19.22,19.0942,1100.0,0.0,1.0
2018-11-23,19.22,19.22,19.22,19.22,19.0942,0.0,0.0,1.0
2018-11-26,19.19,19.26,19.19,19.26,19.1339,400.0,0.0,1.0
2018-11-27,19.24,19.25,19.18,19.24,19.1141,8500.0,0.0,1.0
2018-11-28,19.31,19.52,19.28,19.52,19.3922,7300.0,0.0,1.0
2018-11-29,19.54,19.57,19.51,19.57,19.4419,7400.0,0.0,1.0
2018-11-30,19.72,19.72,19.72,19.72,19.5909,5000.0,0.0,1.0
2018-12-03,20.96,20.96,19.72,19.72,19.5909,6100.0,0.0,1.0
2018-12-04,19.79,19.79,19.36,19.36,19.2333,23800.0,0.0,1.0
2018-12-06,19.19,19.31,18.94,19.28,19.1538,10200.0,0.0,1.0
2018-12-07,19.1,19.1,19.09,19.09,18.965,2400.0,0.0,1.0
2018-12-10,18.75,18.75,18.75,18.75,18.6273,400.0,0.0,1.0
2018-12-11,18.99,19.09,18.95,19.09,18.965,258000.0,0.0,1.0
2018-12-12,19.15,19.16,19.11,19.15,19.0246,6400.0,0.0,1.0
2018-12-13,19.07,19.07,19.03,19.03,18.9054,400.0,0.0,1.0
2018-12-14,18.86,18.86,18.82,18.82,18.6968,600.0,0.0,1.0
2018-12-17,18.59,18.66,18.44,18.44,18.3193,6600.0,0.0,1.0
2018-12-18,18.41,18.41,18.25,18.25,18.1305,1700.0,0.0,1.0
2018-12-19,18.4,18.4,18.38,18.38,18.2597,400.0,0.0,1.0
2018-12-20,17.96,17.96,17.88,17.88,17.763,1300.0,0.0,1.0
2018-12-21,17.94,18.15,17.85,17.85,17.7332,4300.0,0.0,1.0
2018-12-24,17.4,17.4,17.33,17.33,17.2166,3100.0,0.0,1.0
2018-12-26,17.03,17.65,16.98,17.65,17.5345,10800.0,0.0,1.0
2018-12-27,17.53,17.61,17.37,17.54,17.4252,3600.0,0.0,1.0
2018-12-28,17.91,17.91,17.83,17.83,17.7133,500.0,0.0,1.0
2018-12-31,17.96,18.04,17.94,17.98,17.8623,5100.0,0.0,1.0
2019-01-02,17.88,17.88,17.82,17.82,17.7033,400.0,0.0,1.0
2019-01-03,17.68,17.68,17.62,17.62,17.5047,1200.0,0.0,1.0
2019-01-04,17.88,18.02,17.87,18.02,17.902,800.0,0.0,1.0
2019-01-07,18.03,18.2,18.03,18.08,17.9616,8300.0,0.0,1.0
2019-01-08,18.14,18.14,18.05,18.06,17.9418,1800.0,0.0,1.0
2019-01-09,18.26,18.26,18.26,18.26,18.1405,1400.0,0.0,1.0
2019-01-10,18.3,18.34,18.26,18.32,18.2001,3200.0,0.0,1.0
2019-01-11,18.31,18.36,18.3,18.36,18.2398,5600.0,0.0,1.0
2019-01-14,18.31,18.31,18.27,18.27,18.1504,2200.0,0.0,1.0
2019-01-15,18.39,18.41,18.39,18.41,18.2895,1200.0,0.0,1.0
2019-01-16,18.44,18.44,18.44,18.44,18.3193,2300.0,0.0,1.0
2019-01-17,18.59,18.59,18.58,18.58,18.4584,400.0,0.0,1.0
2019-01-18,18.86,18.86,18.82,18.82,18.6968,400.0,0.0,1.0
2019-01-22,18.85,18.85,18.77,18.77,18.6471,400.0,0.0,1.0
2019-01-23,18.89,18.93,18.83,18.91,18.7862,10000.0,0.0,1.0
2019-01-24,18.91,18.91,18.91,18.91,18.7862,0.0,0.0,1.0
2019-01-25,19.0,19.0,18.96,18.96,18.8359,3900.0,0.0,1.0
2019-01-28,18.9,18.91,18.81,18.91,18.7862,2200.0,0.0,1.0
2019-01-29,18.97,18.97,18.89,18.97,18.8458,6700.0,0.0,1.0
2019-01-30,18.99,19.19,18.99,19.17,19.0445,9000.0,0.0,1.0
2019-01-31,19.18,19.33,19.18,19.28,19.1538,5400.0,0.0,1.0
2019-02-01,19.27,19.29,19.27,19.27,19.1439,5700.0,0.0,1.0
2019-02-04,19.35,19.4,19.35,19.4,19.273,21500.0,0.0,1.0
2019-02-05,19.43,19.48,19.43,19.48,19.3525,1900.0,0.0,1.0
2019-02-06,19.73,19.73,19.41,19.44,19.3127,1200.0,0.0,1.0
2019-02-07,19.49,19.49,19.45,19.45,19.3227,2200.0,0.0,1.0
2019-02-08,19.61,19.66,19.61,19.65,19.5214,900.0,0.0,1.0
2019-02-11,19.8,19.8,19.66,19.66,19.5313,1000.0,0.0,1.0
2019-02-12,19.64,19.7,19.64,19.64,19.5114,13400.0,0.0,1.0
2019-02-13,19.65,19.67,19.6,19.66,19.5313,2700.0,0.0,1.0
2019-02-14,19.69,19.7,19.69,19.7,19.571,300.0,0.0,1.0
2019-02-15,19.75,19.76,19.75,19.75,19.6207,2800.0,0.0,1.0
2019-02-19,19.83,19.86,19.83,19.86,19.73,700.0,0.0,1.0
2019-02-20,19.83,19.84,19.75,19.84,19.7101,2500.0,0.0,1.0
2019-02-21,19.9,19.9,19.9,19.9,19.7697,700.0,0.0,1.0
2019-02-22,20.04,20.04,19.98,19.99,19.8591,7400.0,0.0,1.0
2019-02-25,19.97,20.05,19.93,19.97,19.8393,5100.0,0.0,1.0
2019-02-26,19.97,20.01,19.95,20.01,19.879,1500.0,0.0,1.0
2019-02-27,19.93,19.98,19.93,19.98,19.8492,800.0,0.0,1.0
2019-02-28,20.06,20.14,20.06,20.1,19.9684,8100.0,0.0,1.0
2019-03-01,19.87,20.09,19.87,20.09,19.9585,20600.0,0.0,1.0
2019-03-04,20.09,20.12,20.05,20.12,19.9883,21800.0,0.0,1.0
2019-03-05,20.14,20.17,20.12,20.13,19.9982,9100.0,0.0,1.0
2019-03-06,20.11,20.16,20.08,20.1,19.9684,5500.0,0.0,1.0
2019-03-07,20.09,20.13,20.06,20.06,19.9287,107900.0,0.0,1.0
2019-03-08,20.03,20.03,20.01,20.01,19.879,400.0,0.0,1.0
2019-03-11,20.14,20.25,20.12,20.23,20.0976,9400.0,0.0,1.0
2019-03-12,20.33,20.37,20.29,20.33,20.1969,29500.0,0.0,1.0
2019-03-13,20.4,20.41,20.37,20.37,20.2367,24100.0,0.0,1.0
2019-03-14,20.33,20.45,20.33,20.36,20.2267,5200.0,0.0,1.0
2019-03-15,20.4,20.5,20.4,20.43,20.2963,5100.0,0.0,1.0
2019-03-18,20.47,20.48,20.38,20.38,20.2466,1200.0,0.0,1.0
2019-03-19,20.36,20.37,20.27,20.27,20.1373,13900.0,0.0,1.0
2019-03-20,20.17,20.23,20.17,20.21,20.0777,3000.0,0.0,1.0
