date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-06-14,25.88,25.88,25.243,25.27,22.2069,1900.0,0.0,1.0
2016-06-15,25.32,25.37,25.314,25.37,22.2948,9600.0,0.0,1.0
2016-06-16,25.339,25.34,25.332,25.34,22.2685,1000.0,0.0,1.0
2016-06-17,25.4,25.45,25.364,25.45,22.3651,432600.0,0.0,1.0
2016-06-20,25.52,25.53,25.5,25.517,22.424,9100.0,0.0,1.0
2016-06-21,25.46,25.52,25.44,25.52,22.4266,15600.0,0.0,1.0
2016-06-22,25.6,25.6,25.54,25.56,22.4618,20200.0,0.0,1.0
2016-06-23,25.63,25.63,25.6,25.6,22.4969,5700.0,0.0,1.0
2016-06-24,24.4,25.505,24.4,25.365,22.2904,6500.0,0.0,1.0
2016-06-27,25.51,25.51,25.36,25.4,22.3212,7800.0,0.0,1.0
2016-06-28,25.52,25.58,25.52,25.56,22.4618,4000.0,0.0,1.0
2016-06-29,25.633,25.7,25.633,25.7,22.5848,6400.0,0.0,1.0
2016-06-30,25.729,25.75,25.7,25.75,22.6288,2000.0,0.0,1.0
2016-07-01,25.84,25.85,25.8,25.82,22.6903,11900.0,0.0,1.0
2016-07-05,25.84,25.85,25.68,25.7,22.5848,9500.0,0.0,1.0
2016-07-06,25.77,25.77,25.7,25.75,22.6288,6800.0,0.0,1.0
2016-07-07,25.76,25.77,25.735,25.735,22.6156,2900.0,0.0,1.0
2016-07-08,25.84,25.85,25.838,25.838,22.7061,8700.0,0.0,1.0
2016-07-11,25.84,25.84,25.794,25.794,22.6674,24800.0,0.0,1.0
2016-07-12,25.82,25.82,25.73,25.8,22.6727,3800.0,0.0,1.0
2016-07-13,25.83,25.83,25.768,25.82,22.6903,3100.0,0.0,1.0
2016-07-14,25.84,25.84,25.834,25.834,22.7026,3800.0,0.0,1.0
2016-07-15,25.79,25.8,25.75,25.75,22.6288,8700.0,0.0,1.0
2016-07-18,25.8,25.83,25.77,25.8,22.6727,13400.0,0.0,1.0
2016-07-19,25.69,25.72,25.66,25.71,22.5936,68700.0,0.0,1.0
2016-07-20,25.68,25.68,25.618,25.66,22.5497,99700.0,0.0,1.0
2016-07-21,25.647,25.67,25.625,25.668,22.5567,18900.0,0.0,1.0
2016-07-22,26.91,26.91,25.58,25.6,22.4969,7800.0,0.0,1.0
2016-07-25,25.53,25.67,25.53,25.63,22.5233,4300.0,0.0,1.0
2016-07-26,25.73,25.73,25.622,25.686,22.5725,11500.0,0.0,1.0
2016-07-27,25.76,25.78,25.708,25.76,22.6375,4400.0,0.0,1.0
2016-07-28,26.0,26.0,25.779,25.789,22.663,4100.0,0.0,1.0
2016-07-29,25.96,26.05,25.96,26.05,22.8924,1300.0,0.0,1.0
2016-08-01,26.03,26.03,25.75,25.83,22.7883,10000.0,0.102,1.0
2016-08-02,26.82,26.82,25.695,25.78,22.7442,8800.0,0.0,1.0
2016-08-03,25.709,25.719,25.709,25.719,22.6904,600.0,0.0,1.0
2016-08-04,25.84,25.878,25.68,25.82,22.7795,5100.0,0.0,1.0
2016-08-05,25.69,25.79,25.69,25.79,22.753,300.0,0.0,1.0
2016-08-08,25.79,25.79,25.79,25.79,22.753,0.0,0.0,1.0
