date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,6.5625,6.5625,6.25,6.25,6.25,2000.0,0.0,1.0
1999-08-10,6.5625,6.5625,5.9375,5.9375,5.9375,900.0,0.0,1.0
1999-08-11,5.9375,5.9375,5.9375,5.9375,5.9375,600.0,0.0,1.0
1999-08-12,5.9375,6.5625,5.9375,6.5625,6.5625,1900.0,0.0,1.0
1999-08-13,6.5625,6.5625,5.7813,5.7813,5.7813,2300.0,0.0,1.0
1999-08-16,6.5625,6.5625,5.625,5.625,5.625,17400.0,0.0,1.0
1999-08-17,5.625,5.7813,5.4688,5.625,5.625,5900.0,0.0,1.0
1999-08-18,5.625,5.625,5.4688,5.4688,5.4688,3500.0,0.0,1.0
1999-08-19,5.625,5.7813,5.4688,5.7813,5.7813,2500.0,0.0,1.0
1999-08-20,5.7813,5.7813,5.3125,5.7813,5.7813,8700.0,0.0,1.0
1999-08-23,5.1563,5.625,5.1563,5.625,5.625,4200.0,0.0,1.0
1999-08-24,5.7813,5.9375,5.625,5.7813,5.7813,2500.0,0.0,1.0
1999-08-25,5.8594,6.0938,5.3125,5.9375,5.9375,8200.0,0.0,1.0
1999-08-26,6.0938,6.25,5.625,5.625,5.625,9800.0,0.0,1.0
1999-08-27,6.25,6.4063,5.625,6.0938,6.0938,10800.0,0.0,1.0
1999-08-30,6.0156,6.0156,5.625,5.9375,5.9375,6100.0,0.0,1.0
1999-08-31,5.625,5.9375,5.625,5.625,5.625,1200.0,0.0,1.0
1999-09-01,5.625,5.7813,5.3125,5.4688,5.4688,5500.0,0.0,1.0
1999-09-02,5.3906,5.4688,5.3125,5.3125,5.3125,4600.0,0.0,1.0
1999-09-03,5.625,5.625,5.3125,5.3125,5.3125,2100.0,0.0,1.0
1999-09-07,5.3125,5.9375,5.3125,5.625,5.625,2000.0,0.0,1.0
1999-09-08,5.625,5.625,5.4688,5.4688,5.4688,2500.0,0.0,1.0
1999-09-09,5.5469,5.9375,5.4688,5.9375,5.9375,3000.0,0.0,1.0
1999-09-10,5.4688,6.0938,5.4688,5.9375,5.9375,400.0,0.0,1.0
1999-09-13,5.4688,5.625,5.4688,5.4688,5.4688,700.0,0.0,1.0
1999-09-14,5.7031,5.7031,5.4688,5.625,5.625,500.0,0.0,1.0
1999-09-15,5.4688,5.625,5.4688,5.4688,5.4688,800.0,0.0,1.0
1999-09-16,5.4688,5.625,5.3125,5.3125,5.3125,1600.0,0.0,1.0
1999-09-17,5.3125,5.625,5.1563,5.1563,5.1563,9100.0,0.0,1.0
1999-09-20,5.3906,5.625,5.1563,5.1563,5.1563,1300.0,0.0,1.0
1999-09-21,5.1563,5.4688,5.0,5.3125,5.3125,3600.0,0.0,1.0
1999-09-22,5.0,5.3125,5.0,5.0,5.0,4000.0,0.0,1.0
1999-09-23,5.2344,5.4688,5.0,5.4688,5.4688,3300.0,0.0,1.0
1999-09-24,5.1563,5.1563,5.0,5.1563,5.1563,3500.0,0.0,1.0
1999-09-27,5.1563,5.3125,5.0,5.1563,5.1563,5600.0,0.0,1.0
1999-09-28,5.3125,5.4688,5.0,5.0,5.0,3800.0,0.0,1.0
1999-09-29,5.3125,5.4688,5.0,5.0,5.0,3300.0,0.0,1.0
1999-09-30,5.2344,5.2344,4.6875,4.9219,4.9219,20400.0,0.0,1.0
1999-10-01,4.8438,5.1563,4.6875,5.1563,5.1563,2700.0,0.0,1.0
1999-10-04,5.0,5.3125,4.6875,4.6875,4.6875,8600.0,0.0,1.0
1999-10-05,4.6875,4.6875,4.375,4.375,4.375,4000.0,0.0,1.0
