date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-04-19,1.5,1.5,1.5,1.5,1.5,1000.0,0.0,1.0
2000-04-20,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-04-24,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-04-25,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-04-26,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-04-27,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-04-28,1.4063,1.4063,1.4063,1.4063,1.4063,3700.0,0.0,1.0
2000-05-01,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-02,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-03,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-04,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-05,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-08,1.4063,1.4063,1.4063,1.4063,1.4063,4700.0,0.0,1.0
2000-05-09,1.5469,1.5469,1.5469,1.5469,1.5469,4500.0,0.0,1.0
2000-05-10,1.5469,1.5469,1.5469,1.5469,1.5469,0.0,0.0,1.0
2000-05-11,1.5,1.5,1.5,1.5,1.5,500.0,0.0,1.0
2000-05-12,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2000-05-15,1.4063,1.4063,1.4063,1.4063,1.4063,3000.0,0.0,1.0
2000-05-16,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-17,1.4063,1.4063,1.4063,1.4063,1.4063,900.0,0.0,1.0
2000-05-18,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-19,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-22,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-23,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-24,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-25,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-26,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-30,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-05-31,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-01,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-02,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-05,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-06,1.4063,1.4063,1.4063,1.4063,1.4063,900.0,0.0,1.0
2000-06-07,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-08,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-09,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-12,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-13,1.4063,1.4063,1.4063,1.4063,1.4063,3800.0,0.0,1.0
2000-06-14,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-15,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-16,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-19,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-20,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-21,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-22,1.4063,1.4063,1.4063,1.4063,1.4063,9000.0,0.0,1.0
2000-06-23,1.4063,1.4063,1.4063,1.4063,1.4063,900.0,0.0,1.0
2000-06-26,1.4063,1.4063,1.4063,1.4063,1.4063,15000.0,0.0,1.0
2000-06-27,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-28,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-29,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-06-30,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-07-03,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-07-05,1.4063,1.4063,1.4063,1.4063,1.4063,1000.0,0.0,1.0
2000-07-06,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-07-07,1.4063,1.4063,1.4063,1.4063,1.4063,0.0,0.0,1.0
2000-07-10,1.25,1.25,1.25,1.25,1.25,900.0,0.0,1.0
2000-07-11,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2000-07-12,1.4531,1.4531,1.4531,1.4531,1.4531,400.0,0.0,1.0
2000-07-13,1.4531,1.4531,1.4531,1.4531,1.4531,0.0,0.0,1.0
2000-07-14,1.25,1.25,1.0,1.0,1.0,7000.0,0.0,1.0
2000-07-17,1.0,1.0625,1.0,1.0625,1.0625,12100.0,0.0,1.0
2000-07-18,1.0625,1.0625,1.0625,1.0625,1.0625,0.0,0.0,1.0
2000-07-19,1.0625,1.0625,1.0625,1.0625,1.0625,0.0,0.0,1.0
2000-07-20,1.0625,1.0625,1.0625,1.0625,1.0625,0.0,0.0,1.0
2000-07-21,1.0625,1.0625,1.0625,1.0625,1.0625,0.0,0.0,1.0
2000-07-24,0.875,0.875,0.875,0.875,0.875,6500.0,0.0,1.0
2000-07-25,0.875,0.875,0.875,0.875,0.875,0.0,0.0,1.0
2000-07-26,1.0,1.0,1.0,1.0,1.0,900.0,0.0,1.0
2000-07-27,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2000-07-28,0.625,0.625,0.625,0.625,0.625,7500.0,0.0,1.0
2000-07-31,0.625,0.625,0.625,0.625,0.625,0.0,0.0,1.0
2000-08-01,0.625,0.625,0.625,0.625,0.625,0.0,0.0,1.0
2000-08-02,0.625,0.625,0.625,0.625,0.625,0.0,0.0,1.0
2000-08-03,0.625,0.625,0.625,0.625,0.625,0.0,0.0,1.0
2000-08-04,0.625,0.625,0.625,0.625,0.625,0.0,0.0,1.0
2000-08-07,1.0,1.0,1.0,1.0,1.0,400.0,0.0,1.0
2000-08-08,0.9844,1.0,0.9844,1.0,1.0,600.0,0.0,1.0
2000-08-09,0.7813,0.7813,0.7813,0.7813,0.7813,300.0,0.0,1.0
2000-08-10,0.7813,0.7813,0.7813,0.7813,0.7813,0.0,0.0,1.0
2000-08-11,0.7813,0.7813,0.7813,0.7813,0.7813,0.0,0.0,1.0
2000-08-14,0.6875,0.6875,0.6875,0.6875,0.6875,1000.0,0.0,1.0
2000-08-15,0.6875,0.6875,0.6875,0.6875,0.6875,0.0,0.0,1.0
2000-08-16,0.9844,1.875,0.9844,1.75,1.75,56100.0,0.0,1.0
2000-08-17,1.7344,1.9063,1.5,1.625,1.625,97500.0,0.0,1.0
2000-08-18,1.7188,1.7188,1.2813,1.4688,1.4688,45300.0,0.0,1.0
2000-08-21,1.4688,2.3125,1.2813,2.1563,2.1563,289300.0,0.0,1.0
2000-08-22,2.1563,2.1563,1.7188,1.7188,1.7188,86500.0,0.0,1.0
2000-08-23,1.75,1.75,1.25,1.5,1.5,44500.0,0.0,1.0
2000-08-24,1.4375,1.75,1.1875,1.5,1.5,45300.0,0.0,1.0
2000-08-25,1.5,1.5625,1.4688,1.5,1.5,23100.0,0.0,1.0
2000-08-28,1.5625,1.9688,1.5469,1.9375,1.9375,116000.0,0.0,1.0
2000-08-29,1.9063,1.9375,1.8438,1.8438,1.8438,30800.0,0.0,1.0
2000-08-30,1.9063,1.9375,1.75,1.8438,1.8438,25500.0,0.0,1.0
2000-08-31,1.875,1.9063,1.8125,1.9063,1.9063,23000.0,0.0,1.0
2000-09-01,1.9063,1.9375,1.8438,1.9375,1.9375,17800.0,0.0,1.0
2000-09-05,2.0,2.3125,2.0,2.25,2.25,182000.0,0.0,1.0
2000-09-06,2.3125,2.3125,2.0,2.0625,2.0625,84800.0,0.0,1.0
2000-09-07,2.0625,2.0625,1.9063,2.0313,2.0313,11900.0,0.0,1.0
