date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-04-06,2.3684,2.6316,2.2368,2.2368,0.6558,16700.0,0.0,1.0
2000-04-07,2.3684,2.6316,2.3684,2.6316,0.7715,4500.0,0.0,1.0
2000-04-10,2.2368,2.2368,2.1053,2.1053,0.6172,3800.0,0.0,1.0
2000-04-11,2.1053,2.1053,2.1053,2.1053,0.6172,0.0,0.0,1.0
2000-04-12,2.1217,2.1217,2.1217,2.1217,0.622,3800.0,0.0,1.0
2000-04-13,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-14,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-17,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-18,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-19,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-20,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-24,2.1217,2.1217,2.1217,2.1217,0.622,0.0,0.0,1.0
2000-04-25,2.7303,2.7303,2.7303,2.7303,0.8004,3800.0,0.0,1.0
2000-04-26,2.1053,2.1053,2.1053,2.1053,0.6172,700.0,0.0,1.0
2000-04-27,2.1053,2.1053,2.1053,2.1053,0.6172,0.0,0.0,1.0
2000-04-28,2.2368,2.2368,2.2368,2.2368,0.6558,3800.0,0.0,1.0
2000-05-01,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-05-02,2.2368,2.2368,2.2368,2.2368,0.6558,3800.0,0.0,1.0
2000-05-03,2.2368,2.2368,2.2368,2.2368,0.6558,300.0,0.0,1.0
2000-05-04,2.2368,2.2368,2.2368,2.2368,0.6558,5700.0,0.0,1.0
2000-05-05,2.2368,2.2368,2.2368,2.2368,0.6558,1500.0,0.0,1.0
2000-05-08,2.1711,2.1711,2.1711,2.1711,0.6365,300.0,0.0,1.0
2000-05-09,2.1711,2.1711,2.1711,2.1711,0.6365,3400.0,0.0,1.0
2000-05-10,2.1711,2.1711,2.1711,2.1711,0.6365,0.0,0.0,1.0
2000-05-11,2.1382,2.1382,2.1382,2.1382,0.6268,300.0,0.0,1.0
2000-05-12,2.1382,2.1382,2.1382,2.1382,0.6268,0.0,0.0,1.0
2000-05-15,2.1382,2.1382,2.1382,2.1382,0.6268,0.0,0.0,1.0
2000-05-16,2.1382,2.1382,2.1382,2.1382,0.6268,4100.0,0.0,1.0
2000-05-17,2.1382,2.1382,2.1382,2.1382,0.6268,0.0,0.0,1.0
2000-05-18,2.1711,2.1711,2.1711,2.1711,0.6365,7600.0,0.0,1.0
2000-05-19,2.1711,2.1711,2.1711,2.1711,0.6365,0.0,0.0,1.0
2000-05-22,2.1711,2.1711,2.1711,2.1711,0.6365,0.0,0.0,1.0
2000-05-23,2.1711,2.1711,2.1711,2.1711,0.6365,0.0,0.0,1.0
2000-05-24,2.1382,2.2368,2.1382,2.2039,0.6461,68400.0,0.0,1.0
2000-05-25,2.1711,2.2368,2.1711,2.2368,0.6558,24700.0,0.0,1.0
2000-05-26,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-05-30,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-05-31,2.2697,2.2697,2.2697,2.2697,0.6654,700.0,0.0,1.0
2000-06-01,2.2039,2.2368,2.2039,2.2368,0.6558,1100.0,0.0,1.0
2000-06-02,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-05,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-06,2.2039,2.2039,2.2039,2.2039,0.6461,2200.0,0.0,1.0
2000-06-07,2.2368,2.2368,2.2368,2.2368,0.6558,4100.0,0.0,1.0
2000-06-08,2.2697,2.2697,2.2368,2.2368,0.6558,4100.0,0.0,1.0
2000-06-09,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-12,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-13,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-14,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-15,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-16,2.2039,2.2039,2.2039,2.2039,0.6461,700.0,0.0,1.0
2000-06-19,2.2039,2.2368,2.2039,2.2368,0.6558,14800.0,0.0,1.0
2000-06-20,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-21,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-22,2.1711,2.2368,2.1711,2.2368,0.6558,3400.0,0.0,1.0
2000-06-23,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-26,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-27,2.2368,2.2368,2.2368,2.2368,0.6558,0.0,0.0,1.0
2000-06-28,2.1875,2.1875,2.1875,2.1875,0.6413,16300.0,0.0,1.0
2000-06-29,2.1875,2.1875,2.1875,2.1875,0.6413,0.0,0.0,1.0
2000-06-30,2.1875,2.1875,2.1875,2.1875,0.6413,0.0,0.0,1.0
2000-07-03,2.1875,2.1875,2.1875,2.1875,0.6413,0.0,0.0,1.0
2000-07-05,2.2697,2.2697,2.2697,2.2697,0.6654,3400.0,0.0,1.0
2000-07-06,2.2697,2.2697,2.2697,2.2697,0.6654,0.0,0.0,1.0
2000-07-07,2.2697,2.2697,2.2697,2.2697,0.6654,0.0,0.0,1.0
2000-07-10,2.2697,2.2697,2.2697,2.2697,0.6654,0.0,0.0,1.0
2000-07-11,2.2697,2.2697,2.2697,2.2697,0.6654,3000.0,0.0,1.0
2000-07-12,2.3684,2.4013,2.3355,2.3684,0.6944,42900.0,0.0,1.0
2000-07-13,2.4013,2.4013,2.3684,2.3684,0.6944,105200.0,0.0,1.0
2000-07-14,2.3684,2.3684,2.3684,2.3684,0.6944,0.0,0.0,1.0
2000-07-17,2.3684,2.3684,2.3684,2.3684,0.6944,0.0,0.0,1.0
2000-07-18,2.3684,2.3684,2.3684,2.3684,0.6944,0.0,0.0,1.0
2000-07-19,2.3026,2.3026,2.3026,2.3026,0.6751,3400.0,0.0,1.0
2000-07-20,2.3026,2.3026,2.3026,2.3026,0.6751,0.0,0.0,1.0
