date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,28.125,32.5,27.5,31.25,31.25,2700.0,0.0,1.0
1999-08-10,32.5,32.5,27.5,27.5,27.5,800.0,0.0,1.0
1999-08-11,27.5,27.5,27.5,27.5,27.5,0.0,0.0,1.0
1999-08-12,30.0,32.5,30.0,32.5,32.5,1300.0,0.0,1.0
1999-08-13,30.0,37.5,30.0,35.0,35.0,900.0,0.0,1.0
1999-08-16,33.125,33.75,30.0,32.5,32.5,2600.0,0.0,1.0
1999-08-17,31.25,31.25,31.25,31.25,31.25,700.0,0.0,1.0
1999-08-18,32.5,34.375,31.25,34.375,34.375,200.0,0.0,1.0
1999-08-19,34.375,34.375,34.375,34.375,34.375,0.0,0.0,1.0
1999-08-20,34.375,35.0,34.0625,34.375,34.375,2900.0,0.0,1.0
1999-08-23,36.875,40.0,36.25,39.375,39.375,2100.0,0.0,1.0
1999-08-24,40.0,50.0,40.0,47.5,47.5,9400.0,0.0,1.0
1999-08-25,50.0,55.0,45.0,50.625,50.625,15400.0,0.0,1.0
1999-08-26,55.0,60.0,52.5,58.75,58.75,18500.0,0.0,1.0
1999-08-27,59.375,62.5,53.75,53.75,53.75,27500.0,0.0,1.0
1999-08-30,52.5,53.75,42.5,48.75,48.75,9400.0,0.0,1.0
1999-08-31,52.1875,53.75,50.0,52.5,52.5,5000.0,0.0,1.0
1999-09-01,55.0,56.875,51.25,51.25,51.25,7000.0,0.0,1.0
1999-09-02,49.6875,50.0,48.75,50.0,50.0,1600.0,0.0,1.0
1999-09-03,50.0,50.0,45.0,48.125,48.125,4200.0,0.0,1.0
1999-09-07,49.375,51.25,46.25,48.125,48.125,4300.0,0.0,1.0
1999-09-08,45.625,48.125,42.5,46.25,46.25,9300.0,0.0,1.0
1999-09-09,51.25,53.75,46.875,53.75,53.75,4200.0,0.0,1.0
1999-09-10,49.375,67.5,49.0625,66.25,66.25,18700.0,0.0,1.0
1999-09-13,62.5,65.0,60.0,65.0,65.0,7600.0,0.0,1.0
1999-09-14,63.125,65.0,58.75,61.875,61.875,3100.0,0.0,1.0
1999-09-15,63.125,63.75,59.375,61.875,61.875,2700.0,0.0,1.0
1999-09-16,57.5,62.5,52.5,62.5,62.5,3100.0,0.0,1.0
1999-09-17,61.25,67.5,61.25,67.5,67.5,2700.0,0.0,1.0
1999-09-20,71.25,74.375,68.75,74.375,74.375,11900.0,0.0,1.0
1999-09-21,77.5,77.5,70.625,71.25,71.25,11100.0,0.0,1.0
1999-09-22,73.75,75.0,70.0,75.0,75.0,6500.0,0.0,1.0
