date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,3.5938,3.75,3.2813,3.75,3.75,2300.0,0.0,1.0
1999-08-10,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-11,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-12,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-13,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-16,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-17,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-18,4.375,4.6875,4.375,4.6875,4.6875,1200.0,0.0,1.0
1999-08-19,4.6875,4.6875,4.6875,4.6875,4.6875,0.0,0.0,1.0
1999-08-20,4.0625,4.0625,3.75,3.75,3.75,800.0,0.0,1.0
1999-08-23,3.75,3.75,3.75,3.75,3.75,0.0,0.0,1.0
1999-08-24,3.75,3.75,3.75,3.75,3.75,200.0,0.0,1.0
1999-08-25,3.75,3.75,3.75,3.75,3.75,400.0,0.0,1.0
1999-08-26,3.75,3.75,3.4375,3.4375,3.4375,1600.0,0.0,1.0
1999-08-27,3.4375,3.4375,3.4375,3.4375,3.4375,300.0,0.0,1.0
1999-08-30,3.4375,3.4375,3.4375,3.4375,3.4375,0.0,0.0,1.0
1999-08-31,3.75,3.9063,3.75,3.9063,3.9063,2400.0,0.0,1.0
1999-09-01,3.9063,3.9063,3.9063,3.9063,3.9063,0.0,0.0,1.0
1999-09-02,3.9063,3.9063,3.9063,3.9063,3.9063,0.0,0.0,1.0
1999-09-03,3.9063,3.9063,3.9063,3.9063,3.9063,0.0,0.0,1.0
1999-09-07,3.9063,3.9063,3.9063,3.9063,3.9063,0.0,0.0,1.0
1999-09-08,4.2188,4.375,4.2188,4.375,4.375,2500.0,0.0,1.0
1999-09-09,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
1999-09-10,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
1999-09-13,4.375,4.375,4.375,4.375,4.375,1500.0,0.0,1.0
1999-09-14,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
1999-09-15,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
1999-09-16,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
1999-09-17,4.375,4.375,4.375,4.375,4.375,0.0,0.0,1.0
