date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,11.6667,11.6667,11.6667,11.6667,7.0446,1300.0,0.0,1.0
1999-08-10,11.5833,11.5833,11.5833,11.5833,6.9943,300.0,0.0,1.0
1999-08-11,11.4167,11.6667,11.4167,11.6667,7.0446,900.0,0.0,1.0
1999-08-12,11.75,12.0,11.75,12.0,7.2459,10000.0,0.0,1.0
1999-08-13,12.0833,12.0833,11.8333,12.0,7.2459,3600.0,0.0,1.0
1999-08-16,11.75,11.8333,11.6667,11.8333,7.1453,5700.0,0.0,1.0
1999-08-17,11.75,11.8333,11.5,11.5833,6.9943,1800.0,0.0,1.0
1999-08-18,11.5833,11.5833,11.5833,11.5833,6.9943,0.0,0.0,1.0
1999-08-19,11.5833,11.5833,11.5833,11.5833,6.9943,0.0,0.0,1.0
1999-08-20,11.5833,11.5833,11.5,11.5833,6.9943,700.0,0.0,1.0
1999-08-23,11.4167,11.4167,10.9167,11.0,6.6421,12300.0,0.0,1.0
1999-08-24,10.9583,10.9583,10.6667,10.9167,6.5917,19000.0,0.0,1.0
1999-08-25,10.9167,10.9583,10.9167,10.9583,6.6617,400.0,0.0733,1.0
1999-08-26,11.0,11.0,11.0,11.0,6.687,300.0,0.0,1.0
1999-08-27,10.9167,11.0,10.9167,11.0,6.687,2500.0,0.0,1.0
1999-08-30,11.0,11.0,11.0,11.0,6.687,1200.0,0.0,1.0
1999-08-31,11.0,11.0,10.9167,10.9583,6.6617,4800.0,0.0,1.0
1999-09-01,10.8333,10.9167,10.75,10.9167,6.6363,3300.0,0.0,1.0
1999-09-02,10.9167,10.9167,10.9167,10.9167,6.6363,100.0,0.0,1.0
1999-09-03,10.9583,10.9583,10.8333,10.875,6.611,4800.0,0.0,1.0
1999-09-07,10.8333,10.875,10.8333,10.875,6.611,5700.0,0.0,1.0
1999-09-08,10.8333,10.9167,10.8333,10.9167,6.6363,1000.0,0.0,1.0
1999-09-09,10.8333,10.8333,10.8333,10.8333,6.5857,1800.0,0.0,1.0
1999-09-10,10.8333,10.9167,10.5833,10.6667,6.4843,14100.0,0.0,1.0
1999-09-13,10.5833,10.8333,10.5,10.8333,6.5857,7900.0,0.0,1.0
1999-09-14,10.75,10.75,10.75,10.75,6.535,300.0,0.0,1.0
1999-09-15,10.75,10.9167,10.75,10.9167,6.6363,3600.0,0.0,1.0
1999-09-16,10.9583,10.9583,10.9583,10.9583,6.6617,1200.0,0.0,1.0
1999-09-17,10.8333,10.8333,10.5833,10.6667,6.4843,19900.0,0.0,1.0
1999-09-20,10.5833,10.75,10.5833,10.6667,6.4843,2700.0,0.0,1.0
1999-09-21,10.7083,10.7083,10.7083,10.7083,6.5097,1500.0,0.0,1.0
1999-09-22,10.7083,10.7083,10.6667,10.6667,6.4843,16000.0,0.0,1.0
1999-09-23,10.6667,10.6667,10.5833,10.5833,6.4337,600.0,0.0,1.0
1999-09-24,10.6667,10.6667,10.6667,10.6667,6.4843,1000.0,0.0,1.0
1999-09-27,10.5833,10.6667,10.5833,10.6667,6.4843,900.0,0.0,1.0
1999-09-28,10.6667,10.6667,10.6667,10.6667,6.4843,0.0,0.0,1.0
1999-09-29,10.6667,10.6667,10.6667,10.6667,6.4843,0.0,0.0,1.0
1999-09-30,10.75,10.9167,10.75,10.9167,6.6363,900.0,0.0,1.0
1999-10-01,10.9167,10.9167,10.8333,10.9167,6.6363,2400.0,0.0,1.0
1999-10-04,10.9583,10.9583,10.75,10.9167,6.6363,900.0,0.0,1.0
1999-10-05,10.9167,10.9167,10.9167,10.9167,6.6363,2100.0,0.0,1.0
1999-10-06,10.75,10.9167,10.4167,10.5833,6.4337,7200.0,0.0,1.0
1999-10-07,10.6667,10.8333,10.6667,10.8333,6.5857,1300.0,0.0,1.0
1999-10-08,10.6667,10.8333,10.6667,10.6667,6.4843,3600.0,0.0,1.0
1999-10-11,10.75,10.75,10.5833,10.5833,6.4337,400.0,0.0,1.0
1999-10-12,10.75,10.75,10.5,10.5833,6.4337,5700.0,0.0,1.0
1999-10-13,10.6667,10.6667,10.6667,10.6667,6.4843,300.0,0.0,1.0
