date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-11-09,4.2553,4.4626,4.0971,4.4026,3.9816,1966400.0,0.0,1.0
2007-11-12,4.3644,4.4108,4.3153,4.3999,3.9791,360200.0,0.0,1.0
2007-11-13,4.3781,4.5417,4.3781,4.5417,4.1074,117600.0,0.0,1.0
2007-11-14,4.5417,4.5417,4.5035,4.5281,4.0951,707800.0,0.0,1.0
2007-11-15,4.5308,4.5336,4.4408,4.4735,4.0457,98200.0,0.0,1.0
2007-11-16,4.4544,4.5008,4.4463,4.4954,4.0655,49400.0,0.0,1.0
2007-11-19,4.4599,4.4845,4.4517,4.4517,4.026,8000.0,0.0,1.0
2007-11-20,4.4599,4.4599,4.4053,4.4299,4.0063,54600.0,0.0,1.0
2007-11-21,4.4354,4.4354,4.3781,4.3808,3.9619,18600.0,0.0,1.0
2007-11-23,4.3917,4.3944,4.3617,4.3863,3.9668,19600.0,0.0,1.0
2007-11-26,4.3917,4.4053,4.3781,4.3917,3.9717,28200.0,0.0,1.0
2007-11-27,4.3917,4.4299,4.3672,4.389,3.9693,79000.0,0.0,1.0
2007-11-28,4.4135,4.4326,4.3917,4.3917,3.9717,33200.0,0.0,1.0
2007-11-29,4.419,4.4463,4.4053,4.4463,4.0211,50200.0,0.0,1.0
2007-11-30,4.4872,4.5008,4.449,4.5008,4.0704,15600.0,0.0,1.0
2007-12-03,4.5008,4.5008,4.4954,4.5008,4.0704,5800.0,0.0,1.0
2007-12-04,4.5008,4.5035,4.4735,4.5008,4.0704,10600.0,0.0,1.0
2007-12-05,4.5035,4.5035,4.3644,4.4053,3.9841,26000.0,0.0,1.0
2007-12-06,4.4081,4.4244,4.4053,4.4108,3.989,27800.0,0.0,1.0
2007-12-07,4.4053,4.4435,4.3508,4.3808,3.9619,31400.0,0.0,1.0
2007-12-10,4.3944,4.4299,4.3944,4.419,3.9964,75800.0,0.0,1.0
2007-12-11,4.419,4.419,4.3099,4.3781,3.9594,136000.0,0.0,1.0
2007-12-12,4.3644,4.3917,4.2962,4.2962,3.8854,75000.0,0.0,1.0
2007-12-13,4.269,4.299,4.1598,4.1626,3.7645,67000.0,0.0,1.0
2007-12-14,4.1735,4.2553,4.1626,4.2553,3.8484,82800.0,0.0,1.0
2007-12-17,4.2553,4.2799,4.2553,4.2608,3.8533,24000.0,0.0,1.0
