date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-08-25,56.54,56.54,56.54,56.54,52.6435,100.0,0.0,1.0
2016-08-26,56.54,56.54,56.54,56.54,52.6435,0.0,0.0,1.0
2016-08-29,56.27,56.27,56.259,56.26,52.3828,2600.0,0.0,1.0
2016-08-30,56.26,56.26,56.26,56.26,52.3828,900.0,0.0,1.0
2016-08-31,56.08,56.08,56.08,56.08,52.2152,300.0,0.0,1.0
2016-09-01,56.46,56.51,56.26,56.51,52.6156,1800.0,0.0,1.0
2016-09-02,56.95,56.95,56.95,56.95,53.0252,300.0,0.0,1.0
2016-09-06,56.95,56.95,56.95,56.95,53.0252,100.0,0.0,1.0
2016-09-07,56.95,56.95,56.95,56.95,53.0252,100.0,0.0,1.0
2016-09-08,56.95,56.95,56.95,56.95,53.0252,0.0,0.0,1.0
2016-09-09,56.95,56.95,56.42,56.42,52.5318,1800.0,0.0,1.0
2016-09-12,55.81,55.81,55.81,55.81,51.9638,100.0,0.0,1.0
2016-09-13,55.65,55.65,55.65,55.65,51.8148,100.0,0.0,1.0
2016-09-14,55.65,55.65,55.65,55.65,51.8148,0.0,0.0,1.0
2016-09-15,55.65,55.65,55.65,55.65,51.8148,0.0,0.0,1.0
2016-09-16,55.65,55.65,55.65,55.65,51.8148,0.0,0.0,1.0
2016-09-19,55.65,55.65,55.65,55.65,51.8148,0.0,0.0,1.0
2016-09-20,56.0,56.01,56.0,56.01,52.15,400.0,0.0,1.0
2016-09-21,56.01,56.01,56.01,56.01,52.15,0.0,0.0,1.0
2016-09-22,56.01,56.01,56.01,56.01,52.15,0.0,0.0,1.0
2016-09-23,56.96,57.03,56.96,57.03,53.0997,3800.0,0.0,1.0
2016-09-26,56.48,56.48,56.398,56.398,52.5113,2100.0,0.0,1.0
2016-09-27,56.22,56.22,56.22,56.22,52.3455,100.0,0.0,1.0
2016-09-28,57.04,57.04,57.033,57.033,53.1025,400.0,0.0,1.0
2016-09-29,56.82,56.82,56.42,56.42,52.5318,2000.0,0.0,1.0
2016-09-30,56.44,56.84,56.44,56.84,52.9228,2000.0,0.0,1.0
2016-10-03,56.6,56.6,56.47,56.47,52.5783,1100.0,0.0,1.0
2016-10-04,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-05,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-06,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-07,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-10,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-11,56.47,56.47,56.47,56.47,52.5783,0.0,0.0,1.0
2016-10-12,55.38,55.38,55.38,55.38,51.5634,200.0,0.0,1.0
2016-10-13,54.96,55.24,54.96,55.24,51.4331,1500.0,0.0,1.0
2016-10-14,55.29,55.29,55.29,55.29,51.4796,500.0,0.0,1.0
2016-10-17,55.179,55.18,55.169,55.169,51.367,900.0,0.0,1.0
2016-10-18,55.169,55.169,55.169,55.169,51.367,0.0,0.0,1.0
2016-10-19,55.169,55.169,55.169,55.169,51.367,0.0,0.0,1.0
2016-10-20,55.83,55.83,55.83,55.83,51.9824,200.0,0.0,1.0
2016-10-21,55.5,55.76,55.5,55.744,51.9023,2000.0,0.0,1.0
2016-10-24,55.87,55.87,55.63,55.667,51.8307,1100.0,0.0,1.0
2016-10-25,55.55,55.6,55.55,55.6,51.7683,200.0,0.0,1.0
2016-10-26,55.47,55.47,55.45,55.45,51.6286,1000.0,0.0,1.0
2016-10-27,55.4,55.4,55.4,55.4,51.5821,200.0,0.0,1.0
2016-10-28,55.3,55.3,55.3,55.3,51.4889,300.0,0.0,1.0
2016-10-31,55.38,55.38,55.373,55.373,51.5569,700.0,0.0,1.0
2016-11-01,55.39,55.4,55.39,55.4,51.5821,1300.0,0.0,1.0
2016-11-02,55.4,55.4,55.4,55.4,51.5821,0.0,0.0,1.0
2016-11-03,54.76,54.76,54.75,54.75,50.9769,11100.0,0.0,1.0
2016-11-04,54.52,54.52,54.22,54.3,50.5579,17800.0,0.0,1.0
2016-11-07,54.857,54.857,54.857,54.857,51.0765,200.0,0.0,1.0
2016-11-08,54.838,55.27,54.838,55.0,51.2096,6000.0,0.0,1.0
2016-11-09,54.85,55.17,54.85,55.07,51.2748,4700.0,0.0,1.0
2016-11-10,55.07,55.07,55.07,55.07,51.2748,0.0,0.0,1.0
2016-11-11,54.34,54.59,54.34,54.57,50.8093,900.0,0.0,1.0
2016-11-14,54.44,54.44,54.15,54.3,50.5579,2700.0,0.0,1.0
2016-11-15,54.36,54.5,54.34,54.5,50.7441,800.0,0.0,1.0
2016-11-16,54.18,54.18,54.1,54.1,50.3716,500.0,0.0,1.0
2016-11-17,54.416,54.416,54.369,54.369,50.6221,300.0,0.0,1.0
2016-11-18,53.95,53.95,53.808,53.808,50.0998,700.0,0.0,1.0
2016-11-21,54.08,54.08,54.08,54.08,50.353,400.0,0.0,1.0
2016-11-22,54.205,54.321,54.205,54.321,50.5774,500.0,0.0,1.0
2016-11-23,54.321,54.321,54.321,54.321,50.5774,0.0,0.0,1.0
2016-11-25,54.321,54.321,54.321,54.321,50.5774,0.0,0.0,1.0
2016-11-28,54.2,54.2,54.1,54.15,50.4182,1100.0,0.0,1.0
2016-11-29,54.17,54.5,54.17,54.5,50.7441,400.0,0.0,1.0
2016-11-30,54.5,54.5,54.5,54.5,50.7441,0.0,0.0,1.0
2016-12-01,54.09,54.09,54.09,54.09,50.3623,100.0,0.0,1.0
2016-12-02,54.09,54.09,54.09,54.09,50.3623,100.0,0.0,1.0
2016-12-05,54.09,54.09,54.09,54.09,50.3623,0.0,0.0,1.0
2016-12-06,54.09,54.09,54.09,54.09,50.3623,0.0,0.0,1.0
2016-12-07,55.909,55.909,55.909,55.909,52.056,100.0,0.0,1.0
2016-12-08,55.92,55.92,55.92,55.92,52.0662,800.0,0.0,1.0
2016-12-09,56.0,56.074,56.0,56.074,52.2096,2600.0,0.0,1.0
2016-12-12,55.973,55.99,55.91,55.93,52.0755,2200.0,0.0,1.0
2016-12-13,56.459,56.53,56.457,56.53,52.6342,1100.0,0.0,1.0
2016-12-14,56.37,56.37,55.799,55.799,51.9536,1100.0,0.0,1.0
2016-12-15,55.47,55.47,55.47,55.47,51.6472,100.0,0.0,1.0
2016-12-16,55.47,55.47,55.47,55.47,51.6472,0.0,0.0,1.0
2016-12-19,55.53,55.64,55.468,55.468,51.6454,1500.0,0.0,1.0
2016-12-20,55.468,55.468,55.468,55.468,51.6454,0.0,0.0,1.0
2016-12-21,55.59,55.59,55.53,55.57,51.788,6800.0,0.051,1.0
2016-12-22,55.59,55.59,55.49,55.5,51.7227,2100.0,0.0,1.0
2016-12-23,55.53,55.6,55.53,55.58,51.7973,1500.0,0.0,1.0
2016-12-27,55.6,55.6,55.6,55.6,51.8159,100.0,0.0,1.0
2016-12-28,55.37,55.37,55.336,55.35,51.5829,3700.0,0.0,1.0
2016-12-29,55.466,55.56,55.46,55.52,51.7414,6600.0,0.0,1.0
2016-12-30,55.76,55.76,55.739,55.739,51.9455,2100.0,0.0,1.0
2017-01-03,55.829,55.9,55.818,55.88,52.0769,1200.0,0.0,1.0
2017-01-04,56.3,56.46,56.3,56.46,52.6174,3500.0,0.0,1.0
2017-01-05,56.8,57.13,56.8,57.13,53.2418,1400.0,0.0,1.0
2017-01-06,56.99,56.99,56.79,56.91,53.0368,2400.0,0.0,1.0
2017-01-09,56.64,56.81,56.64,56.75,52.8877,1300.0,0.0,1.0
2017-01-10,56.91,56.91,56.82,56.82,52.9529,1000.0,0.0,1.0
2017-01-11,56.75,57.07,56.75,57.04,53.1579,3600.0,0.0,1.0
2017-01-12,57.09,57.18,57.09,57.18,53.2884,9700.0,0.0,1.0
2017-01-13,57.21,57.46,57.204,57.36,53.4561,5200.0,0.0,1.0
2017-01-17,57.25,57.28,57.15,57.185,53.293,4300.0,0.0,1.0
2017-01-18,57.07,57.16,57.07,57.16,53.2697,800.0,0.0,1.0
2017-01-19,57.02,57.02,56.813,56.85,52.9808,3100.0,0.0,1.0
2017-01-20,57.15,57.15,57.15,57.15,53.2604,500.0,0.0,1.0
2017-01-23,57.119,57.298,57.119,57.298,53.3984,900.0,0.0,1.0
2017-01-24,57.298,57.298,57.298,57.298,53.3984,0.0,0.0,1.0
2017-01-25,57.95,58.01,57.95,58.009,54.061,1100.0,0.0,1.0
2017-01-26,57.8,57.92,57.8,57.905,53.964,5300.0,0.0,1.0
2017-01-27,57.75,57.75,57.72,57.72,53.7916,1300.0,0.0,1.0
2017-01-30,57.26,57.34,57.13,57.34,53.4375,1100.0,0.0,1.0
2017-01-31,57.319,57.335,57.319,57.335,53.4328,500.0,0.0,1.0
2017-02-01,57.335,57.335,57.335,57.335,53.4328,0.0,0.0,1.0
2017-02-02,57.78,57.78,57.572,57.7,53.773,2500.0,0.0,1.0
2017-02-03,57.98,57.98,57.91,57.91,53.9687,2100.0,0.0,1.0
2017-02-06,57.6,57.6,57.39,57.4,53.4934,2200.0,0.0,1.0
2017-02-07,57.45,57.51,57.45,57.5,53.5866,500.0,0.0,1.0
2017-02-08,57.66,57.74,57.655,57.74,53.8103,4200.0,0.0,1.0
2017-02-09,57.76,57.87,57.76,57.85,53.9128,2200.0,0.0,1.0
2017-02-10,57.89,58.05,57.89,58.03,54.0805,1100.0,0.0,1.0
2017-02-13,58.39,58.39,58.25,58.3,54.3322,1000.0,0.0,1.0
2017-02-14,58.0,58.16,58.0,58.16,54.2017,900.0,0.0,1.0
2017-02-15,58.32,58.36,58.32,58.36,54.3881,800.0,0.0,1.0
2017-02-16,58.407,58.52,58.407,58.514,54.5316,2100.0,0.0,1.0
2017-02-17,58.36,58.41,58.36,58.41,54.4347,600.0,0.0,1.0
2017-02-21,58.53,58.6,58.524,58.593,54.6052,1300.0,0.0,1.0
2017-02-22,58.57,58.57,58.57,58.57,54.5838,500.0,0.0,1.0
2017-02-23,58.71,58.71,58.709,58.71,54.7143,500.0,0.0,1.0
2017-02-24,58.21,58.28,58.18,58.21,54.2483,1000.0,0.0,1.0
2017-02-27,58.22,58.28,58.08,58.25,54.2856,400.0,0.0,1.0
2017-02-28,58.25,58.35,58.25,58.35,54.3788,900.0,0.0,1.0
2017-03-01,58.59,58.69,58.59,58.69,54.6956,200.0,0.0,1.0
2017-03-02,58.71,58.71,58.52,58.536,54.5521,9900.0,0.0,1.0
2017-03-03,58.49,58.78,58.483,58.77,54.7702,3100.0,0.0,1.0
2017-03-06,58.55,58.55,58.55,58.55,54.5651,600.0,0.0,1.0
2017-03-07,58.5,58.5,58.378,58.44,54.4626,1900.0,0.0,1.0
2017-03-08,58.26,58.26,58.26,58.26,54.2949,200.0,0.0,1.0
2017-03-09,58.42,58.48,58.42,58.48,54.4999,1200.0,0.0,1.0
2017-03-10,58.78,58.939,58.76,58.939,54.9277,2000.0,0.0,1.0
2017-03-13,59.1,59.164,59.05,59.164,55.1374,800.0,0.0,1.0
2017-03-14,58.86,58.86,58.66,58.719,54.7226,1900.0,0.0,1.0
2017-03-15,58.95,59.58,58.95,59.52,55.4691,9800.0,0.0,1.0
2017-03-16,59.83,59.86,59.8,59.828,55.7562,2900.0,0.0,1.0
2017-03-17,60.01,60.12,60.01,60.05,55.9631,11700.0,0.0,1.0
2017-03-20,60.01,60.07,59.87,59.95,55.8699,5400.0,0.0,1.0
2017-03-21,60.51,60.51,59.737,59.76,55.6928,3900.0,0.0,1.0
2017-03-22,59.51,60.53,59.46,59.69,55.6276,5800.0,0.0,1.0
2017-03-23,59.63,59.896,59.63,59.75,55.6835,1000.0,0.0,1.0
2017-03-24,59.95,60.09,59.93,60.0,55.9165,8700.0,0.0,1.0
2017-03-27,59.925,60.106,59.925,60.106,56.0152,200.0,0.0,1.0
2017-03-28,60.22,60.35,60.2,60.341,56.2342,2300.0,0.0,1.0
2017-03-29,60.17,60.276,60.1,60.1,56.0096,5200.0,0.0,1.0
2017-03-30,60.299,60.3,60.14,60.15,56.0563,2600.0,0.0,1.0
2017-03-31,59.87,60.17,59.86,60.09,56.0003,6700.0,0.0,1.0
2017-04-03,59.97,59.97,59.76,59.85,55.7767,1000.0,0.0,1.0
2017-04-04,59.88,59.99,59.74,59.99,55.9071,5700.0,0.0,1.0
2017-04-05,59.88,60.0,59.68,59.68,55.6182,2800.0,0.0,1.0
2017-04-06,59.75,59.75,59.59,59.59,55.5344,2000.0,0.0,1.0
2017-04-07,59.57,59.65,59.54,59.585,55.5297,4600.0,0.0,1.0
2017-04-10,59.52,59.6,59.52,59.569,55.5148,4900.0,0.0,1.0
2017-04-11,59.75,59.8,59.44,59.8,55.7301,5100.0,0.0,1.0
2017-04-12,59.659,60.01,59.649,59.97,55.8885,3200.0,0.0,1.0
2017-04-13,59.57,59.58,59.42,59.426,55.3815,3800.0,0.0,1.0
2017-04-17,59.73,59.81,59.7,59.7,55.6369,2700.0,0.0,1.0
2017-04-18,59.54,59.54,59.28,59.51,55.4598,2900.0,0.0,1.0
2017-04-19,59.61,59.66,59.34,59.34,55.3014,2700.0,0.0,1.0
2017-04-20,59.9,59.9,59.81,59.81,55.7394,3400.0,0.0,1.0
2017-04-21,59.93,59.93,59.75,59.79,55.7207,2400.0,0.0,1.0
2017-04-24,61.3,61.3,61.26,61.26,57.0907,1300.0,0.0,1.0
2017-04-25,61.65,61.83,61.65,61.798,57.5921,1400.0,0.0,1.0
2017-04-26,61.63,61.8,61.63,61.72,57.5194,8600.0,0.0,1.0
2017-04-27,61.81,61.81,61.58,61.74,57.538,13800.0,0.0,1.0
2017-04-28,61.81,61.81,61.62,61.65,57.4542,4500.0,0.0,1.0
2017-05-01,61.8,61.91,61.8,61.91,57.6965,2000.0,0.0,1.0
2017-05-02,62.11,62.12,62.1,62.1,57.8735,1600.0,0.0,1.0
2017-05-03,61.96,62.19,61.94,62.03,57.8083,3500.0,0.0,1.0
2017-05-04,62.21,62.54,62.21,62.54,58.2836,3500.0,0.0,1.0
2017-05-05,62.74,63.22,62.61,63.183,58.8828,5300.0,0.0,1.0
2017-05-08,62.9,62.9,62.7,62.76,58.4886,8000.0,0.0,1.0
2017-05-09,62.65,62.69,62.53,62.53,58.2743,5100.0,0.0,1.0
2017-05-10,62.54,62.6,62.54,62.59,58.3302,34300.0,0.0,1.0
2017-05-11,62.51,62.51,62.35,62.414,58.1662,10800.0,0.0,1.0
2017-05-12,62.53,62.72,62.45,62.72,58.4513,35500.0,0.0,1.0
2017-05-15,62.868,62.97,62.868,62.95,58.6657,5000.0,0.0,1.0
2017-05-16,63.36,63.43,63.349,63.43,59.113,4000.0,0.0,1.0
2017-05-17,63.16,63.16,62.89,62.9,58.6191,9700.0,0.0,1.0
2017-05-18,62.57,63.03,62.57,63.03,58.7402,13800.0,0.0,1.0
2017-05-19,63.59,63.59,63.49,63.5,59.1782,2600.0,0.0,1.0
2017-05-22,63.87,63.87,63.69,63.74,59.4019,9200.0,0.0,1.0
2017-05-23,63.98,63.98,63.636,63.641,59.3097,28900.0,0.0,1.0
2017-05-24,63.68,63.691,63.48,63.691,59.3563,6000.0,0.0,1.0
2017-05-25,63.86,63.86,63.636,63.7,59.3646,4800.0,0.0,1.0
2017-05-26,63.43,63.453,63.363,63.43,59.113,5400.0,0.0,1.0
2017-05-30,63.47,63.487,63.38,63.405,59.0897,8100.0,0.0,1.0
2017-05-31,64.02,64.02,63.55,63.6,59.2714,30900.0,0.0,1.0
2017-06-01,63.79,63.942,63.75,63.94,59.5883,6200.0,0.0,1.0
2017-06-02,64.58,64.67,64.37,64.67,60.2686,3900.0,0.0,1.0
2017-06-05,64.42,64.42,64.18,64.219,59.8483,7300.0,0.0,1.0
2017-06-06,63.97,64.099,63.97,64.044,59.6852,3900.0,0.0,1.0
2017-06-07,64.33,64.33,63.9,64.071,59.7104,6600.0,0.0,1.0
2017-06-08,63.99,63.99,63.91,63.97,59.6163,5300.0,0.0,1.0
2017-06-09,63.81,63.85,63.57,63.629,59.2985,5500.0,0.0,1.0
2017-06-12,63.7,63.7,63.406,63.482,59.1615,9800.0,0.0,1.0
2017-06-13,64.07,64.12,63.95,64.09,59.7281,7200.0,0.0,1.0
2017-06-14,64.56,64.56,64.15,64.15,59.784,3900.0,0.0,1.0
2017-06-15,63.15,63.4,63.05,63.4,59.0851,9300.0,0.0,1.0
2017-06-16,63.77,63.959,63.639,63.952,59.5995,13200.0,0.0,1.0
2017-06-19,64.3,64.3,64.19,64.19,59.8213,1600.0,0.0,1.0
2017-06-20,63.46,63.46,62.619,62.64,59.357,3900.0,1.06,1.0
2017-06-21,62.556,62.61,62.48,62.48,59.2054,1100.0,0.0,1.0
2017-06-22,62.5,62.616,62.5,62.55,59.2717,3000.0,0.0,1.0
2017-06-23,62.68,62.78,62.36,62.36,59.0916,67400.0,0.0,1.0
2017-06-26,63.09,63.09,62.65,62.69,59.4043,105000.0,0.0,1.0
2017-06-27,62.83,62.83,62.55,62.64,59.357,11700.0,0.0,1.0
2017-06-28,62.98,63.15,62.96,63.15,59.8402,1700.0,0.0,1.0
2017-06-29,63.15,63.15,62.5,62.62,59.338,8600.0,0.0,1.0
2017-06-30,62.88,62.88,62.505,62.644,59.3608,7300.0,0.0,1.0
