date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-07-15,75.31,75.31,75.31,75.31,70.9984,100.0,0.0,1.0
2016-07-18,75.31,75.31,75.31,75.31,70.9984,0.0,0.0,1.0
2016-07-19,75.31,75.31,75.31,75.31,70.9984,0.0,0.0,1.0
2016-07-20,75.31,75.31,75.31,75.31,70.9984,0.0,0.0,1.0
2016-07-21,75.31,75.31,75.31,75.31,70.9984,0.0,0.0,1.0
2016-07-22,75.31,75.31,75.31,75.31,70.9984,0.0,0.0,1.0
2016-07-25,75.51,75.57,75.51,75.57,71.2435,2800.0,0.0,1.0
2016-07-26,75.57,75.57,75.57,75.57,71.2435,0.0,0.0,1.0
2016-07-27,75.57,75.57,75.57,75.57,71.2435,0.0,0.0,1.0
2016-07-28,75.57,75.57,75.57,75.57,71.2435,0.0,0.0,1.0
2016-07-29,75.57,75.57,75.57,75.57,71.2435,0.0,0.0,1.0
2016-08-01,76.34,76.34,76.34,76.34,71.9695,100.0,0.0,1.0
2016-08-02,75.95,75.95,75.72,75.72,71.3849,2600.0,0.0,1.0
2016-08-03,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-04,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-05,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-08,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-09,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-10,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-11,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-12,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-15,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-16,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-17,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-18,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-19,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-22,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-23,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-24,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-25,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-26,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-29,75.72,75.72,75.72,75.72,71.3849,0.0,0.0,1.0
2016-08-30,77.28,77.28,77.26,77.26,72.8368,2600.0,0.0,1.0
2016-08-31,76.88,76.88,76.87,76.87,72.4691,300.0,0.0,1.0
2016-09-01,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-02,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-06,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-07,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-08,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-09,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-12,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-13,76.87,76.87,76.87,76.87,72.4691,0.0,0.0,1.0
2016-09-14,75.84,75.84,75.84,75.84,71.4981,100.0,0.0,1.0
2016-09-15,76.27,76.51,76.26,76.51,72.1297,300.0,0.0,1.0
2016-09-16,76.33,76.33,75.82,75.82,71.4792,300.0,0.0,1.0
2016-09-19,75.82,75.82,75.82,75.82,71.6996,0.0,0.233,1.0
2016-09-20,76.13,76.13,76.13,76.13,71.9927,100.0,0.0,1.0
2016-09-21,76.24,76.24,76.24,76.24,72.0967,100.0,0.0,1.0
2016-09-22,77.37,77.37,77.37,77.37,73.1653,100.0,0.0,1.0
2016-09-23,77.37,77.37,77.37,77.37,73.1653,0.0,0.0,1.0
2016-09-26,77.37,77.37,77.37,77.37,73.1653,0.0,0.0,1.0
