date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-11-14,24.6,24.6,24.6,24.6,23.7244,1234000.0,0.0,1.0
2018-11-15,24.58,25.0,24.56,24.65,23.7726,1239800.0,0.0,1.0
2018-11-16,24.59,24.66,24.0,24.65,23.7726,370100.0,0.0,1.0
2018-11-19,24.7,24.72,24.6,24.7,23.8208,152700.0,0.0,1.0
2018-11-20,24.45,24.7,24.45,24.65,23.7726,93500.0,0.0,1.0
2018-11-21,24.65,24.99,24.6,24.7,23.8208,39100.0,0.0,1.0
2018-11-23,24.72,24.72,24.65,24.7,23.8208,5100.0,0.0,1.0
2018-11-26,24.8,24.8,24.55,24.6,23.7244,19300.0,0.0,1.0
2018-11-27,24.55,24.67,24.55,24.64,23.7629,69000.0,0.0,1.0
2018-11-28,24.7,24.7,24.3,24.6,23.7244,12800.0,0.0,1.0
2018-11-29,24.65,24.65,24.33,24.47,23.599,44600.0,0.0,1.0
2018-11-30,24.64,24.64,24.36,24.64,23.7629,4700.0,0.0,1.0
2018-12-03,24.65,24.67,24.57,24.6,23.7244,46900.0,0.0,1.0
2018-12-04,24.6,24.69,23.42,24.6,23.7244,78600.0,0.0,1.0
2018-12-06,24.62,24.72,24.61,24.72,23.8401,29600.0,0.0,1.0
2018-12-07,24.9,24.9,24.7,24.72,23.8401,12500.0,0.0,1.0
2018-12-10,24.71,24.79,24.48,24.67,23.7919,31400.0,0.0,1.0
2018-12-11,24.7,24.81,24.66,24.8,23.9172,40100.0,0.0,1.0
2018-12-12,24.8,24.9,24.77,24.88,23.9944,28000.0,0.0,1.0
2018-12-13,24.85,24.92,24.85,24.92,24.033,17000.0,0.0,1.0
2018-12-14,24.84,25.0,24.65,25.0,24.1101,31800.0,0.0,1.0
2018-12-17,24.95,24.97,24.82,24.97,24.0812,17900.0,0.0,1.0
2018-12-18,24.8,24.9,24.49,24.69,23.8111,30300.0,0.0,1.0
2018-12-19,24.8,24.8,24.15,24.6,23.7244,6100.0,0.0,1.0
2018-12-20,24.68,24.68,23.22,23.9,23.0493,13000.0,0.0,1.0
2018-12-21,23.67,24.24,23.55,24.23,23.3675,16700.0,0.0,1.0
2018-12-24,24.22,24.22,23.77,23.8,22.9528,7800.0,0.0,1.0
2018-12-26,23.7,23.8,23.01,23.05,22.2295,63900.0,0.0,1.0
2018-12-27,23.06,23.34,21.52,21.95,21.1687,73300.0,0.0,1.0
2018-12-28,22.0,23.26,21.52,22.99,22.1717,40100.0,0.0,1.0
2018-12-31,23.4,23.74,23.05,23.28,22.4513,45200.0,0.0,1.0
2019-01-02,23.15,23.8,22.98,23.8,22.9528,40500.0,0.0,1.0
2019-01-03,23.61,23.94,23.61,23.75,22.9046,13600.0,0.0,1.0
2019-01-04,23.85,24.39,23.85,24.27,23.4061,40800.0,0.0,1.0
2019-01-07,24.3,24.48,24.18,24.32,23.4543,24100.0,0.0,1.0
2019-01-08,24.29,24.45,24.21,24.33,23.464,9700.0,0.0,1.0
2019-01-09,24.41,24.46,24.4,24.41,23.5411,9400.0,0.0,1.0
2019-01-10,24.32,24.45,24.05,24.06,23.2036,39500.0,0.0,1.0
2019-01-11,24.06,24.2,24.05,24.06,23.2036,41300.0,0.0,1.0
2019-01-14,23.76,24.26,23.76,24.11,23.2518,7100.0,0.0,1.0
2019-01-15,24.2,24.26,24.11,24.12,23.2614,10900.0,0.0,1.0
2019-01-16,24.2,24.26,24.12,24.18,23.3193,25700.0,0.0,1.0
2019-01-17,24.36,24.44,24.17,24.22,23.3579,29900.0,0.0,1.0
2019-01-18,24.75,24.91,24.67,24.81,23.9269,83300.0,0.0,1.0
2019-01-22,24.9,24.9,24.63,24.63,23.7533,51100.0,0.0,1.0
2019-01-23,24.65,25.05,24.65,24.96,24.0715,66100.0,0.0,1.0
2019-01-24,25.05,25.23,24.9,25.02,24.1294,106300.0,0.0,1.0
2019-01-25,25.05,25.31,24.96,25.25,24.3512,100500.0,0.0,1.0
2019-01-28,25.25,25.25,25.09,25.15,24.2548,50600.0,0.0,1.0
2019-01-29,25.15,25.18,25.05,25.11,24.2162,14700.0,0.0,1.0
2019-01-30,25.01,25.23,25.01,25.18,24.2837,82700.0,0.0,1.0
2019-01-31,25.15,25.75,25.12,25.75,24.8334,419900.0,0.0,1.0
2019-02-01,25.36,25.42,25.15,25.42,24.5152,29100.0,0.0,1.0
2019-02-04,25.5,25.51,25.35,25.51,24.602,13700.0,0.0,1.0
2019-02-05,25.48,25.51,25.41,25.42,24.5152,26800.0,0.0,1.0
2019-02-06,25.55,25.55,25.4,25.42,24.5152,39800.0,0.0,1.0
2019-02-07,25.42,25.5,25.41,25.44,24.5345,10000.0,0.0,1.0
2019-02-08,25.5,25.54,25.25,25.54,24.6309,13500.0,0.0,1.0
2019-02-11,25.54,25.55,25.35,25.5,24.5923,9800.0,0.0,1.0
2019-02-12,25.55,25.6,25.4,25.52,24.6116,80000.0,0.0,1.0
2019-02-13,25.49,25.58,25.42,25.58,24.6695,32800.0,0.0,1.0
2019-02-14,25.3,25.3,25.13,25.23,24.8032,44600.0,0.486,1.0
2019-02-15,25.25,25.38,25.25,25.36,24.931,33400.0,0.0,1.0
2019-02-19,25.35,25.45,25.35,25.37,24.9408,32700.0,0.0,1.0
2019-02-20,25.45,25.45,25.32,25.35,24.9211,46000.0,0.0,1.0
2019-02-21,25.38,25.45,25.25,25.29,24.8622,25100.0,0.0,1.0
2019-02-22,25.24,25.24,25.05,25.15,24.7245,17400.0,0.0,1.0
2019-02-25,25.24,25.24,25.05,25.05,24.6262,23500.0,0.0,1.0
2019-02-26,25.06,25.08,24.76,24.77,24.3509,65700.0,0.0,1.0
2019-02-27,24.81,24.96,24.69,24.86,24.4394,39900.0,0.0,1.0
2019-02-28,24.92,24.99,24.73,24.85,24.4296,58100.0,0.0,1.0
2019-03-01,24.83,24.97,24.66,24.93,24.5082,28100.0,0.0,1.0
2019-03-04,24.95,25.2,24.91,24.96,24.5377,18800.0,0.0,1.0
2019-03-05,24.84,25.0,24.72,24.9,24.4787,29000.0,0.0,1.0
2019-03-06,24.8,24.97,24.8,24.95,24.5279,11800.0,0.0,1.0
2019-03-07,24.98,24.98,24.73,24.78,24.3608,42100.0,0.0,1.0
2019-03-08,24.74,24.84,24.51,24.6,24.1838,49400.0,0.0,1.0
2019-03-11,24.61,24.61,24.35,24.43,24.0167,80700.0,0.0,1.0
2019-03-12,24.36,24.75,24.35,24.5,24.0855,110700.0,0.0,1.0
2019-03-13,24.68,24.84,24.68,24.75,24.3313,40500.0,0.0,1.0
2019-03-14,24.71,24.85,24.65,24.75,24.3313,58000.0,0.0,1.0
2019-03-15,24.66,24.79,24.66,24.76,24.3411,20500.0,0.0,1.0
2019-03-18,24.79,24.97,24.77,24.95,24.5279,45900.0,0.0,1.0
2019-03-19,24.97,25.03,24.7,24.89,24.4689,41100.0,0.0,1.0
2019-03-20,24.9,24.91,24.78,24.9,24.4787,92500.0,0.0,1.0
2019-03-21,25.03,25.03,24.81,24.91,24.4886,37800.0,0.0,1.0
2019-03-22,25.07,25.08,24.95,25.08,24.6557,10100.0,0.0,1.0
2019-03-25,25.08,25.08,24.96,24.99,24.5672,14400.0,0.0,1.0
2019-03-26,25.0,25.04,24.9,25.0,24.5771,27200.0,0.0,1.0
2019-03-27,25.0,25.26,25.0,25.22,24.7933,33700.0,0.0,1.0
2019-03-28,25.29,25.29,25.05,25.24,24.813,37200.0,0.0,1.0
2019-03-29,25.26,25.47,25.26,25.47,25.0391,14500.0,0.0,1.0
2019-04-01,25.5,25.85,25.5,25.84,25.4028,28800.0,0.0,1.0
2019-04-02,25.65,25.8,25.65,25.72,25.2849,4700.0,0.0,1.0
2019-04-03,25.8,25.97,25.75,25.85,25.4127,28700.0,0.0,1.0
2019-04-04,25.85,26.0,25.85,25.95,25.511,7100.0,0.0,1.0
2019-04-05,25.79,26.03,25.79,25.95,25.511,4900.0,0.0,1.0
2019-04-08,26.0,26.03,25.9,25.9,25.4618,5500.0,0.0,1.0
2019-04-09,25.9,25.94,25.76,25.8,25.3635,14600.0,0.0,1.0
2019-04-10,25.75,25.95,25.75,25.8,25.3635,9600.0,0.0,1.0
2019-04-11,25.75,25.9,25.75,25.76,25.3242,4800.0,0.0,1.0
2019-04-12,25.75,25.85,25.75,25.8,25.3635,5900.0,0.0,1.0
2019-04-15,25.72,26.0,25.72,25.99,25.5503,16500.0,0.0,1.0
2019-04-16,25.76,25.92,25.76,25.83,25.393,19800.0,0.0,1.0
2019-04-17,25.81,25.98,25.7,25.7,25.2652,18000.0,0.0,1.0
2019-04-18,25.84,25.84,25.67,25.7,25.2652,29900.0,0.0,1.0
2019-04-22,25.71,25.76,25.66,25.66,25.2259,4800.0,0.0,1.0
2019-04-23,25.81,25.84,25.78,25.78,25.3439,82600.0,0.0,1.0
2019-04-24,25.8,25.82,25.75,25.77,25.334,18500.0,0.0,1.0
2019-04-25,25.75,25.8,25.68,25.69,25.2554,5200.0,0.0,1.0
2019-04-26,25.8,25.8,25.74,25.74,25.3045,3300.0,0.0,1.0
2019-04-29,25.74,25.9,25.74,25.88,25.4422,10500.0,0.0,1.0
2019-04-30,25.81,25.86,25.71,25.86,25.4225,15300.0,0.0,1.0
2019-05-01,25.8,25.89,25.8,25.8,25.3635,3200.0,0.0,1.0
2019-05-02,25.84,25.85,25.75,25.77,25.334,1600.0,0.0,1.0
2019-05-03,25.88,25.9,25.8,25.85,25.4127,12900.0,0.0,1.0
2019-05-06,25.89,25.89,25.8,25.87,25.4323,3600.0,0.0,1.0
2019-05-07,25.81,25.88,25.76,25.84,25.4028,10200.0,0.0,1.0
2019-05-08,25.71,25.94,25.71,25.89,25.452,7700.0,0.0,1.0
2019-05-09,25.79,25.93,25.73,25.93,25.4913,15600.0,0.0,1.0
2019-05-10,25.93,25.95,25.84,25.95,25.511,10100.0,0.0,1.0
2019-05-13,25.9,26.0,25.85,25.89,25.452,15200.0,0.0,1.0
2019-05-14,25.55,25.6,25.43,25.6,25.6,8500.0,0.438,1.0
2019-05-15,25.6,25.83,25.6,25.75,25.75,8100.0,0.0,1.0
2019-05-16,25.75,25.99,25.61,25.98,25.98,15500.0,0.0,1.0
2019-05-17,25.91,25.95,25.71,25.77,25.77,16800.0,0.0,1.0
2019-05-20,25.84,25.84,25.47,25.47,25.47,28200.0,0.0,1.0
2019-05-21,25.68,25.71,25.5,25.55,25.55,20700.0,0.0,1.0
2019-05-22,25.55,25.72,25.55,25.72,25.72,17800.0,0.0,1.0
2019-05-23,25.68,25.68,25.53,25.6,25.6,9900.0,0.0,1.0
2019-05-24,25.62,25.72,25.62,25.72,25.72,8200.0,0.0,1.0
