date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-04-04,12.0,12.1,11.4,11.78,9.3221,2892500.0,0.0,1.0
2007-04-05,11.84,12.04,11.75,12.01,9.5041,1338100.0,0.0,1.0
2007-04-09,12.0,12.21,11.9,12.15,9.6149,394400.0,0.0,1.0
2007-04-10,12.19,12.2,12.0,12.15,9.6149,248700.0,0.0,1.0
2007-04-11,12.15,12.15,12.0,12.06,9.5437,301500.0,0.0,1.0
2007-04-12,12.0,12.02,11.9,12.0,9.4962,270000.0,0.0,1.0
2007-04-13,12.0,12.04,11.97,12.01,9.5041,242100.0,0.0,1.0
2007-04-16,12.0,12.04,11.94,11.98,9.4804,419600.0,0.0,1.0
2007-04-17,11.98,12.03,11.94,11.99,9.4883,339400.0,0.0,1.0
2007-04-18,12.0,12.0,11.96,11.99,9.4883,108900.0,0.0,1.0
2007-04-19,11.98,12.0,11.95,11.99,9.4883,155000.0,0.0,1.0
2007-04-20,11.99,11.99,11.95,11.99,9.4883,268600.0,0.0,1.0
2007-04-23,11.98,11.99,11.9,11.9,9.4171,293300.0,0.0,1.0
2007-04-24,11.9,11.9,11.5,11.82,9.3538,286700.0,0.0,1.0
2007-04-25,11.75,11.75,11.6,11.62,9.1955,81200.0,0.0,1.0
2007-04-26,11.6,11.64,11.51,11.55,9.1401,185600.0,0.0,1.0
2007-04-27,11.6,11.6,11.5,11.53,9.1243,139900.0,0.0,1.0
2007-04-30,11.44,11.6,11.44,11.46,9.0689,157100.0,0.0,1.0
2007-05-01,11.46,11.49,11.41,11.45,9.061,42800.0,0.0,1.0
2007-05-02,11.46,11.49,11.45,11.45,9.061,50100.0,0.0,1.0
2007-05-03,11.45,11.49,11.44,11.46,9.0689,74000.0,0.0,1.0
2007-05-04,11.46,11.54,11.46,11.48,9.0847,53200.0,0.0,1.0
2007-05-07,11.49,11.51,11.46,11.5,9.1005,94100.0,0.0,1.0
2007-05-08,11.49,11.54,11.46,11.52,9.1164,41400.0,0.0,1.0
