date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-04-07,50.005,50.005,50.005,50.005,49.5187,10200.0,0.0,1.0
2016-04-08,50.005,50.005,50.005,50.005,49.5187,5400.0,0.0,1.0
2016-04-11,50.005,50.005,50.005,50.005,49.5187,4400.0,0.0,1.0
2016-04-12,50.005,50.005,50.005,50.005,49.5187,12400.0,0.0,1.0
2016-04-13,50.005,50.005,50.005,50.005,49.5187,10400.0,0.0,1.0
2016-04-14,50.005,50.005,49.995,50.005,49.5187,11000.0,0.0,1.0
2016-04-15,50.005,50.005,50.005,50.005,49.5187,3000.0,0.0,1.0
2016-04-18,50.005,50.005,50.005,50.005,49.5187,0.0,0.0,1.0
2016-04-19,50.005,50.005,50.005,50.005,49.5187,10400.0,0.0,1.0
2016-04-20,50.005,50.005,50.005,50.005,49.5187,12400.0,0.0,1.0
2016-04-21,50.005,50.005,50.005,50.005,49.5187,8200.0,0.0,1.0
2016-04-22,50.005,50.005,50.005,50.005,49.5187,5800.0,0.0,1.0
2016-04-25,50.005,50.005,50.005,50.005,49.5187,14400.0,0.0,1.0
2016-04-26,50.005,50.005,50.005,50.005,49.5187,9800.0,0.0,1.0
2016-04-27,50.005,50.005,50.005,50.005,49.5187,7800.0,0.0,1.0
2016-04-28,50.005,50.005,50.005,50.005,49.5187,12400.0,0.0,1.0
2016-04-29,50.005,50.005,50.005,50.005,49.5187,6000.0,0.0,1.0
2016-05-02,50.005,50.005,50.005,50.005,49.5291,11800.0,0.0105,1.0
2016-05-03,50.005,50.005,50.005,50.005,49.5291,13800.0,0.0,1.0
2016-05-04,50.005,50.005,50.005,50.005,49.5291,9400.0,0.0,1.0
2016-05-05,50.005,50.005,50.005,50.005,49.5291,12200.0,0.0,1.0
2016-05-06,50.005,50.005,50.005,50.005,49.5291,0.0,0.0,1.0
2016-05-09,50.005,50.005,50.005,50.005,49.5291,9600.0,0.0,1.0
2016-05-10,50.005,50.005,50.005,50.005,49.5291,8400.0,0.0,1.0
2016-05-11,50.005,50.005,50.005,50.005,49.5291,12600.0,0.0,1.0
2016-05-12,50.005,50.005,50.005,50.005,49.5291,8600.0,0.0,1.0
2016-05-13,50.025,50.025,50.025,50.025,49.5489,11400.0,0.0,1.0
2016-05-16,50.025,50.025,50.025,50.025,49.5489,12800.0,0.0,1.0
2016-05-17,50.025,50.025,50.025,50.025,49.5489,11000.0,0.0,1.0
2016-05-18,50.025,50.025,50.025,50.025,49.5489,10200.0,0.0,1.0
2016-05-19,50.025,50.025,50.025,50.025,49.5489,12200.0,0.0,1.0
2016-05-20,50.025,50.025,50.025,50.025,49.5489,3400.0,0.0,1.0
2016-05-23,50.02,50.02,50.005,50.02,49.5439,32400.0,0.0,1.0
2016-05-24,50.025,50.025,50.025,50.025,49.5489,9600.0,0.0,1.0
2016-05-25,50.025,50.025,50.025,50.025,49.5489,0.0,0.0,1.0
2016-05-26,50.025,50.025,50.025,50.025,49.5489,8000.0,0.0,1.0
2016-05-27,50.025,50.025,50.025,50.025,49.5489,0.0,0.0,1.0
2016-05-31,50.025,50.025,50.025,50.025,49.5489,12400.0,0.0,1.0
2016-06-01,50.02,50.02,50.02,50.02,49.5533,15000.0,0.0095,1.0
2016-06-02,50.025,50.025,50.025,50.025,49.5583,14200.0,0.0,1.0
2016-06-03,50.025,50.025,50.025,50.025,49.5583,7200.0,0.0,1.0
2016-06-06,50.025,50.025,50.025,50.025,49.5583,12400.0,0.0,1.0
2016-06-07,50.025,50.025,50.025,50.025,49.5583,12800.0,0.0,1.0
2016-06-08,50.025,50.025,50.025,50.025,49.5583,8800.0,0.0,1.0
2016-06-09,50.025,50.025,50.025,50.025,49.5583,9600.0,0.0,1.0
2016-06-10,50.02,50.02,50.02,50.02,49.5533,6000.0,0.0,1.0
2016-06-13,50.025,50.025,50.025,50.025,49.5583,13000.0,0.0,1.0
2016-06-14,50.025,50.025,50.025,50.025,49.5583,8800.0,0.0,1.0
2016-06-15,50.025,50.025,50.015,50.025,49.5583,33400.0,0.0,1.0
2016-06-16,50.015,50.015,50.015,50.015,49.5484,9800.0,0.0,1.0
2016-06-17,50.025,50.025,50.025,50.025,49.5583,8400.0,0.0,1.0
2016-06-20,50.025,50.025,50.025,50.025,49.5583,9200.0,0.0,1.0
2016-06-21,50.025,50.025,50.025,50.025,49.5583,12400.0,0.0,1.0
2016-06-22,50.025,50.025,50.025,50.025,49.5583,8400.0,0.0,1.0
2016-06-23,50.025,50.025,50.025,50.025,49.5583,11400.0,0.0,1.0
2016-06-24,50.025,50.025,50.025,50.025,49.5583,8600.0,0.0,1.0
2016-06-27,50.025,50.025,50.025,50.025,49.5583,0.0,0.0,1.0
2016-06-28,50.025,50.025,50.025,50.025,49.5583,8200.0,0.0,1.0
2016-06-29,50.025,50.025,50.025,50.025,49.5583,0.0,0.0,1.0
2016-06-30,50.025,50.025,50.025,50.025,49.5583,8600.0,0.0,1.0
2016-07-01,50.025,50.025,50.025,50.025,49.5697,0.0,0.0115,1.0
2016-07-05,50.025,50.025,50.025,50.025,49.5697,9000.0,0.0,1.0
2016-07-06,50.025,50.025,50.025,50.025,49.5697,12000.0,0.0,1.0
2016-07-07,50.025,50.025,50.025,50.025,49.5697,9800.0,0.0,1.0
2016-07-08,50.025,50.025,50.025,50.025,49.5697,11400.0,0.0,1.0
2016-07-11,50.025,50.025,50.025,50.025,49.5697,10000.0,0.0,1.0
2016-07-12,50.025,50.025,50.025,50.025,49.5697,11400.0,0.0,1.0
2016-07-13,50.025,50.025,50.025,50.025,49.5697,9800.0,0.0,1.0
2016-07-14,50.025,50.025,50.025,50.025,49.5697,13400.0,0.0,1.0
2016-07-15,50.025,50.025,50.025,50.025,49.5697,6200.0,0.0,1.0
2016-07-18,50.025,50.025,50.025,50.025,49.5697,10400.0,0.0,1.0
2016-07-19,50.025,50.025,50.025,50.025,49.5697,9000.0,0.0,1.0
2016-07-20,50.025,50.025,50.025,50.025,49.5697,10200.0,0.0,1.0
2016-07-21,50.025,50.025,50.025,50.025,49.5697,9800.0,0.0,1.0
2016-07-22,50.025,50.025,50.015,50.025,49.5697,12000.0,0.0,1.0
2016-07-25,50.025,50.025,50.025,50.025,49.5697,7800.0,0.0,1.0
2016-07-26,50.025,50.025,50.025,50.025,49.5697,8600.0,0.0,1.0
2016-07-27,50.025,50.025,50.025,50.025,49.5697,9800.0,0.0,1.0
2016-07-28,50.025,50.025,50.025,50.025,49.5697,10200.0,0.0,1.0
2016-07-29,50.025,50.025,50.025,50.025,49.5697,11000.0,0.0,1.0
2016-08-01,50.025,50.025,50.025,50.025,49.5826,10400.0,0.013,1.0
2016-08-02,50.025,50.025,50.025,50.025,49.5826,8800.0,0.0,1.0
2016-08-03,50.025,50.025,50.025,50.025,49.5826,9200.0,0.0,1.0
2016-08-04,50.025,50.025,50.025,50.025,49.5826,12600.0,0.0,1.0
2016-08-05,50.025,50.025,50.025,50.025,49.5826,8200.0,0.0,1.0
2016-08-08,50.025,50.025,50.025,50.025,49.5826,11200.0,0.0,1.0
2016-08-09,50.025,50.025,50.025,50.025,49.5826,12200.0,0.0,1.0
2016-08-10,50.025,50.025,50.025,50.025,49.5826,9400.0,0.0,1.0
2016-08-11,50.025,50.025,50.025,50.025,49.5826,10400.0,0.0,1.0
