date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,1.5833,1.6667,1.5,1.6667,1.656,272100.0,0.0,1.0
1999-08-10,1.7083,1.7917,1.625,1.6667,1.656,298500.0,0.0,1.0
1999-08-11,1.6667,1.75,1.6667,1.6875,1.6767,83700.0,0.0,1.0
1999-08-12,1.6875,1.75,1.6667,1.75,1.7388,124500.0,0.0,1.0
1999-08-13,1.7083,1.7292,1.7083,1.7083,1.6974,44100.0,0.0,1.0
1999-08-16,1.7083,1.8125,1.7083,1.7917,1.7802,54000.0,0.0,1.0
1999-08-17,1.8125,1.8125,1.7708,1.8125,1.8009,32100.0,0.0,1.0
1999-08-18,1.8333,2.0,1.8125,1.9167,1.9044,126600.0,0.0,1.0
1999-08-19,1.9167,1.9375,1.875,1.9375,1.9251,35400.0,0.0,1.0
1999-08-20,1.875,1.9375,1.875,1.9167,1.9044,31200.0,0.0,1.0
1999-08-23,1.8333,1.9167,1.8333,1.875,1.863,118500.0,0.0,1.0
1999-08-24,1.8333,1.875,1.7917,1.7917,1.7802,21900.0,0.0,1.0
1999-08-25,1.8542,1.8542,1.7708,1.7708,1.7595,20400.0,0.0,1.0
1999-08-26,1.8333,1.8333,1.8333,1.8333,1.8216,9600.0,0.0,1.0
1999-08-27,1.75,1.8333,1.75,1.8125,1.8009,55500.0,0.0,1.0
1999-08-30,1.8333,1.8333,1.7292,1.7292,1.7181,57000.0,0.0,1.0
1999-08-31,1.7292,1.75,1.7292,1.75,1.7388,17100.0,0.0,1.0
1999-09-01,1.7604,1.9375,1.75,1.7708,1.7595,120300.0,0.0,1.0
1999-09-02,1.75,1.8125,1.7292,1.8125,1.8009,52500.0,0.0,1.0
1999-09-03,1.7708,1.8125,1.7708,1.7917,1.7802,32100.0,0.0,1.0
1999-09-07,1.8125,1.8125,1.7292,1.7292,1.7181,101700.0,0.0,1.0
1999-09-08,1.7292,1.7292,1.7292,1.7292,1.7181,20100.0,0.0,1.0
1999-09-09,1.7292,1.75,1.7292,1.75,1.7388,153900.0,0.0,1.0
1999-09-10,1.7396,1.7708,1.7292,1.75,1.7388,84300.0,0.0,1.0
1999-09-13,1.75,1.7708,1.7292,1.7708,1.7595,83400.0,0.0,1.0
1999-09-14,1.7292,1.75,1.7292,1.75,1.7388,18000.0,0.0,1.0
1999-09-15,1.7292,1.75,1.7292,1.75,1.7388,17100.0,0.0,1.0
1999-09-16,1.7292,1.7292,1.7292,1.7292,1.7181,6000.0,0.0,1.0
1999-09-17,1.7292,1.7917,1.7292,1.7292,1.7181,60300.0,0.0,1.0
1999-09-20,1.75,1.75,1.7292,1.75,1.7388,102600.0,0.0,1.0
1999-09-21,1.7604,1.7917,1.7292,1.7917,1.7802,30000.0,0.0,1.0
1999-09-22,1.75,1.7917,1.7292,1.75,1.7388,18000.0,0.0,1.0
1999-09-23,1.75,1.7917,1.75,1.75,1.7388,12900.0,0.0,1.0
1999-09-24,1.7917,1.7917,1.7292,1.75,1.7388,30600.0,0.0,1.0
1999-09-27,1.7604,1.7917,1.75,1.75,1.7388,106200.0,0.0,1.0
1999-09-28,1.75,1.75,1.75,1.75,1.7388,42000.0,0.0,1.0
1999-09-29,1.7708,1.7708,1.7292,1.7292,1.7181,15000.0,0.0,1.0
1999-09-30,1.75,1.75,1.6667,1.75,1.7388,358500.0,0.0,1.0
1999-10-01,1.7292,1.7708,1.6875,1.7292,1.7181,57600.0,0.0,1.0
1999-10-04,1.7083,1.7917,1.7083,1.75,1.7388,15300.0,0.0,1.0
1999-10-05,1.75,1.7708,1.7292,1.75,1.7388,19800.0,0.0,1.0
1999-10-06,1.75,1.7708,1.7292,1.7292,1.7181,240900.0,0.0,1.0
1999-10-07,1.75,1.75,1.6875,1.7083,1.6974,45900.0,0.0,1.0
1999-10-08,1.7083,1.7083,1.6875,1.6875,1.6767,8400.0,0.0,1.0
1999-10-11,1.6979,1.7083,1.6875,1.6875,1.6767,53700.0,0.0,1.0
1999-10-12,1.6875,1.7083,1.6875,1.6875,1.6767,17100.0,0.0,1.0
1999-10-13,1.7083,1.7083,1.7083,1.7083,1.6974,3900.0,0.0,1.0
1999-10-14,1.6875,1.7083,1.6875,1.6875,1.6767,8100.0,0.0,1.0
1999-10-15,1.6875,1.7083,1.6667,1.6875,1.6767,11100.0,0.0,1.0
1999-10-18,1.6875,1.6875,1.6667,1.6771,1.6664,21900.0,0.0,1.0
1999-10-19,1.6875,1.7083,1.6667,1.6875,1.6767,47100.0,0.0,1.0
1999-10-20,1.7083,1.7708,1.7083,1.7708,1.7595,16500.0,0.0,1.0
1999-10-21,1.75,1.75,1.75,1.75,1.7388,23100.0,0.0,1.0
1999-10-22,1.75,1.75,1.75,1.75,1.7388,39900.0,0.0,1.0
1999-10-25,1.6875,1.6875,1.6875,1.6875,1.6767,1800.0,0.0,1.0
1999-10-26,1.75,1.75,1.6667,1.6667,1.656,191100.0,0.0,1.0
1999-10-27,1.625,1.6667,1.625,1.625,1.6146,41400.0,0.0,1.0
1999-10-28,1.6667,1.7083,1.625,1.625,1.6146,219300.0,0.0,1.0
1999-10-29,1.625,1.6667,1.625,1.6667,1.656,5400.0,0.0,1.0
1999-11-01,1.6667,1.6875,1.6667,1.6667,1.656,4500.0,0.0,1.0
1999-11-02,1.6667,1.6667,1.6667,1.6667,1.656,3000.0,0.0,1.0
1999-11-03,1.625,1.6458,1.6042,1.6458,1.6353,7800.0,0.0,1.0
1999-11-04,1.5938,1.6146,1.5833,1.5938,1.5836,73200.0,0.0,1.0
1999-11-05,1.5833,1.6458,1.5833,1.6042,1.5939,6000.0,0.0,1.0
