date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-05-23,29.87,29.93,29.87,29.87,28.8752,500.0,0.0,1.0
2016-05-24,29.87,29.87,29.87,29.87,28.8752,0.0,0.0,1.0
2016-05-25,29.87,29.87,29.87,29.87,28.8752,0.0,0.0,1.0
2016-05-26,29.87,29.87,29.87,29.87,28.8752,0.0,0.0,1.0
2016-05-27,29.93,29.95,29.89,29.9,28.9042,1400.0,0.0,1.0
2016-05-31,30.0,30.0,30.0,30.0,29.0009,200.0,0.0,1.0
2016-06-01,29.79,29.79,29.75,29.75,28.7592,300.0,0.0,1.0
2016-06-02,31.0,31.0,29.92,29.92,28.9235,300.0,0.0,1.0
2016-06-03,29.86,29.86,29.86,29.86,28.8655,200.0,0.0,1.0
2016-06-06,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-07,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-08,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-09,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-10,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-13,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-14,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-15,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-16,29.86,29.86,29.86,29.86,28.8655,0.0,0.0,1.0
2016-06-17,29.92,29.92,29.85,29.85,28.8559,2800.0,0.0,1.0
2016-06-20,29.75,29.75,29.75,29.75,28.7592,500.0,0.0,1.0
2016-06-21,29.51,29.551,29.51,29.551,28.5668,400.0,0.0,1.0
2016-06-22,29.551,29.551,29.551,29.551,28.5668,0.0,0.0,1.0
2016-06-23,29.6,29.6,29.6,29.6,28.6142,200.0,0.0,1.0
2016-06-24,29.6,29.6,29.6,29.6,28.6142,0.0,0.0,1.0
2016-06-27,29.55,29.57,29.55,29.57,28.5852,200.0,0.0,1.0
2016-06-28,29.57,29.57,29.57,29.57,28.5852,0.0,0.0,1.0
2016-06-29,29.57,29.57,29.57,29.57,28.5852,0.0,0.0,1.0
2016-06-30,29.57,29.57,29.57,29.57,28.5852,0.0,0.0,1.0
2016-07-01,29.57,29.57,29.57,29.57,28.5852,0.0,0.0,1.0
2016-07-05,29.95,29.95,29.95,29.95,28.9525,200.0,0.0,1.0
2016-07-06,29.95,29.95,29.95,29.95,28.9525,0.0,0.0,1.0
2016-07-07,29.95,29.95,29.95,29.95,28.9525,0.0,0.0,1.0
2016-07-08,29.95,29.95,29.95,29.95,28.9525,0.0,0.0,1.0
2016-07-11,29.93,30.03,29.93,30.03,29.0299,300.0,0.0,1.0
2016-07-12,30.03,30.03,30.03,30.03,29.0299,0.0,0.0,1.0
2016-07-13,30.02,30.2,29.94,30.2,29.1942,600.0,0.0,1.0
2016-07-14,30.2,30.2,30.2,30.2,29.1942,100.0,0.0,1.0
2016-07-15,30.2,30.2,30.2,30.2,29.1942,0.0,0.0,1.0
2016-07-18,30.2,30.2,30.2,30.2,29.1942,0.0,0.0,1.0
2016-07-19,29.625,29.625,29.625,29.625,28.6383,600.0,0.0,1.0
2016-07-20,29.625,29.625,29.625,29.625,28.6383,0.0,0.0,1.0
2016-07-21,29.625,29.625,29.625,29.625,28.6383,0.0,0.0,1.0
2016-07-22,29.625,29.625,29.625,29.625,28.6383,0.0,0.0,1.0
2016-07-25,29.41,29.41,29.34,29.34,28.3628,200.0,0.0,1.0
2016-07-26,29.49,29.49,29.49,29.49,28.5078,1000.0,0.0,1.0
2016-07-27,29.49,29.49,29.49,29.49,28.5078,0.0,0.0,1.0
2016-07-28,29.49,29.49,29.49,29.49,28.5078,0.0,0.0,1.0
2016-07-29,29.49,29.49,29.49,29.49,28.5078,0.0,0.0,1.0
2016-08-01,29.63,29.63,29.627,29.627,28.6403,400.0,0.0,1.0
2016-08-02,29.68,29.68,29.68,29.68,28.6915,1000.0,0.0,1.0
2016-08-03,29.63,32.0,29.56,29.78,28.7882,13600.0,0.0,1.0
2016-08-04,29.78,29.78,29.78,29.78,28.7882,0.0,0.0,1.0
2016-08-05,29.78,29.78,29.78,29.78,28.7882,200.0,0.0,1.0
2016-08-08,29.82,29.82,29.82,29.82,28.8269,700.0,0.0,1.0
2016-08-09,29.78,29.78,29.78,29.78,28.7882,700.0,0.0,1.0
2016-08-10,29.8,29.8,29.7,29.73,28.7398,2100.0,0.0,1.0
2016-08-11,29.73,29.73,29.73,29.73,28.7398,0.0,0.0,1.0
2016-08-12,29.415,29.415,29.415,29.415,28.4353,300.0,0.0,1.0
2016-08-15,29.415,29.415,29.415,29.415,28.4353,0.0,0.0,1.0
2016-08-16,29.415,29.415,29.415,29.415,28.4353,0.0,0.0,1.0
2016-08-17,29.415,29.415,29.415,29.415,28.4353,0.0,0.0,1.0
2016-08-18,29.415,29.415,29.415,29.415,28.4353,0.0,0.0,1.0
2016-08-19,29.08,29.13,29.08,29.09,28.1212,300.0,0.0,1.0
2016-08-22,29.09,29.09,29.09,29.09,28.1212,0.0,0.0,1.0
2016-08-23,29.3,29.3,29.299,29.299,28.3232,300.0,0.0,1.0
2016-08-24,29.179,29.22,29.16,29.16,28.1888,400.0,0.0,1.0
2016-08-25,29.17,29.17,29.156,29.156,28.185,1800.0,0.0,1.0
2016-08-26,29.156,29.156,29.156,29.156,28.185,0.0,0.0,1.0
2016-08-29,29.156,29.156,29.156,29.156,28.185,0.0,0.0,1.0
2016-08-30,29.156,29.156,29.156,29.156,28.185,0.0,0.0,1.0
2016-08-31,29.2,29.2,29.2,29.2,28.2275,200.0,0.0,1.0
2016-09-01,29.2,29.2,29.2,29.2,28.2275,0.0,0.0,1.0
2016-09-02,29.2,29.2,29.2,29.2,28.2275,0.0,0.0,1.0
2016-09-06,29.2,29.2,29.2,29.2,28.2275,0.0,0.0,1.0
2016-09-07,29.13,29.13,29.13,29.13,28.1598,9600.0,0.0,1.0
2016-09-08,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-09,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-12,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-13,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-14,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-15,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-16,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-19,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-20,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
2016-09-21,29.13,29.13,29.13,29.13,28.1598,0.0,0.0,1.0
