date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-10-26,10.02,10.02,10.02,10.02,8.4197,0.0,0.0,1.0
2017-11-14,24.45,24.45,24.0,24.25,20.3769,90000.0,0.0,1.0
2017-11-15,24.0,24.499,24.0,24.35,20.461,81200.0,0.0,1.0
2017-11-16,24.271,24.3,24.2,24.27,20.3937,30900.0,0.0,1.0
2017-11-17,24.25,24.33,24.249,24.33,20.4442,17500.0,0.0,1.0
2017-11-20,24.29,24.3,24.1,24.143,20.287,11300.0,0.0,1.0
2017-11-21,24.1,24.1,23.76,23.76,19.9652,8200.0,0.0,1.0
2017-11-22,24.0,24.0,23.95,23.95,20.1248,2100.0,0.0,1.0
2017-11-24,23.85,23.95,23.85,23.95,20.1248,2100.0,0.0,1.0
2017-11-27,23.9,23.9,23.65,23.8,19.9988,11800.0,0.0,1.0
2017-11-28,23.75,23.8,23.75,23.795,19.9946,2600.0,0.0,1.0
2017-11-29,23.776,23.8,23.36,23.67,19.8896,5400.0,0.0,1.0
2017-11-30,23.489,23.6,22.3,23.2,19.4946,8900.0,0.0,1.0
2017-12-01,23.01,23.04,22.75,23.0,19.3266,3700.0,0.0,1.0
2017-12-04,23.01,23.01,22.199,22.89,19.2341,6300.0,0.0,1.0
2017-12-05,22.94,24.09,22.48,23.99,20.1585,13600.0,0.0,1.0
2017-12-06,23.99,24.0,23.5,23.5,19.7467,3400.0,0.0,1.0
2017-12-07,23.78,23.79,23.498,23.498,19.745,3600.0,0.0,1.0
2017-12-08,23.48,23.49,23.48,23.49,19.7383,300.0,0.0,1.0
2017-12-11,23.9,23.9,23.65,23.653,19.8753,5400.0,0.0,1.0
2017-12-12,23.66,23.77,22.664,22.79,19.1501,18500.0,0.0,1.0
2017-12-13,22.71,23.74,22.71,23.73,19.94,1000.0,0.0,1.0
2017-12-14,24.8,24.8,23.4,23.4,19.6627,2700.0,0.0,1.0
2017-12-15,23.69,23.69,23.69,23.69,19.9064,100.0,0.0,1.0
2017-12-18,23.47,23.47,23.4,23.4,19.6627,1100.0,0.0,1.0
2017-12-19,22.761,23.118,20.01,21.7,18.2342,41500.0,0.0,1.0
2017-12-20,21.67,22.8,20.25,21.25,17.8561,43700.0,0.0,1.0
2017-12-21,21.05,22.27,20.35,20.47,17.2006,20400.0,0.0,1.0
2017-12-22,20.553,21.68,20.553,21.04,17.6796,8500.0,0.0,1.0
2017-12-26,21.05,21.94,20.73,20.73,17.4191,11100.0,0.0,1.0
2017-12-27,20.57,22.0,20.46,21.18,17.7973,8100.0,0.0,1.0
2017-12-28,22.32,22.48,21.01,22.45,18.8644,25600.0,0.0,1.0
2017-12-29,22.48,23.98,22.0,22.75,19.1165,15200.0,0.0,1.0
2018-01-02,22.097,22.097,22.097,22.097,18.5678,400.0,0.0,1.0
2018-01-03,22.097,22.097,22.097,22.097,18.5678,0.0,0.0,1.0
2018-01-04,22.793,23.0,22.346,22.346,18.777,4500.0,0.0,1.0
2018-01-05,23.0,23.35,22.298,22.88,19.2257,11200.0,0.0,1.0
2018-01-08,22.888,22.9,22.348,22.505,18.9106,11100.0,0.0,1.0
2018-01-09,22.455,22.5,22.394,22.405,18.8266,4200.0,0.0,1.0
2018-01-10,22.93,22.994,22.55,22.55,18.9484,3000.0,0.0,1.0
2018-01-11,22.622,22.69,22.622,22.69,19.0661,400.0,0.0,1.0
2018-01-12,22.905,22.905,22.69,22.697,19.072,3200.0,0.0,1.0
2018-01-16,22.61,22.961,22.61,22.961,19.2938,600.0,0.0,1.0
2018-01-17,22.61,22.61,21.7,22.015,18.4989,5500.0,0.0,1.0
2018-01-18,22.15,22.15,22.15,22.15,18.6123,1100.0,0.0,1.0
2018-01-19,22.456,22.456,22.44,22.44,18.856,600.0,0.0,1.0
2018-01-22,22.95,22.95,22.95,22.95,19.2846,900.0,0.0,1.0
2018-01-23,21.4,22.94,21.022,22.366,18.7938,47400.0,0.0,1.0
2018-01-24,22.874,22.874,22.324,22.324,18.7585,900.0,0.0,1.0
2018-01-25,22.16,22.16,22.05,22.05,18.5283,1200.0,0.0,1.0
2018-01-26,22.4,22.4,22.4,22.4,18.8224,200.0,0.0,1.0
2018-01-29,22.2,22.2,21.11,21.78,18.3014,9200.0,0.0,1.0
2018-01-30,21.78,21.78,21.78,21.78,18.3014,0.0,0.0,1.0
2018-01-31,22.327,22.327,21.5,21.587,18.1392,800.0,0.0,1.0
2018-02-01,21.5,21.899,21.5,21.73,18.2594,1600.0,0.0,1.0
2018-02-02,21.5,21.5,20.571,20.885,17.5494,15300.0,0.0,1.0
2018-02-05,20.58,21.588,20.11,20.85,17.52,5000.0,0.0,1.0
2018-02-06,21.1,21.634,20.05,21.0,17.646,12400.0,0.0,1.0
2018-02-07,20.35,20.49,20.14,20.448,17.1822,3400.0,0.0,1.0
2018-02-08,20.2,21.024,20.11,20.23,16.999,4800.0,0.0,1.0
2018-02-09,21.23,21.535,20.3,21.535,18.0956,2600.0,0.0,1.0
2018-02-12,21.33,21.366,20.526,20.526,17.2477,4500.0,0.0,1.0
2018-02-13,20.6,20.6,20.33,20.5,17.2259,2800.0,0.0,1.0
2018-02-14,20.511,20.867,20.51,20.51,17.2343,800.0,0.0,1.0
2018-02-15,21.01,21.15,21.01,21.15,17.772,300.0,0.0,1.0
2018-02-16,22.06,22.06,22.06,22.06,18.5367,2000.0,0.0,1.0
2018-02-20,21.94,22.085,21.94,22.085,18.5577,1200.0,0.0,1.0
2018-02-21,21.97,22.229,21.97,22.229,18.6787,1900.0,0.0,1.0
2018-02-22,22.209,22.35,22.12,22.35,18.7804,8000.0,0.0,1.0
2018-02-23,22.35,22.35,22.35,22.35,18.7804,0.0,0.0,1.0
2018-02-26,22.35,22.35,22.35,22.35,18.7804,0.0,0.0,1.0
2018-02-27,22.436,22.436,22.436,22.436,18.8526,400.0,0.0,1.0
2018-02-28,22.74,22.75,22.74,22.74,19.1081,2100.0,0.0,1.0
2018-03-01,22.6,22.6,22.6,22.6,18.9905,600.0,0.0,1.0
2018-03-02,22.904,23.0,22.904,23.0,19.3266,800.0,0.0,1.0
2018-03-05,23.13,23.13,23.13,23.13,19.4358,100.0,0.0,1.0
2018-03-06,22.76,22.76,22.76,22.76,19.1249,300.0,0.0,1.0
2018-03-07,23.13,23.15,23.004,23.098,19.4089,2700.0,0.0,1.0
2018-03-08,23.15,23.69,23.15,23.673,19.8921,600.0,0.0,1.0
2018-03-09,23.454,23.454,21.955,21.955,18.4485,5700.0,0.0,1.0
2018-03-12,23.96,23.96,23.72,23.72,19.9316,1000.0,0.0,1.0
2018-03-13,23.71,23.96,23.39,23.898,20.0811,2600.0,0.0,1.0
2018-03-14,23.849,23.849,22.66,22.7,19.554,4700.0,0.586,1.0
2018-03-15,22.25,23.5,22.23,23.0,19.8124,3000.0,0.0,1.0
2018-03-16,23.0,23.0,23.0,23.0,19.8124,0.0,0.0,1.0
2018-03-19,22.25,22.25,22.25,22.25,19.1663,100.0,0.0,1.0
2018-03-20,22.524,22.86,22.524,22.623,19.4876,900.0,0.0,1.0
2018-03-21,22.5,22.5,22.41,22.41,19.3042,700.0,0.0,1.0
2018-03-22,23.65,23.65,22.4,22.4,19.2955,3000.0,0.0,1.0
2018-03-23,23.65,23.65,22.0,22.1,19.0371,2000.0,0.0,1.0
2018-03-26,21.991,22.95,21.991,22.95,19.7693,2600.0,0.0,1.0
2018-03-27,22.71,22.71,22.71,22.71,19.5626,900.0,0.0,1.0
2018-03-28,22.71,22.71,22.71,22.71,19.5626,0.0,0.0,1.0
2018-03-29,22.92,23.2,22.92,23.2,19.9847,500.0,0.0,1.0
2018-04-02,22.81,22.9,22.81,22.818,19.6556,3900.0,0.0,1.0
2018-04-03,22.818,22.818,22.818,22.818,19.6556,0.0,0.0,1.0
2018-04-04,22.818,22.818,22.818,22.818,19.6556,0.0,0.0,1.0
2018-04-05,22.818,22.818,22.818,22.818,19.6556,0.0,0.0,1.0
2018-04-06,22.111,22.63,22.0,22.0,18.951,1700.0,0.0,1.0
2018-04-09,22.88,22.88,22.687,22.794,19.6349,1500.0,0.0,1.0
2018-04-10,22.89,22.89,22.26,22.26,19.1749,1700.0,0.0,1.0
2018-04-11,22.26,22.26,22.26,22.26,19.1749,0.0,0.0,1.0
2018-04-12,22.595,22.595,22.595,22.595,19.4635,1000.0,0.0,1.0
2018-04-13,22.3,22.418,22.3,22.3,19.2094,1000.0,0.0,1.0
