date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-11-04,25.14,25.19,25.14,25.19,23.4215,200.0,0.0,1.0
2015-11-05,25.19,25.19,25.19,25.19,23.4215,0.0,0.0,1.0
2015-11-06,25.24,25.24,25.24,25.24,23.4679,1000.0,0.0,1.0
2015-11-09,25.24,25.24,25.24,25.24,23.4679,0.0,0.0,1.0
2015-11-10,25.24,25.24,25.24,25.24,23.4679,0.0,0.0,1.0
2015-11-11,25.24,25.24,25.24,25.24,23.4679,0.0,0.0,1.0
2015-11-12,25.1,25.1,25.1,25.1,23.3378,100.0,0.0,1.0
2015-11-13,25.22,25.23,25.06,25.23,23.4587,900.0,0.0,1.0
2015-11-16,25.23,25.23,25.23,25.23,23.4587,0.0,0.0,1.0
2015-11-17,25.07,25.923,25.07,25.923,24.103,300.0,0.0,1.0
2015-11-18,25.923,25.923,25.923,25.923,24.103,0.0,0.0,1.0
2015-11-19,25.923,25.923,25.923,25.923,24.103,5000.0,0.0,1.0
2015-11-20,25.08,25.08,25.08,25.08,23.3192,300.0,0.0,1.0
2015-11-23,25.08,25.08,25.08,25.08,23.3192,0.0,0.0,1.0
2015-11-24,24.94,24.94,24.94,24.94,23.189,100.0,0.0,1.0
2015-11-25,25.14,25.14,25.0,25.01,23.2541,300.0,0.0,1.0
2015-11-27,25.01,25.01,25.01,25.01,23.2541,0.0,0.0,1.0
2015-11-30,25.04,25.04,25.04,25.04,23.282,900.0,0.0,1.0
2015-12-01,25.04,25.04,25.04,25.04,23.282,0.0,0.0,1.0
2015-12-02,25.19,25.19,25.18,25.18,23.4122,800.0,0.0,1.0
2015-12-03,25.03,25.03,25.02,25.02,23.2634,900.0,0.0,1.0
2015-12-04,24.93,24.95,24.93,24.94,23.189,5000.0,0.0,1.0
2015-12-07,25.04,25.07,24.938,24.938,23.1872,1600.0,0.0,1.0
2015-12-08,24.938,24.938,24.938,24.938,23.1872,0.0,0.0,1.0
2015-12-09,24.938,24.938,24.938,24.938,23.1872,0.0,0.0,1.0
2015-12-10,24.94,24.94,24.75,24.75,23.0124,2200.0,0.0,1.0
2015-12-11,24.79,24.79,24.61,24.77,23.0309,2100.0,0.0,1.0
2015-12-14,24.77,24.77,24.77,24.77,23.0309,0.0,0.0,1.0
2015-12-15,24.77,24.77,24.77,24.77,23.0309,15000.0,0.0,1.0
2015-12-16,24.84,24.84,24.84,24.84,23.096,100.0,0.0,1.0
2015-12-17,24.84,25.73,24.83,25.73,23.9236,1000.0,0.0,1.0
2015-12-18,24.7,24.7,24.52,24.7,22.9659,1000.0,0.0,1.0
2015-12-21,24.43,24.53,24.43,24.475,22.7567,1800.0,0.0,1.0
2015-12-22,24.44,24.51,24.44,24.51,22.7892,400.0,0.0,1.0
2015-12-23,24.51,24.51,24.51,24.51,22.9248,0.0,0.145,1.0
2015-12-24,24.51,24.51,24.51,24.51,22.9248,0.0,0.0,1.0
2015-12-28,24.51,24.51,24.51,24.51,22.9248,0.0,0.0,1.0
2015-12-29,24.51,24.51,24.51,24.51,22.9248,0.0,0.0,1.0
2015-12-30,24.51,24.51,24.51,24.51,22.9248,0.0,0.0,1.0
2015-12-31,24.55,24.65,24.55,24.55,22.9622,1400.0,0.0,1.0
2016-01-04,24.58,24.58,24.5,24.5,22.9155,1000.0,0.0,1.0
2016-01-05,24.5,24.5,24.5,24.5,22.9155,800.0,0.0,1.0
2016-01-06,24.5,27.91,24.42,24.52,22.9342,3000.0,0.0,1.0
2016-01-07,24.33,24.34,24.18,24.18,22.6162,4100.0,0.0,1.0
2016-01-08,24.11,24.11,23.94,23.94,22.3917,200.0,0.0,1.0
2016-01-11,23.92,23.94,23.91,23.93,22.3823,1400.0,0.0,1.0
2016-01-12,23.93,23.93,23.93,23.93,22.3823,0.0,0.0,1.0
2016-01-13,23.86,23.86,23.85,23.85,22.3075,1600.0,0.0,1.0
2016-01-14,23.64,23.64,23.604,23.604,22.0774,1000.0,0.0,1.0
2016-01-15,23.604,23.604,23.604,23.604,22.0774,0.0,0.0,1.0
2016-01-19,23.44,23.44,23.44,23.44,21.924,1100.0,0.0,1.0
2016-01-20,23.15,23.26,23.15,23.26,21.7557,300.0,0.0,1.0
2016-01-21,23.26,23.26,23.26,23.26,21.7838,0.0,0.03,1.0
2016-01-22,23.3,23.3,23.192,23.192,21.7201,900.0,0.0,1.0
2016-01-25,23.192,23.192,23.192,23.192,21.7201,0.0,0.0,1.0
