date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-10-11,12.24,12.5,11.53,11.53,11.53,334100.0,0.0,1.0
2017-10-12,11.5,11.8,11.5,11.65,11.65,90900.0,0.0,1.0
2017-10-13,11.7,11.7,11.6,11.6,11.6,46000.0,0.0,1.0
2017-10-16,11.6,11.69,11.5,11.55,11.55,50800.0,0.0,1.0
2017-10-17,11.54,11.54,11.3,11.31,11.31,94500.0,0.0,1.0
2017-10-18,11.32,11.32,11.06,11.15,11.15,62900.0,0.0,1.0
2017-10-19,11.1,11.15,11.05,11.1,11.1,48100.0,0.0,1.0
2017-10-20,11.1,11.1,11.01,11.015,11.015,73600.0,0.0,1.0
2017-10-23,11.02,11.25,11.0,11.25,11.25,50900.0,0.0,1.0
2017-10-24,11.365,11.365,11.134,11.195,11.195,18800.0,0.0,1.0
2017-10-25,11.165,11.18,11.031,11.031,11.031,13800.0,0.0,1.0
2017-10-26,11.1,11.18,11.02,11.06,11.06,22000.0,0.0,1.0
2017-10-27,11.134,11.17,11.1,11.15,11.15,11900.0,0.0,1.0
2017-10-30,11.15,11.22,11.15,11.216,11.216,4300.0,0.0,1.0
2017-10-31,11.24,11.34,11.214,11.34,11.34,26400.0,0.0,1.0
2017-11-01,11.34,11.39,11.34,11.365,11.365,26500.0,0.0,1.0
2017-11-02,11.3,11.3,11.3,11.3,11.3,1200.0,0.0,1.0
2017-11-03,11.3,11.3,11.2,11.22,11.22,21900.0,0.0,1.0
2017-11-06,11.25,11.3,11.18,11.18,11.18,16200.0,0.0,1.0
2017-11-07,11.2,11.2,11.1,11.19,11.19,12500.0,0.0,1.0
2017-11-08,11.2,11.24,11.1,11.2,11.2,5200.0,0.0,1.0
2017-11-09,11.05,11.25,11.01,11.25,11.25,9600.0,0.0,1.0
2017-11-10,11.25,11.25,11.14,11.149,11.149,10000.0,0.0,1.0
2017-11-13,11.15,11.15,11.06,11.06,11.06,4100.0,0.0,1.0
2017-11-14,11.105,11.14,11.08,11.139,11.139,6700.0,0.0,1.0
2017-11-15,11.099,11.1,11.09,11.1,11.1,8100.0,0.0,1.0
2017-11-16,11.099,11.1,11.04,11.045,11.045,13700.0,0.0,1.0
2017-11-17,11.06,11.1,11.02,11.09,11.09,13800.0,0.0,1.0
2017-11-20,11.06,11.09,11.06,11.085,11.085,1000.0,0.0,1.0
2017-11-21,11.07,11.15,11.067,11.15,11.15,18000.0,0.0,1.0
2017-11-22,11.029,11.15,11.029,11.15,11.15,18500.0,0.0,1.0
2017-11-24,11.15,11.15,11.15,11.15,11.15,0.0,0.0,1.0
2017-11-27,11.15,11.2,11.128,11.19,11.19,21800.0,0.0,1.0
2017-11-28,11.2,11.2,11.11,11.2,11.2,14100.0,0.0,1.0
2017-11-29,11.26,11.27,11.02,11.15,11.15,27000.0,0.0,1.0
2017-11-30,11.072,11.3,11.072,11.3,11.3,6800.0,0.0,1.0
2017-12-01,11.35,11.35,11.2,11.3,11.3,6000.0,0.0,1.0
2017-12-04,11.3,11.3,11.29,11.3,11.3,2100.0,0.0,1.0
2017-12-05,11.3,11.3,11.19,11.19,11.19,8100.0,0.0,1.0
2017-12-06,11.2,11.35,11.16,11.2,11.2,14400.0,0.0,1.0
2017-12-07,11.2,11.25,11.15,11.25,11.25,17400.0,0.0,1.0
2017-12-08,11.2,11.273,11.199,11.25,11.25,5000.0,0.0,1.0
2017-12-11,11.25,11.35,11.215,11.215,11.215,21800.0,0.0,1.0
2017-12-12,11.3,11.3,11.19,11.21,11.21,12600.0,0.0,1.0
