date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-10-10,11.5,11.75,11.45,11.73,9.6481,5551600.0,0.0,1.0
2007-10-11,11.75,11.95,11.65,11.69,9.6152,700600.0,0.0,1.0
2007-10-12,11.7,11.7,11.6,11.65,9.5823,241800.0,0.0,1.0
2007-10-15,11.5,11.65,11.5,11.51,9.4672,380900.0,0.0,1.0
2007-10-16,11.55,11.55,11.45,11.53,9.4836,410300.0,0.0,1.0
2007-10-17,11.5,11.51,11.45,11.5,9.4589,662800.0,0.0,1.0
2007-10-18,11.48,11.54,11.45,11.54,9.4918,272400.0,0.0,1.0
2007-10-19,11.5,11.5,11.45,11.45,9.4178,223100.0,0.0,1.0
2007-10-22,11.4,11.5,11.0,11.48,9.4425,386000.0,0.0,1.0
2007-10-23,11.5,11.52,11.45,11.5,9.4589,135000.0,0.0,1.0
2007-10-24,11.49,11.49,11.4,11.4,9.3767,93900.0,0.0,1.0
2007-10-25,11.42,11.48,11.4,11.48,9.4425,63700.0,0.0,1.0
2007-10-26,11.5,11.5,11.4,11.41,9.3849,54700.0,0.0,1.0
2007-10-29,11.46,11.46,11.31,11.38,9.3602,88600.0,0.0,1.0
2007-10-30,11.38,11.38,11.3,11.35,9.3356,64900.0,0.0,1.0
2007-10-31,11.36,11.44,11.3,11.33,9.3191,119500.0,0.0,1.0
2007-11-01,11.3,11.3,11.1,11.19,9.2039,146600.0,0.0,1.0
2007-11-02,11.21,11.21,10.91,10.99,9.0394,119200.0,0.0,1.0
2007-11-05,10.91,10.95,10.6,10.89,8.9572,274500.0,0.0,1.0
2007-11-06,10.62,10.97,10.62,10.9,8.9654,97600.0,0.0,1.0
2007-11-07,10.9,10.9,10.66,10.7,8.8009,48500.0,0.0,1.0
2007-11-08,10.7,10.7,10.51,10.65,8.7598,176700.0,0.0,1.0
2007-11-09,10.5,10.83,10.5,10.81,8.8914,83100.0,0.0,1.0
2007-11-12,10.66,10.94,10.66,10.77,8.8585,271300.0,0.0,1.0
