date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-02-24,31.27,31.27,31.27,31.27,24.2944,100.0,0.0,1.0
2012-02-27,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-02-28,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-02-29,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-01,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-02,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-05,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-06,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-07,31.27,31.27,31.27,31.27,24.2944,0.0,0.0,1.0
2012-03-08,30.79,30.79,30.72,30.72,23.8671,13200.0,0.0,1.0
2012-03-09,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-12,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-13,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-14,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-15,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-16,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-19,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-20,30.72,30.72,30.72,30.72,23.8671,0.0,0.0,1.0
2012-03-21,30.72,30.72,30.72,30.72,23.9529,0.0,0.11,1.0
2012-03-22,30.72,30.72,30.72,30.72,23.9529,0.0,0.0,1.0
2012-03-23,30.72,30.72,30.72,30.72,23.9529,0.0,0.0,1.0
2012-03-26,30.55,30.55,30.55,30.55,23.8203,200.0,0.0,1.0
2012-03-27,30.55,30.55,30.55,30.55,23.8203,0.0,0.0,1.0
2012-03-28,30.55,30.55,30.55,30.55,23.8203,0.0,0.0,1.0
2012-03-29,30.55,30.55,30.55,30.55,23.8203,0.0,0.0,1.0
2012-03-30,30.13,30.13,30.13,30.13,23.4928,300.0,0.0,1.0
2012-04-02,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-03,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-04,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-05,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-09,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-10,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-11,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-12,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-13,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-16,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-17,30.13,30.13,30.13,30.13,23.4928,0.0,0.0,1.0
2012-04-18,30.96,30.96,30.96,30.96,24.14,200.0,0.0,1.0
2012-04-19,31.03,31.03,31.03,31.03,24.1946,200.0,0.0,1.0
2012-04-20,31.03,31.03,31.03,31.03,24.1946,0.0,0.0,1.0
2012-04-23,31.03,31.03,31.03,31.03,24.1946,0.0,0.0,1.0
2012-04-24,31.03,31.03,31.03,31.03,24.1946,0.0,0.0,1.0
2012-04-25,30.96,30.96,30.83,30.83,24.0386,500.0,0.0,1.0
2012-04-26,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-04-27,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-04-30,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-05-01,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-05-02,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-05-03,30.83,30.83,30.83,30.83,24.0386,0.0,0.0,1.0
2012-05-04,30.76,30.76,30.76,30.76,23.9841,200.0,0.0,1.0
2012-05-07,30.76,30.76,30.76,30.76,23.9841,0.0,0.0,1.0
2012-05-08,30.76,30.76,30.76,30.76,23.9841,0.0,0.0,1.0
2012-05-09,30.76,30.76,30.76,30.76,23.9841,0.0,0.0,1.0
2012-05-10,29.74,29.74,29.74,29.74,23.1888,1000.0,0.0,1.0
