date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,3.8021,3.8021,3.8021,3.8021,1.7595,0.0,0.0,1.0
1999-08-10,3.75,3.75,3.75,3.75,1.7354,3600.0,0.0,1.0
1999-08-11,3.75,3.75,3.75,3.75,1.7354,0.0,0.0,1.0
1999-08-12,3.75,3.75,3.75,3.75,1.7354,3800.0,0.0,1.0
1999-08-13,3.6979,3.6979,3.5938,3.6458,1.6872,31400.0,0.0,1.0
1999-08-16,3.6458,3.75,3.6458,3.724,1.7233,10800.0,0.0,1.0
1999-08-17,3.724,3.724,3.724,3.724,1.7233,0.0,0.0,1.0
1999-08-18,3.724,3.724,3.724,3.724,1.7233,0.0,0.0,1.0
1999-08-19,3.724,3.724,3.6979,3.6979,1.7113,900.0,0.0,1.0
1999-08-20,3.6979,3.6979,3.6458,3.6458,1.6872,10500.0,0.0,1.0
1999-08-23,3.6719,3.6719,3.6719,3.6719,1.6992,700.0,0.0,1.0
1999-08-24,3.6198,3.6198,3.5677,3.5677,1.651,16300.0,0.0,1.0
1999-08-25,3.5417,3.5417,3.4896,3.5417,1.6389,8400.0,0.0,1.0
1999-08-26,3.5417,3.5417,3.4896,3.4896,1.6148,4300.0,0.0,1.0
1999-08-27,3.5156,3.5156,3.5156,3.5156,1.6269,900.0,0.0,1.0
1999-08-30,3.5156,3.5156,3.5156,3.5156,1.6269,900.0,0.0,1.0
1999-08-31,3.5156,3.5417,3.4896,3.4896,1.6148,4500.0,0.0,1.0
1999-09-01,3.4896,3.5417,3.4896,3.5417,1.6389,1200.0,0.0,1.0
1999-09-02,3.4896,3.5156,3.4896,3.5156,1.6269,1600.0,0.0,1.0
1999-09-03,3.4896,3.5417,3.4635,3.5417,1.6389,16500.0,0.0,1.0
1999-09-07,3.5417,3.5938,3.5417,3.5417,1.6389,14400.0,0.0,1.0
1999-09-08,3.5417,3.5417,3.5417,3.5417,1.6389,0.0,0.0,1.0
1999-09-09,3.5677,3.5938,3.5677,3.5938,1.663,2600.0,0.0,1.0
1999-09-10,3.5938,3.5938,3.5938,3.5938,1.663,0.0,0.0,1.0
1999-09-13,3.6198,3.6198,3.5938,3.5938,1.663,400.0,0.0,1.0
1999-09-14,3.5938,3.5938,3.5938,3.5938,1.663,0.0,0.0,1.0
1999-09-15,3.5938,3.5938,3.5417,3.5417,1.6389,2100.0,0.0,1.0
1999-09-16,3.5417,3.5417,3.5417,3.5417,1.6389,1200.0,0.0,1.0
1999-09-17,3.5417,3.5417,3.5417,3.5417,1.6389,400.0,0.0,1.0
1999-09-20,3.5417,3.5417,3.5156,3.5417,1.6389,7600.0,0.0,1.0
1999-09-21,3.4896,3.4896,3.4896,3.4896,1.6148,1400.0,0.0,1.0
1999-09-22,3.5156,3.5156,3.4896,3.4896,1.6148,8400.0,0.0,1.0
1999-09-23,3.4896,3.4896,3.4896,3.4896,1.6148,1600.0,0.0,1.0
1999-09-24,3.4896,3.5156,3.4896,3.5156,1.6269,21100.0,0.0,1.0
1999-09-27,3.4896,3.4896,3.4896,3.4896,1.6148,4800.0,0.0,1.0
1999-09-28,3.4896,3.5156,3.4896,3.5156,1.6269,6400.0,0.0,1.0
1999-09-29,3.4635,3.4635,3.3594,3.4115,1.5787,31900.0,0.0,1.0
1999-09-30,3.3854,3.3854,3.3333,3.3333,1.5425,114900.0,0.0,1.0
1999-10-01,3.3333,3.3594,3.3333,3.3594,1.5546,7400.0,0.0,1.0
1999-10-04,3.3594,3.3854,3.3333,3.3333,1.5425,8100.0,0.0,1.0
1999-10-05,3.3333,3.3333,3.2292,3.3073,1.5305,11200.0,0.0,1.0
1999-10-06,3.3073,3.3333,3.2813,3.3333,1.5425,126900.0,0.0,1.0
1999-10-07,3.3333,3.3333,3.3333,3.3333,1.5425,29700.0,0.0,1.0
1999-10-08,3.3333,3.3333,3.3073,3.3333,1.5425,8600.0,0.0,1.0
1999-10-11,3.3333,3.3333,3.3333,3.3333,1.5425,1200.0,0.0,1.0
1999-10-12,3.3333,3.3333,3.3333,3.3333,1.5425,200.0,0.0,1.0
1999-10-13,3.3333,3.3333,3.3333,3.3333,1.5425,400.0,0.0,1.0
1999-10-14,3.2813,3.2813,3.2813,3.2813,1.5184,3800.0,0.0,1.0
1999-10-15,3.2813,3.2813,3.2813,3.2813,1.5184,48900.0,0.0,1.0
1999-10-18,3.2813,3.4375,3.2813,3.4375,1.5907,8600.0,0.0,1.0
1999-10-19,3.3854,3.3854,3.3594,3.3594,1.5546,9800.0,0.0,1.0
1999-10-20,3.3594,3.3594,3.3594,3.3594,1.5546,700.0,0.0,1.0
1999-10-21,3.3333,3.3594,3.3333,3.3333,1.5425,8100.0,0.0,1.0
1999-10-22,3.3333,3.3333,3.3333,3.3333,1.5425,0.0,0.0,1.0
1999-10-25,3.3333,3.3333,3.3333,3.3333,1.5425,3800.0,0.0,1.0
1999-10-26,3.3333,3.3333,3.3333,3.3333,1.5425,0.0,0.0,1.0
1999-10-27,3.3333,3.3333,3.3333,3.3333,1.5425,900.0,0.0,1.0
1999-10-28,3.4375,3.4375,3.4115,3.4375,1.5907,4500.0,0.0,1.0
1999-10-29,3.4375,3.4896,3.3854,3.4896,1.6148,10000.0,0.0,1.0
1999-11-01,3.4375,3.4375,3.3854,3.3854,1.5666,1600.0,0.0,1.0
1999-11-02,3.3854,3.3854,3.3854,3.3854,1.5666,0.0,0.0,1.0
1999-11-03,3.3854,3.3854,3.3333,3.3594,1.5546,8600.0,0.0,1.0
1999-11-04,3.3333,3.4375,3.3333,3.4375,1.5907,3100.0,0.0,1.0
1999-11-05,3.4375,3.4375,3.3854,3.3854,1.5666,2800.0,0.0,1.0
1999-11-08,3.3333,3.3333,3.3333,3.3333,1.5425,2400.0,0.0,1.0
1999-11-09,3.3333,3.4375,3.3333,3.4375,1.5907,16000.0,0.0,1.0
1999-11-10,3.4375,3.4375,3.3854,3.3854,1.5666,9100.0,0.0,1.0
1999-11-11,3.3854,3.3854,3.3333,3.3333,1.5425,1400.0,0.0,1.0
1999-11-12,3.3333,3.3333,3.3333,3.3333,1.5425,1400.0,0.0,1.0
1999-11-15,3.3854,3.4375,3.3333,3.3333,1.5425,9100.0,0.0,1.0
1999-11-16,3.3333,3.3333,3.3333,3.3333,1.5425,4800.0,0.0,1.0
1999-11-17,3.4375,3.4375,3.4375,3.4375,1.5907,1200.0,0.0,1.0
