date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-03,49.95,50.25,49.95,50.09,47.2709,6500.0,0.0,1.0
2017-11-06,50.09,50.09,50.09,50.09,47.2709,0.0,0.0,1.0
2017-11-07,50.25,50.25,50.248,50.248,47.42,600.0,0.0,1.0
2017-11-08,50.12,50.2,50.11,50.2,47.3747,3000.0,0.0,1.0
2017-11-09,50.19,50.2,50.176,50.19,47.3652,5900.0,0.0,1.0
2017-11-10,50.19,50.19,50.19,50.19,47.3652,0.0,0.0,1.0
2017-11-13,50.14,50.14,50.07,50.07,47.252,17000.0,0.0,1.0
2017-11-14,50.2,50.2,50.2,50.2,47.3747,1200.0,0.0,1.0
2017-11-15,50.2,50.2,50.2,50.2,47.3747,400.0,0.0,1.0
2017-11-16,50.2,50.2,50.2,50.2,47.3747,0.0,0.0,1.0
2017-11-17,50.27,50.27,50.26,50.26,47.4313,1700.0,0.0,1.0
2017-11-20,50.3,50.3,50.29,50.29,47.4596,600.0,0.0,1.0
2017-11-21,50.25,50.25,50.25,50.25,47.4455,300.0,0.025,1.0
2017-11-22,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-11-24,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-11-27,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-11-28,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-11-29,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-11-30,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-12-01,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-12-04,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-12-05,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-12-06,50.25,50.25,50.25,50.25,47.4455,0.0,0.0,1.0
2017-12-07,50.69,50.74,50.69,50.74,47.9081,800.0,0.0,1.0
2017-12-08,50.58,50.6,50.28,50.28,47.4738,1500.0,0.0,1.0
2017-12-11,50.28,50.28,50.28,50.28,47.4738,0.0,0.0,1.0
2017-12-12,50.28,50.28,50.28,50.28,47.4738,0.0,0.0,1.0
2017-12-13,50.57,50.57,50.57,50.57,47.7476,400.0,0.0,1.0
2017-12-14,50.55,50.79,50.469,50.651,47.8241,2500.0,0.0,1.0
2017-12-15,50.61,50.61,50.61,50.61,47.7854,300.0,0.0,1.0
2017-12-18,50.59,50.65,50.59,50.65,47.8231,1600.0,0.0,1.0
2017-12-19,50.65,50.65,50.65,50.65,47.8231,0.0,0.0,1.0
2017-12-20,50.379,50.379,50.353,50.353,47.5427,200.0,0.0,1.0
2017-12-21,50.38,50.38,50.38,50.38,47.6866,100.0,0.125,1.0
2017-12-22,50.35,50.36,50.35,50.36,47.6677,200.0,0.0,1.0
2017-12-26,50.36,50.36,50.36,50.36,47.6677,0.0,0.0,1.0
2017-12-27,50.54,50.79,50.54,50.57,47.8664,1000.0,0.0,1.0
2017-12-28,50.52,50.52,50.518,50.518,47.8172,500.0,0.0,1.0
2017-12-29,50.48,50.48,50.48,50.48,47.7812,100.0,0.0,1.0
2018-01-02,50.91,53.468,50.416,50.57,47.8664,19800.0,0.0,1.0
2018-01-03,50.64,50.65,50.64,50.64,47.9327,12300.0,0.0,1.0
2018-01-04,50.64,50.64,50.64,50.64,47.9327,0.0,0.0,1.0
2018-01-05,50.64,50.64,50.62,50.62,47.9137,1300.0,0.0,1.0
2018-01-08,50.63,50.63,50.61,50.61,47.9043,800.0,0.0,1.0
2018-01-09,50.77,50.82,50.57,50.57,47.8664,19800.0,0.0,1.0
