date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-04-20,20.38,20.39,20.31,20.32,18.4653,1400.0,0.0,1.0
2011-04-21,20.39,20.39,20.39,20.39,18.5289,100.0,0.0,1.0
2011-04-25,20.36,20.36,20.34,20.34,18.4834,300.0,0.0,1.0
2011-04-26,20.34,20.34,20.34,20.34,18.4834,0.0,0.0,1.0
2011-04-27,20.66,20.66,20.66,20.66,18.7742,500.0,0.0,1.0
2011-04-28,20.74,20.74,20.73,20.74,18.8469,700.0,0.0,1.0
2011-04-29,20.74,20.74,20.74,20.74,18.8469,0.0,0.0,1.0
2011-05-02,20.74,20.74,20.74,20.74,18.8469,0.0,0.0,1.0
2011-05-03,20.54,20.54,20.51,20.51,18.6379,33100.0,0.0,1.0
2011-05-04,20.4,20.48,20.4,20.48,18.6107,1400.0,0.0,1.0
2011-05-05,20.48,20.48,20.48,20.48,18.6107,0.0,0.0,1.0
2011-05-06,20.48,20.48,20.48,20.48,18.6107,0.0,0.0,1.0
2011-05-09,20.6,20.62,20.6,20.62,18.7379,500.0,0.0,1.0
2011-05-10,20.81,20.81,20.8,20.8,18.9015,400.0,0.0,1.0
2011-05-11,20.58,20.58,20.53,20.53,18.6561,1500.0,0.0,1.0
2011-05-12,20.82,20.82,20.82,20.82,18.9196,300.0,0.0,1.0
2011-05-13,20.75,20.75,20.75,20.75,18.856,300.0,0.0,1.0
2011-05-16,20.53,20.53,20.53,20.53,18.6561,300.0,0.0,1.0
2011-05-17,20.25,20.25,20.25,20.25,18.4017,10000.0,0.0,1.0
2011-05-18,20.32,20.39,20.32,20.39,18.5289,1000.0,0.0,1.0
2011-05-19,20.45,20.57,20.45,20.57,18.6925,1100.0,0.0,1.0
2011-05-20,20.66,20.66,20.42,20.42,18.5561,1100.0,0.0,1.0
2011-05-23,20.24,20.24,20.2,20.2,18.3562,500.0,0.0,1.0
2011-05-24,20.16,20.16,20.01,20.01,18.1836,2500.0,0.0,1.0
2011-05-25,20.01,20.01,20.01,20.01,18.1836,0.0,0.0,1.0
2011-05-26,20.26,20.26,20.26,20.26,18.4108,400.0,0.0,1.0
2011-05-27,20.4,20.45,20.4,20.45,18.5834,800.0,0.0,1.0
2011-05-31,20.61,20.62,20.55,20.58,18.7015,32000.0,0.0,1.0
2011-06-01,20.59,20.59,20.19,20.19,18.3471,1900.0,0.0,1.0
2011-06-02,20.19,20.19,20.19,20.19,18.3471,0.0,0.0,1.0
2011-06-03,19.67,20.04,19.67,19.85,18.0382,8200.0,0.0,1.0
2011-06-06,19.85,19.85,19.85,19.85,18.0382,0.0,0.0,1.0
2011-06-07,19.77,19.77,19.67,19.67,17.8746,400.0,0.0,1.0
2011-06-08,19.66,19.66,19.54,19.57,17.7837,1800.0,0.0,1.0
2011-06-09,19.67,19.67,19.67,19.67,17.8746,900.0,0.0,1.0
2011-06-10,19.67,19.67,19.67,19.67,17.8746,0.0,0.0,1.0
2011-06-13,19.32,19.32,19.32,19.32,17.5565,100.0,0.0,1.0
2011-06-14,19.32,19.32,19.32,19.32,17.5565,0.0,0.0,1.0
2011-06-15,19.62,19.62,19.62,19.62,17.8292,100.0,0.0,1.0
2011-06-16,19.7,19.7,19.39,19.39,17.6202,4200.0,0.0,1.0
2011-06-17,19.74,19.74,19.51,19.51,17.7292,4200.0,0.0,1.0
2011-06-20,19.63,19.63,19.63,19.63,17.8383,300.0,0.0,1.0
2011-06-21,19.52,19.91,19.52,19.88,18.1023,63500.0,0.04,1.0
2011-06-22,19.83,19.92,19.83,19.85,18.075,55900.0,0.0,1.0
2011-06-23,19.47,19.76,19.47,19.72,17.9566,6500.0,0.0,1.0
2011-06-24,19.62,19.62,19.62,19.62,17.8656,4100.0,0.0,1.0
2011-06-27,19.67,19.67,19.57,19.61,17.8565,800.0,0.0,1.0
2011-06-28,19.61,19.61,19.61,19.61,17.8565,0.0,0.0,1.0
2011-06-29,20.04,20.1,20.04,20.07,18.2753,7000.0,0.0,1.0
2011-06-30,20.24,20.24,20.22,20.22,18.4119,500.0,0.0,1.0
2011-07-01,20.42,20.45,20.42,20.45,18.6214,1500.0,0.0,1.0
2011-07-05,20.48,20.48,20.48,20.48,18.6487,1000.0,0.0,1.0
2011-07-06,20.6,20.6,20.59,20.59,18.7488,400.0,0.0,1.0
2011-07-07,20.81,20.81,20.79,20.81,18.9492,900.0,0.0,1.0
2011-07-08,20.6,20.6,20.57,20.57,18.7306,600.0,0.0,1.0
2011-07-11,20.57,20.57,20.57,20.57,18.7306,0.0,0.0,1.0
2011-07-12,20.29,20.29,20.29,20.29,18.4757,1000.0,0.0,1.0
2011-07-13,20.42,20.42,20.3,20.3,18.4848,900.0,0.0,1.0
2011-07-14,20.2,20.2,20.2,20.2,18.3937,900.0,0.0,1.0
2011-07-15,20.2,20.2,20.2,20.2,18.3937,0.0,0.0,1.0
2011-07-18,19.9,19.9,19.61,19.71,17.9475,5300.0,0.0,1.0
2011-07-19,19.71,19.71,19.71,19.71,17.9475,0.0,0.0,1.0
2011-07-20,20.08,20.08,20.08,20.08,18.2844,300.0,0.0,1.0
2011-07-21,20.08,20.08,20.08,20.08,18.2844,0.0,0.0,1.0
2011-07-22,20.31,20.31,20.31,20.31,18.4939,500.0,0.0,1.0
2011-07-25,20.24,20.24,20.22,20.23,18.421,5600.0,0.0,1.0
2011-07-26,20.1,20.1,20.06,20.06,18.2662,300.0,0.0,1.0
2011-07-27,19.5,19.5,19.5,19.5,17.7563,500.0,0.0,1.0
2011-07-28,19.5,19.5,19.5,19.5,17.7563,0.0,0.0,1.0
2011-07-29,19.5,19.5,19.5,19.5,17.7563,0.0,0.0,1.0
2011-08-01,19.07,19.14,19.02,19.08,17.3739,26200.0,0.0,1.0
2011-08-02,19.0,19.0,18.74,18.74,17.0643,1800.0,0.0,1.0
2011-08-03,18.33,18.33,18.33,18.33,16.6909,200.0,0.0,1.0
