date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-01-30,11.75,12.32,11.75,12.18,12.1102,4155500.0,0.0,1.0
2015-02-02,12.28,12.3,12.0,12.15,12.0804,419400.0,0.0,1.0
2015-02-03,12.2,12.3,12.2,12.25,12.1798,317900.0,0.0,1.0
2015-02-04,12.25,12.3,12.23,12.29,12.2196,144400.0,0.0,1.0
2015-02-05,12.3,12.4,12.28,12.35,12.2792,274000.0,0.0,1.0
2015-02-06,12.35,12.5,12.3,12.49,12.4184,253500.0,0.0,1.0
2015-02-09,12.5,12.52,12.49,12.51,12.4383,128400.0,0.0,1.0
2015-02-10,12.52,12.65,12.42,12.56,12.488,323200.0,0.0,1.0
2015-02-11,12.56,12.6,12.54,12.56,12.488,66400.0,0.0,1.0
2015-02-12,12.54,12.59,12.4,12.55,12.4781,223000.0,0.0,1.0
2015-02-13,12.62,12.62,12.5,12.53,12.4582,128500.0,0.0,1.0
2015-02-17,12.5,12.52,12.45,12.51,12.4383,165800.0,0.0,1.0
2015-02-18,12.45,12.52,12.45,12.5,12.4284,49700.0,0.0,1.0
2015-02-19,12.45,12.55,12.45,12.52,12.4483,136100.0,0.0,1.0
2015-02-20,12.45,12.55,12.45,12.52,12.4483,54600.0,0.0,1.0
2015-02-23,12.55,12.55,12.49,12.51,12.4383,86700.0,0.0,1.0
2015-02-24,12.52,12.54,12.5,12.52,12.4483,70600.0,0.0,1.0
2015-02-25,12.52,12.53,12.49,12.51,12.4383,91700.0,0.0,1.0
2015-02-26,12.45,12.51,12.45,12.51,12.4383,37300.0,0.0,1.0
2015-02-27,12.45,12.52,12.45,12.52,12.4483,87800.0,0.0,1.0
2015-03-02,12.52,12.52,12.45,12.51,12.4383,88800.0,0.0,1.0
2015-03-03,12.5,12.52,12.46,12.52,12.4483,68500.0,0.0,1.0
2015-03-04,12.45,12.52,12.42,12.5,12.4284,51700.0,0.0,1.0
2015-03-05,12.5,12.51,12.43,12.47,12.3986,31600.0,0.0,1.0
2015-03-06,12.49,12.49,12.3,12.49,12.4184,61900.0,0.0,1.0
2015-03-09,12.49,12.54,12.41,12.44,12.3687,85200.0,0.0,1.0
2015-03-10,12.44,12.5,12.33,12.41,12.3389,118200.0,0.0,1.0
2015-03-11,12.48,12.5,12.41,12.42,12.3488,37100.0,0.0,1.0
2015-03-12,12.48,12.48,12.42,12.45,12.3787,31000.0,0.0,1.0
2015-03-13,12.41,12.47,12.41,12.43,12.3588,23000.0,0.0,1.0
2015-03-16,12.44,12.44,12.39,12.4,12.329,48800.0,0.0,1.0
2015-03-17,12.37,12.45,12.26,12.44,12.3687,95400.0,0.0,1.0
2015-03-18,12.44,12.51,12.32,12.5,12.4284,156100.0,0.0,1.0
2015-03-19,12.45,12.48,12.22,12.3,12.2295,77100.0,0.0,1.0
2015-03-20,12.21,12.5,12.21,12.44,12.3687,468000.0,0.0,1.0
2015-03-23,12.3,12.49,12.3,12.45,12.3787,70300.0,0.0,1.0
2015-03-24,12.49,12.49,12.43,12.47,12.3986,24700.0,0.0,1.0
2015-03-25,12.48,12.5,12.48,12.5,12.4284,40900.0,0.0,1.0
2015-03-26,12.5,12.5,12.27,12.42,12.3488,8200.0,0.0,1.0
2015-03-27,12.43,12.43,12.3,12.31,12.2395,8900.0,0.0,1.0
2015-03-30,12.39,12.47,12.32,12.35,12.2792,3500.0,0.0,1.0
2015-03-31,12.35,12.5,12.31,12.48,12.4085,60700.0,0.0,1.0
2015-04-01,12.431,12.5,12.38,12.48,12.4085,62000.0,0.0,1.0
2015-04-02,12.5,12.5,12.32,12.44,12.3687,20300.0,0.0,1.0
2015-04-06,12.35,12.43,12.33,12.35,12.2792,38900.0,0.0,1.0
2015-04-07,12.34,12.37,12.3,12.36,12.2892,12300.0,0.0,1.0
2015-04-08,12.32,12.38,12.3,12.37,12.2991,23600.0,0.0,1.0
2015-04-09,12.3,12.35,12.22,12.25,12.1798,38900.0,0.0,1.0
2015-04-10,12.29,12.36,12.29,12.36,12.2892,7400.0,0.0,1.0
2015-04-13,12.31,12.35,12.26,12.3,12.2295,38400.0,0.0,1.0
2015-04-14,12.3,12.32,12.26,12.28,12.2096,26500.0,0.0,1.0
2015-04-15,12.3,12.3,12.25,12.28,12.2096,22000.0,0.0,1.0
2015-04-16,12.26,12.28,12.26,12.28,12.2096,12300.0,0.0,1.0
2015-04-17,12.22,12.29,12.18,12.2,12.1301,26400.0,0.0,1.0
2015-04-20,12.2,12.3,12.15,12.205,12.1351,31000.0,0.0,1.0
2015-04-21,12.21,12.21,12.09,12.19,12.1202,28000.0,0.0,1.0
2015-04-22,12.162,12.2,12.16,12.18,12.1102,14600.0,0.0,1.0
2015-04-23,12.2,12.2,12.18,12.18,12.1102,6800.0,0.0,1.0
2015-04-24,12.18,12.2,12.18,12.2,12.1301,3700.0,0.0,1.0
2015-04-27,12.2,12.2,12.13,12.2,12.1301,20400.0,0.0,1.0
2015-04-28,12.19,12.2,12.11,12.19,12.1202,12200.0,0.0,1.0
2015-04-29,12.19,12.19,12.06,12.11,12.0406,18900.0,0.0,1.0
2015-04-30,12.1,12.15,12.07,12.11,12.0406,64800.0,0.0,1.0
2015-05-01,12.15,12.15,11.85,12.03,11.9611,44600.0,0.0,1.0
2015-05-04,11.96,12.08,11.85,12.08,12.0108,50600.0,0.0,1.0
2015-05-05,12.0,12.18,11.995,12.18,12.1102,41300.0,0.0,1.0
2015-05-06,12.13,12.13,12.02,12.04,11.971,17500.0,0.0,1.0
2015-05-07,12.06,12.1,12.0,12.0,11.9312,26800.0,0.0,1.0
2015-05-08,12.04,12.06,11.96,11.99,11.9213,9700.0,0.0,1.0
2015-05-11,12.04,12.04,11.98,12.0,11.9312,9600.0,0.0,1.0
2015-05-12,12.0,12.02,11.94,12.0,11.9312,28100.0,0.0,1.0
2015-05-13,12.0,12.08,11.92,11.98,11.9114,65100.0,0.0,1.0
2015-05-14,11.96,12.2,11.96,12.12,12.0506,49200.0,0.0,1.0
2015-05-15,12.1,12.18,12.1,12.18,12.1102,17100.0,0.0,1.0
2015-05-18,12.18,12.238,12.15,12.21,12.14,18600.0,0.0,1.0
2015-05-19,12.24,12.28,12.237,12.25,12.1798,30300.0,0.0,1.0
2015-05-20,12.271,12.33,12.271,12.297,12.2265,19600.0,0.0,1.0
2015-05-21,12.33,12.43,12.3,12.329,12.2584,21800.0,0.0,1.0
2015-05-22,12.3,12.391,12.3,12.391,12.32,3000.0,0.0,1.0
2015-05-26,12.34,12.54,12.34,12.49,12.4184,38400.0,0.0,1.0
2015-05-27,12.48,12.48,12.32,12.32,12.2494,13500.0,0.0,1.0
2015-05-28,12.35,12.47,12.335,12.34,12.2693,14500.0,0.0,1.0
2015-05-29,12.45,12.45,12.28,12.3,12.2295,14700.0,0.0,1.0
2015-06-01,12.33,12.4,12.28,12.29,12.2196,15900.0,0.0,1.0
2015-06-02,12.3,12.33,12.29,12.3,12.2295,18800.0,0.0,1.0
2015-06-03,12.35,12.39,12.3,12.3,12.2295,40400.0,0.0,1.0
2015-06-04,12.27,12.3,12.27,12.3,12.2295,31300.0,0.0,1.0
2015-06-05,12.25,12.34,12.25,12.33,12.2594,28600.0,0.0,1.0
2015-06-08,12.4,12.4,12.31,12.32,12.2494,11400.0,0.0,1.0
2015-06-09,12.36,12.36,12.18,12.19,12.1202,65300.0,0.0,1.0
2015-06-10,12.25,12.32,12.19,12.19,12.1202,30200.0,0.0,1.0
2015-06-11,12.33,12.34,12.2,12.34,12.2693,46800.0,0.0,1.0
2015-06-12,12.19,12.32,12.17,12.17,12.1003,24300.0,0.0,1.0
2015-06-15,12.17,12.44,12.17,12.3,12.2295,46400.0,0.0,1.0
2015-06-16,12.35,12.5,12.34,12.34,12.2693,46000.0,0.0,1.0
2015-06-17,12.43,12.49,12.28,12.42,12.3488,43200.0,0.0,1.0
2015-06-18,12.43,12.51,12.295,12.36,12.2892,53800.0,0.0,1.0
2015-06-19,12.42,12.49,12.06,12.06,11.9909,205700.0,0.0,1.0
2015-06-22,12.18,12.3,12.16,12.28,12.2096,36500.0,0.0,1.0
2015-06-23,12.4,12.4,12.28,12.29,12.2196,8800.0,0.0,1.0
2015-06-24,12.28,12.4,12.28,12.4,12.329,15800.0,0.0,1.0
2015-06-25,12.4,12.449,12.36,12.36,12.2892,13500.0,0.0,1.0
2015-06-26,12.33,12.51,12.28,12.51,12.4383,35600.0,0.0,1.0
2015-06-29,12.4,12.48,12.36,12.4,12.329,14400.0,0.0,1.0
2015-06-30,12.46,12.47,12.389,12.47,12.3986,10100.0,0.0,1.0
2015-07-01,12.48,12.48,12.342,12.46,12.3886,2200.0,0.0,1.0
2015-07-02,12.42,12.48,12.42,12.47,12.3986,3000.0,0.0,1.0
2015-07-06,12.41,12.48,12.23,12.24,12.1699,28100.0,0.0,1.0
2015-07-07,12.44,12.44,12.22,12.28,12.2096,8700.0,0.0,1.0
2015-07-08,12.22,12.25,12.22,12.22,12.15,6100.0,0.0,1.0
2015-07-09,12.3,12.44,12.2,12.26,12.1898,19500.0,0.0,1.0
2015-07-10,12.35,12.47,12.323,12.47,12.3986,5800.0,0.0,1.0
2015-07-13,12.48,12.48,12.37,12.46,12.3886,4700.0,0.0,1.0
2015-07-14,12.4,12.5,12.4,12.5,12.4284,9500.0,0.0,1.0
2015-07-15,12.5,12.51,12.46,12.5,12.4284,5400.0,0.0,1.0
2015-07-16,12.45,12.51,12.441,12.51,12.4383,5800.0,0.0,1.0
2015-07-17,12.51,12.55,12.5,12.51,12.4383,10600.0,0.0,1.0
2015-07-20,12.52,12.55,12.42,12.51,12.4383,3200.0,0.0,1.0
