date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-13,38.6,39.3,38.0,39.2,38.9518,306000.0,0.0,1.0
2019-03-14,39.5,40.65,39.32,39.96,39.707,279700.0,0.0,1.0
2019-03-15,40.55,41.05,40.5,41.02,40.7602,164200.0,0.0,1.0
2019-03-18,41.73,41.73,40.47,40.86,40.6012,581700.0,0.0,1.0
2019-03-19,41.4,41.4,39.05,39.55,39.2995,2540200.0,0.0,1.0
2019-03-20,39.85,39.851,37.46,37.6,37.3619,5147900.0,0.0,1.0
2019-03-21,38.0,38.91,37.84,38.88,38.6338,8865500.0,0.0,1.0
2019-03-22,38.76,38.84,36.55,37.46,37.2228,4902500.0,0.0,1.0
2019-03-25,37.57,37.81,36.35,36.45,36.2192,4035100.0,0.0,1.0
2019-03-26,36.46,37.35,36.46,36.71,36.4775,3350900.0,0.0,1.0
2019-03-27,36.75,37.17,36.06,36.2,35.9708,2871300.0,0.0,1.0
2019-03-28,36.14,36.47,35.55,35.67,35.4441,2220600.0,0.0,1.0
2019-03-29,35.88,36.17,35.39,35.88,35.6528,2679200.0,0.0,1.0
2019-04-01,36.17,36.34,35.94,36.15,35.9211,4338400.0,0.0,1.0
2019-04-02,36.21,36.46,35.21,35.7,35.4739,1491200.0,0.0,1.0
2019-04-03,35.78,35.89,35.3,35.5,35.2752,2831600.0,0.0,1.0
2019-04-04,35.56,36.07,35.39,36.03,35.8018,2223200.0,0.0,1.0
2019-04-05,35.99,37.09,35.94,36.98,36.7458,2116200.0,0.0,1.0
2019-04-08,36.94,36.94,36.65,36.85,36.6166,1929000.0,0.0,1.0
2019-04-09,36.81,37.07,36.59,36.89,36.6564,1793900.0,0.0,1.0
2019-04-10,36.91,37.05,35.86,35.93,35.7025,843600.0,0.0,1.0
2019-04-11,35.98,36.5,35.53,36.41,36.1794,978200.0,0.0,1.0
2019-04-12,36.47,37.08,35.92,36.95,36.716,3175200.0,0.0,1.0
2019-04-15,36.91,36.99,36.47,36.98,36.7458,891200.0,0.0,1.0
2019-04-16,37.11,37.28,36.93,37.21,36.9744,1869000.0,0.0,1.0
2019-04-17,37.18,38.25,37.18,38.21,37.968,2122100.0,0.0,1.0
2019-04-18,38.34,38.37,37.92,37.92,37.6799,2315200.0,0.0,1.0
2019-04-22,37.84,37.88,37.11,37.24,37.0042,1665000.0,0.0,1.0
2019-04-23,37.22,37.82,37.07,37.6,37.3619,5455100.0,0.0,1.0
2019-04-24,37.51,37.76,37.33,37.45,37.2128,1230800.0,0.0,1.0
2019-04-25,37.48,37.68,37.04,37.64,37.4016,1422800.0,0.0,1.0
2019-04-26,37.8,37.94,37.4,37.91,37.6699,2505700.0,0.0,1.0
2019-04-29,37.74,38.91,37.69,38.73,38.4847,1716800.0,0.0,1.0
2019-04-30,38.59,38.78,37.89,38.5,38.2562,1810000.0,0.0,1.0
2019-05-01,38.66,38.8,38.09,38.74,38.4947,1475000.0,0.0,1.0
2019-05-02,38.75,38.8,36.5,36.84,36.6067,2627700.0,0.0,1.0
2019-05-03,36.86,37.26,36.64,37.02,36.7856,1229700.0,0.0,1.0
2019-05-06,36.72,37.4,36.47,37.31,37.0737,1533900.0,0.0,1.0
2019-05-07,36.97,37.22,36.575,36.7,36.4676,1412300.0,0.0,1.0
2019-05-08,36.56,37.08,36.27,36.82,36.5868,2108700.0,0.0,1.0
2019-05-09,38.08,38.63,36.95,37.97,37.7296,3458200.0,0.0,1.0
2019-05-10,37.9,38.25,36.98,38.05,37.809,1633500.0,0.0,1.0
2019-05-13,37.48,38.15,37.22,37.5,37.2625,1598400.0,0.0,1.0
2019-05-14,37.54,38.025,37.405,37.48,37.2427,1663100.0,0.0,1.0
