date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-10-08,19.14,19.23,19.14,19.23,18.9377,703.0,0.0,1.0
2018-10-09,18.99,19.13,18.99,19.13,18.8393,687.0,0.0,1.0
2018-10-10,19.13,19.13,19.13,19.13,18.8393,0.0,0.0,1.0
2018-10-11,19.13,19.13,19.13,19.13,18.8393,0.0,0.0,1.0
2018-10-12,19.13,19.13,19.13,19.13,18.8393,0.0,0.0,1.0
2018-10-15,18.33,18.33,18.33,18.33,18.0514,100.0,0.0,1.0
2018-10-16,18.83,18.83,18.83,18.83,18.5438,200.0,0.0,1.0
2018-10-17,18.73,18.73,18.73,18.73,18.4453,200.0,0.0,1.0
2018-10-18,18.73,18.73,18.73,18.73,18.4453,0.0,0.0,1.0
2018-10-19,18.4,18.4,18.4,18.4,18.1203,300.0,0.0,1.0
2018-10-22,18.31,18.31,18.31,18.31,18.0317,200.0,0.0,1.0
2018-10-23,17.96,17.98,17.96,17.98,17.7067,500.0,0.0,1.0
2018-10-24,17.98,17.98,17.98,17.98,17.7067,0.0,0.0,1.0
2018-10-25,17.71,17.71,17.71,17.71,17.4408,100.0,0.0,1.0
2018-10-26,17.6,17.6,17.6,17.6,17.3325,200.0,0.0,1.0
2018-10-29,17.6,17.6,17.6,17.6,17.3325,0.0,0.0,1.0
2018-10-30,17.75,17.75,17.75,17.75,17.4802,200.0,0.0,1.0
2018-10-31,17.95,17.95,17.95,17.95,17.6772,100.0,0.0,1.0
2018-11-01,18.33,18.33,18.33,18.33,18.0514,200.0,0.0,1.0
2018-11-02,18.39,18.39,18.39,18.39,18.1105,200.0,0.0,1.0
2018-11-05,18.31,18.31,18.31,18.31,18.0317,200.0,0.0,1.0
2018-11-06,18.35,18.35,18.35,18.35,18.0711,200.0,0.0,1.0
2018-11-07,18.65,18.65,18.65,18.65,18.3665,200.0,0.0,1.0
2018-11-08,18.5,18.5,18.5,18.5,18.2188,100.0,0.0,1.0
2018-11-09,18.34,18.34,18.34,18.34,18.0613,200.0,0.0,1.0
2018-11-12,18.08,18.08,17.88,17.88,17.6082,300.0,0.0,1.0
2018-11-13,18.0,18.0,18.0,18.0,17.7264,100.0,0.0,1.0
2018-11-14,18.01,18.01,18.01,18.01,17.7363,100.0,0.0,1.0
2018-11-15,17.94,17.94,17.94,17.94,17.6673,300.0,0.0,1.0
2018-11-16,17.94,17.94,17.94,17.94,17.6673,200.0,0.0,1.0
2018-11-19,17.64,17.64,17.64,17.64,17.3719,200.0,0.0,1.0
2018-11-20,17.16,17.16,17.12,17.12,16.8598,300.0,0.0,1.0
2018-11-21,17.12,17.12,17.12,17.12,16.8598,0.0,0.0,1.0
2018-11-23,17.34,17.34,17.34,17.34,17.0765,100.0,0.0,1.0
2018-11-26,17.63,17.63,17.63,17.63,17.362,200.0,0.0,1.0
2018-11-27,17.52,17.52,17.52,17.52,17.2537,200.0,0.0,1.0
2018-11-28,17.75,17.75,17.75,17.75,17.4802,200.0,0.0,1.0
2018-11-29,17.69,17.69,17.69,17.69,17.4211,100.0,0.0,1.0
2018-11-30,17.55,17.55,17.55,17.55,17.2833,100.0,0.0,1.0
2018-12-03,17.81,17.81,17.81,17.81,17.5393,100.0,0.0,1.0
2018-12-04,17.33,17.33,17.33,17.33,17.0666,100.0,0.0,1.0
2018-12-06,17.31,17.31,17.31,17.31,17.0469,200.0,0.0,1.0
2018-12-07,17.12,17.12,17.12,17.12,16.8598,100.0,0.0,1.0
2018-12-10,16.99,16.99,16.99,16.99,16.7318,200.0,0.0,1.0
2018-12-11,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-12,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-13,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-14,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-17,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-18,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-19,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-20,16.99,16.99,16.99,16.99,16.7318,0.0,0.0,1.0
2018-12-21,16.44,16.44,16.44,16.44,16.1901,400.0,0.0,1.0
2018-12-24,16.44,16.44,16.44,16.44,16.1901,0.0,0.0,1.0
2018-12-26,16.57,16.57,16.57,16.57,16.3182,100.0,0.0,1.0
2018-12-27,16.58,16.58,16.58,16.58,16.328,200.0,0.0,1.0
2018-12-28,16.58,16.58,16.58,16.58,16.328,0.0,0.0,1.0
2018-12-31,16.58,16.58,16.58,16.58,16.328,0.0,0.0,1.0
2019-01-02,16.58,16.58,16.58,16.58,16.328,0.0,0.0,1.0
2019-01-03,16.58,16.58,16.58,16.58,16.328,0.0,0.0,1.0
