date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-10-15,3.15,3.25,3.15,3.25,3.1745,800.0,0.0,1.0
2010-10-18,3.25,3.25,3.25,3.25,3.1745,500.0,0.0,1.0
2010-10-19,3.1,3.1,3.1,3.1,3.0279,1900.0,0.0,1.0
2010-10-20,3.1,3.1,3.1,3.1,3.0279,0.0,0.0,1.0
2010-10-21,3.25,3.25,3.25,3.25,3.1745,2500.0,0.0,1.0
2010-10-22,3.15,3.15,3.15,3.15,3.0768,500.0,0.0,1.0
2010-10-25,3.15,3.15,3.15,3.15,3.0768,0.0,0.0,1.0
2010-10-26,3.15,3.15,3.15,3.15,3.0768,0.0,0.0,1.0
2010-10-27,3.25,3.25,3.25,3.25,3.1745,2000.0,0.0,1.0
2010-10-28,3.02,3.02,3.02,3.02,2.9498,1000.0,0.0,1.0
2010-10-29,3.5,3.5,3.5,3.5,3.4186,500.0,0.0,1.0
2010-11-01,3.5,3.5,3.5,3.5,3.4186,200.0,0.0,1.0
2010-11-02,3.5,3.5,3.5,3.5,3.4186,0.0,0.0,1.0
2010-11-03,3.5,3.5,3.5,3.5,3.4186,0.0,0.0,1.0
2010-11-04,3.5,3.5,3.5,3.5,3.4186,0.0,0.0,1.0
2010-11-05,3.5,3.5,3.5,3.5,3.4186,0.0,0.0,1.0
2010-11-08,3.5,3.5,3.5,3.5,3.4186,200.0,0.0,1.0
2010-11-09,3.5,3.5,3.5,3.5,3.4186,0.0,0.0,1.0
2010-11-10,3.15,3.25,3.15,3.25,3.1745,4000.0,0.0,1.0
2010-11-11,3.1,3.1,3.0,3.1,3.0279,3300.0,0.0,1.0
2010-11-12,3.1,3.1,3.1,3.1,3.0279,0.0,0.0,1.0
2010-11-15,3.1,3.1,3.1,3.1,3.0279,0.0,0.0,1.0
2010-11-16,3.0,3.0,3.0,3.0,2.9303,1000.0,0.0,1.0
2010-11-17,3.0,3.0,3.0,3.0,2.9303,6800.0,0.0,1.0
2010-11-18,3.0,3.0,3.0,3.0,2.9303,1000.0,0.0,1.0
2010-11-19,3.0,3.0,3.0,3.0,2.9303,500.0,0.0,1.0
2010-11-22,3.0,3.0,3.0,3.0,2.9303,800.0,0.0,1.0
