date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-10-26,25.099,25.099,25.064,25.08,25.08,4400.0,0.0,1.0
2017-10-27,26.25,27.0,24.68,25.5,25.5,5875152.0,0.0,1.0
2017-10-30,25.6,25.6,24.06,25.0,25.0,572900.0,0.0,1.0
2017-10-31,24.9,26.25,24.45,25.85,25.85,560700.0,0.0,1.0
2017-11-01,25.81,26.4,25.573,25.87,25.87,241000.0,0.0,1.0
2017-11-02,25.95,26.199,24.75,24.79,24.79,89100.0,0.0,1.0
2017-11-03,24.67,25.5,24.67,25.0,25.0,178000.0,0.0,1.0
2017-11-06,25.0,25.2,24.94,25.13,25.13,32900.0,0.0,1.0
2017-11-07,25.29,25.45,24.78,25.07,25.07,58800.0,0.0,1.0
2017-11-08,25.22,25.29,24.78,25.07,25.07,102400.0,0.0,1.0
2017-11-09,25.0,25.0,24.01,24.47,24.47,122600.0,0.0,1.0
2017-11-10,24.54,25.14,24.2,25.12,25.12,127700.0,0.0,1.0
2017-11-13,25.0,25.8,24.59,24.91,24.91,119600.0,0.0,1.0
2017-11-14,24.86,25.4,24.53,25.11,25.11,44500.0,0.0,1.0
2017-11-15,25.0,25.39,24.85,24.99,24.99,27800.0,0.0,1.0
2017-11-16,24.31,26.0,24.31,25.51,25.51,70400.0,0.0,1.0
2017-11-17,25.27,25.719,24.422,25.55,25.55,41300.0,0.0,1.0
2017-11-20,25.62,26.98,25.278,26.94,26.94,230600.0,0.0,1.0
2017-11-21,26.94,27.99,26.94,27.33,27.33,185000.0,0.0,1.0
2017-11-22,27.97,28.87,27.775,28.49,28.49,137800.0,0.0,1.0
2017-11-24,29.11,29.53,28.01,28.66,28.66,92800.0,0.0,1.0
2017-11-27,29.24,29.24,26.9,26.91,26.91,107000.0,0.0,1.0
2017-11-28,27.1,27.37,24.16,24.35,24.35,328000.0,0.0,1.0
2017-11-29,24.2,24.91,22.02,22.41,22.41,480300.0,0.0,1.0
2017-11-30,22.77,24.54,22.51,24.12,24.12,225500.0,0.0,1.0
2017-12-01,24.32,25.0,23.54,24.48,24.48,91200.0,0.0,1.0
2017-12-04,24.74,24.97,22.57,22.6,22.6,117000.0,0.0,1.0
2017-12-05,22.69,23.133,21.9,21.92,21.92,110200.0,0.0,1.0
2017-12-06,21.84,23.25,21.56,22.89,22.89,116500.0,0.0,1.0
2017-12-07,23.0,23.95,22.27,22.97,22.97,213700.0,0.0,1.0
2017-12-08,25.05,28.0,24.45,27.65,27.65,423200.0,0.0,1.0
2017-12-11,27.55,28.95,27.089,28.0,28.0,348900.0,0.0,1.0
2017-12-12,28.35,28.94,27.251,27.48,27.48,127500.0,0.0,1.0
2017-12-13,27.67,28.44,27.32,28.3,28.3,162200.0,0.0,1.0
2017-12-14,28.4,30.08,28.179,29.06,29.06,207700.0,0.0,1.0
2017-12-15,30.13,32.58,29.1,31.16,31.16,1411200.0,0.0,1.0
2017-12-18,31.75,32.09,30.5,31.19,31.19,150300.0,0.0,1.0
2017-12-19,31.06,31.06,29.41,30.45,30.45,229800.0,0.0,1.0
2017-12-20,30.43,32.05,30.065,31.98,31.98,115400.0,0.0,1.0
