date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,5.75,5.75,5.75,5.75,5.5874,4500.0,0.0,1.0
1999-08-10,5.75,5.8125,5.75,5.75,5.5874,10400.0,0.0,1.0
1999-08-11,5.75,5.75,5.75,5.75,5.5874,13200.0,0.0,1.0
1999-08-12,5.75,5.8125,5.75,5.75,5.5874,22500.0,0.0,1.0
1999-08-13,5.8125,5.8125,5.75,5.8125,5.6481,10400.0,0.0,1.0
1999-08-16,5.8125,5.8125,5.75,5.8125,5.6481,21300.0,0.0,1.0
1999-08-17,5.75,5.8125,5.75,5.8125,5.6481,19600.0,0.0,1.0
1999-08-18,5.75,5.8125,5.75,5.8125,5.6481,37300.0,0.0,1.0
1999-08-19,5.75,5.875,5.75,5.8125,5.6481,23400.0,0.0,1.0
1999-08-20,5.8125,5.8125,5.75,5.75,5.5874,22000.0,0.0,1.0
1999-08-23,5.75,5.875,5.75,5.8125,5.6481,5200.0,0.0,1.0
1999-08-24,5.8125,5.8125,5.8125,5.8125,5.6481,400.0,0.0,1.0
1999-08-25,5.875,5.875,5.75,5.875,5.7089,22000.0,0.0,1.0
1999-08-26,5.75,5.75,5.75,5.75,5.5874,2000.0,0.0,1.0
1999-08-27,5.75,5.75,5.625,5.625,5.4659,2500.0,0.0,1.0
1999-08-30,5.75,5.75,5.75,5.75,5.5874,1500.0,0.0,1.0
1999-08-31,5.8125,5.8125,5.8125,5.8125,5.6481,300.0,0.0,1.0
1999-09-01,5.75,5.75,5.5625,5.5625,5.4052,16900.0,0.0,1.0
1999-09-02,5.5625,5.625,5.375,5.4375,5.2837,8700.0,0.0,1.0
1999-09-03,5.4375,5.4375,5.4375,5.4375,5.2837,0.0,0.0,1.0
1999-09-07,5.5,5.5,5.5,5.5,5.3445,3000.0,0.0,1.0
1999-09-08,5.4375,5.4375,5.4375,5.4375,5.2837,1000.0,0.0,1.0
1999-09-09,5.3125,5.625,5.3125,5.625,5.4659,26100.0,0.0,1.0
1999-09-10,5.5625,5.5625,5.5625,5.5625,5.4052,9300.0,0.0,1.0
1999-09-13,5.3125,5.4375,5.3125,5.375,5.223,202300.0,0.0,1.0
1999-09-14,5.375,5.375,5.3125,5.375,5.223,55400.0,0.0,1.0
1999-09-15,5.3125,5.375,5.3125,5.375,5.223,1400.0,0.0,1.0
1999-09-16,5.5625,5.5625,5.3125,5.5,5.3445,3700.0,0.0,1.0
1999-09-17,5.3125,5.5,5.3125,5.5,5.3445,4900.0,0.0,1.0
1999-09-20,5.625,5.625,5.625,5.625,5.4659,2500.0,0.0,1.0
1999-09-21,5.625,5.625,5.3125,5.3125,5.1623,2700.0,0.0,1.0
1999-09-22,5.3125,5.625,5.3125,5.625,5.4659,2600.0,0.0,1.0
1999-09-23,5.5625,5.5625,5.375,5.5625,5.4052,2200.0,0.0,1.0
1999-09-24,5.4375,5.625,5.4375,5.5625,5.4052,103000.0,0.0,1.0
1999-09-27,5.5625,5.625,5.5625,5.5625,5.4052,16100.0,0.0,1.0
1999-09-28,5.5625,5.625,5.5625,5.5625,5.4052,6900.0,0.0,1.0
1999-09-29,5.5625,5.5625,4.4688,5.0,4.8586,61600.0,0.0,1.0
1999-09-30,5.125,5.125,4.8125,4.8125,4.6764,269700.0,0.0,1.0
1999-10-01,4.875,4.9375,4.875,4.9375,4.7979,34400.0,0.0,1.0
1999-10-04,5.0,5.125,5.0,5.0,4.8586,5200.0,0.0,1.0
1999-10-05,5.0,5.125,4.875,4.875,4.7372,10100.0,0.0,1.0
1999-10-06,4.75,5.0,4.6875,4.6875,4.555,55500.0,0.0,1.0
1999-10-07,4.75,4.875,4.75,4.8125,4.6764,8800.0,0.0,1.0
1999-10-08,4.8125,5.0625,4.8125,5.0,4.8586,16900.0,0.0,1.0
1999-10-11,5.0,5.0625,5.0,5.0,4.8586,8000.0,0.0,1.0
1999-10-12,5.125,5.125,5.125,5.125,4.9801,3900.0,0.0,1.0
1999-10-13,5.125,5.125,4.75,4.75,4.6157,108400.0,0.0,1.0
1999-10-14,4.875,5.125,4.875,5.0,4.8586,12700.0,0.0,1.0
1999-10-15,5.0625,5.0625,5.0625,5.0625,4.9193,1100.0,0.0,1.0
1999-10-18,5.0,5.5,5.0,5.375,5.223,44500.0,0.0,1.0
1999-10-19,5.3125,5.3125,5.0,5.0,4.8586,7900.0,0.0,1.0
1999-10-20,5.0,5.0,4.75,4.75,4.6157,28100.0,0.0,1.0
1999-10-21,4.875,4.875,4.5,4.625,4.4942,18300.0,0.0,1.0
1999-10-22,4.5,4.875,4.0,4.875,4.7372,16900.0,0.0,1.0
1999-10-25,4.8125,4.875,4.8125,4.875,4.7372,12000.0,0.0,1.0
1999-10-26,4.875,4.875,4.875,4.875,4.7372,1500.0,0.0,1.0
1999-10-27,4.875,5.0,4.5625,4.625,4.4942,12200.0,0.0,1.0
1999-10-28,4.875,4.875,4.6875,4.6875,4.555,700.0,0.0,1.0
1999-10-29,4.875,5.125,4.875,5.0625,4.9193,92100.0,0.0,1.0
1999-11-01,5.125,5.125,5.125,5.125,4.9801,28100.0,0.0,1.0
1999-11-02,5.125,5.25,5.125,5.125,4.9801,17600.0,0.0,1.0
1999-11-03,5.25,5.25,5.125,5.125,4.9801,3500.0,0.0,1.0
1999-11-04,5.125,5.25,5.125,5.125,4.9801,11000.0,0.0,1.0
1999-11-05,5.375,5.375,5.1875,5.375,5.223,11100.0,0.0,1.0
1999-11-08,5.125,5.125,4.6875,5.125,4.9801,4100.0,0.0,1.0
1999-11-09,5.375,5.5,5.125,5.3125,5.1623,25900.0,0.0,1.0
1999-11-10,5.0,5.3125,5.0,5.3125,5.1623,300.0,0.0,1.0
1999-11-11,5.0,5.125,5.0,5.125,4.9801,7500.0,0.0,1.0
1999-11-12,5.0,5.125,5.0,5.0,4.8586,4300.0,0.0,1.0
1999-11-15,5.0,5.125,5.0,5.0,4.8586,13900.0,0.0,1.0
1999-11-16,5.1875,5.3125,5.0,5.3125,5.1623,6400.0,0.0,1.0
1999-11-17,5.0625,5.1875,5.0625,5.1875,5.0408,7200.0,0.0,1.0
1999-11-18,5.0625,5.125,5.0,5.125,4.9801,39300.0,0.0,1.0
1999-11-19,5.0625,5.1875,5.0625,5.1875,5.0408,8600.0,0.0,1.0
1999-11-22,5.1875,5.375,5.1875,5.375,5.223,7000.0,0.0,1.0
1999-11-23,5.0625,5.0625,5.0625,5.0625,4.9193,25500.0,0.0,1.0
1999-11-24,5.0625,5.0625,5.0625,5.0625,4.9193,400.0,0.0,1.0
1999-11-26,5.0938,5.0938,5.0625,5.0625,4.9193,800.0,0.0,1.0
1999-11-29,5.0,5.125,4.6875,4.6875,4.555,28500.0,0.0,1.0
1999-11-30,4.75,5.125,4.75,4.75,4.6157,23200.0,0.0,1.0
1999-12-01,4.75,4.75,4.75,4.75,4.6157,1000.0,0.0,1.0
1999-12-02,5.125,5.125,5.0,5.125,4.9801,27500.0,0.0,1.0
1999-12-03,5.25,5.25,5.25,5.25,5.1015,2100.0,0.0,1.0
1999-12-06,5.125,5.125,5.0,5.125,4.9801,13900.0,0.0,1.0
1999-12-07,4.875,5.0,4.875,5.0,4.8586,8500.0,0.0,1.0
1999-12-08,5.0,5.0,5.0,5.0,4.8586,0.0,0.0,1.0
1999-12-09,4.7813,4.875,4.7813,4.875,4.7372,1800.0,0.0,1.0
1999-12-10,4.875,5.0,4.75,5.0,4.8586,5100.0,0.0,1.0
1999-12-13,4.875,4.875,4.875,4.875,4.7372,4400.0,0.0,1.0
1999-12-14,4.875,4.875,4.875,4.875,4.7372,1800.0,0.0,1.0
1999-12-15,5.0,5.125,5.0,5.125,4.9801,3200.0,0.0,1.0
1999-12-16,5.25,5.25,5.0,5.0,4.8586,10600.0,0.0,1.0
1999-12-17,5.0,5.0,5.0,5.0,4.8586,300.0,0.0,1.0
1999-12-20,4.875,5.0625,4.875,5.0625,4.9193,11100.0,0.0,1.0
1999-12-21,5.125,5.125,5.0,5.125,4.9801,23800.0,0.0,1.0
1999-12-22,4.875,5.0,4.875,5.0,4.8586,28800.0,0.0,1.0
1999-12-23,4.875,4.875,4.875,4.875,4.7372,6200.0,0.0,1.0
1999-12-27,4.9375,4.9375,4.875,4.875,4.7372,2100.0,0.0,1.0
1999-12-28,4.875,4.875,4.875,4.875,4.7372,3600.0,0.0,1.0
1999-12-29,4.875,4.875,4.6875,4.6875,4.555,12900.0,0.0,1.0
1999-12-30,4.6875,4.875,4.6875,4.8125,4.6764,6600.0,0.0,1.0
1999-12-31,4.8438,4.875,4.8438,4.875,4.7372,9000.0,0.0,1.0
2000-01-03,4.8125,4.8125,4.8125,4.8125,4.6764,1400.0,0.0,1.0
2000-01-04,4.8125,4.8125,4.8125,4.8125,4.6764,400.0,0.0,1.0
2000-01-05,4.875,4.875,4.8125,4.8125,4.6764,5000.0,0.0,1.0
2000-01-06,4.7813,4.7813,4.75,4.75,4.6157,3600.0,0.0,1.0
2000-01-07,4.75,4.8125,4.75,4.8125,4.6764,10100.0,0.0,1.0
2000-01-10,4.75,4.75,4.75,4.75,4.6157,1000.0,0.0,1.0
2000-01-11,4.75,4.875,4.6563,4.6563,4.5246,14500.0,0.0,1.0
