date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-01-04,1.45,1.9,1.9,1.9,1.7775,500.0,0.0,1.0
2008-01-07,1.9,1.9,1.9,1.9,1.7775,5000.0,0.0,1.0
2008-01-08,1.9,1.9,1.9,1.9,1.7775,500.0,0.0,1.0
2008-01-10,1.9,1.25,1.25,1.25,1.1694,1500.0,0.0,1.0
2008-01-15,1.25,1.35,1.3,1.35,1.2629,1000.0,0.0,1.0
2008-01-18,1.35,1.9,1.9,1.9,1.7775,10000.0,0.0,1.0
2008-02-06,1.8,2.0,1.75,2.0,1.871,32000.0,0.0,1.0
2008-02-07,2.0,3.0,1.25,3.0,2.8065,56000.0,0.0,1.0
2008-02-08,3.0,4.0,3.45,4.0,3.7421,67500.0,0.0,1.0
2008-02-11,4.0,5.0,4.35,4.95,4.6308,135500.0,0.0,1.0
2008-02-12,4.95,5.0,4.3,4.6,4.3034,108000.0,0.0,1.0
2008-02-13,4.6,5.0,4.6,5.0,4.6776,44000.0,0.0,1.0
2008-02-14,5.0,6.0,4.8,5.0,4.6776,64000.0,0.0,1.0
2008-02-15,5.0,5.0,4.35,5.0,4.6776,22500.0,0.0,1.0
2008-02-20,5.0,5.35,4.5,5.0,4.6776,11000.0,0.0,1.0
2008-02-21,5.0,4.85,4.0,4.75,4.4437,13000.0,0.0,1.0
2008-02-22,4.75,4.85,4.5,4.85,4.5372,6000.0,0.0,1.0
2008-02-25,4.85,5.1,4.15,4.7,4.3969,94000.0,0.0,1.0
2008-02-26,4.7,4.6,4.1,4.6,4.3034,12000.0,0.0,1.0
2008-02-27,4.6,4.65,4.25,4.65,4.3501,19000.0,0.0,1.0
2008-02-28,4.65,4.85,4.05,4.6,4.3034,38000.0,0.0,1.0
2008-02-29,4.6,4.8,4.1,4.8,4.4905,13000.0,0.0,1.0
2008-03-03,4.8,4.65,4.35,4.65,4.3501,11000.0,0.0,1.0
2008-03-04,4.65,4.5,3.65,4.5,4.2098,35000.0,0.0,1.0
2008-03-05,4.5,4.5,3.5,3.9,3.6485,9500.0,0.0,1.0
2008-03-06,3.9,4.55,4.0,4.4,4.1163,23500.0,0.0,1.0
2008-03-07,4.4,4.5,4.1,4.5,4.2098,17000.0,0.0,1.0
2008-03-10,4.5,5.45,4.5,5.45,5.0985,24500.0,0.0,1.0
2008-03-11,5.45,5.5,4.75,5.0,4.6776,24500.0,0.0,1.0
2008-03-12,5.0,5.85,5.0,5.2,4.8647,21000.0,0.0,1.0
2008-03-13,5.2,4.6,4.6,4.6,4.3034,5000.0,0.0,1.0
2008-03-14,4.6,5.35,4.65,5.35,5.005,14500.0,0.0,1.0
2008-03-17,5.35,5.4,4.75,4.75,4.4437,5000.0,0.0,1.0
2008-03-18,4.75,5.05,5.05,5.05,4.7243,1000.0,0.0,1.0
2008-03-19,5.0,5.0,4.0,5.0,4.6776,46000.0,0.0,1.0
2008-03-20,5.0,5.3,5.3,5.3,4.9582,500.0,0.0,1.0
2008-03-24,5.1,5.35,4.5,4.85,4.5372,3500.0,0.0,1.0
2008-03-25,4.85,5.35,4.5,5.35,5.005,57000.0,0.0,1.0
2008-03-26,5.35,5.4,4.95,5.2,4.8647,18500.0,0.0,1.0
2008-03-27,5.2,4.9,4.5,4.9,4.584,6500.0,0.0,1.0
2008-03-28,4.9,5.9,4.35,5.0,4.6776,26000.0,0.0,1.0
2008-03-31,5.0,5.35,4.5,5.2,4.8647,47500.0,0.0,1.0
2008-04-01,5.2,5.3,5.05,5.05,4.7243,12500.0,0.0,1.0
2008-04-02,5.05,5.85,4.7,5.8,5.426,257000.0,0.0,1.0
2008-04-03,5.8,6.8,5.5,6.8,6.3615,242000.0,0.0,1.0
2008-04-07,7.35,8.0,6.45,8.0,7.4841,48000.0,0.0,1.0
2008-04-08,8.0,8.45,7.3,8.25,7.718,56000.0,0.0,1.0
2008-04-09,8.25,8.85,8.0,8.75,8.1857,56000.0,0.0,1.0
2008-04-10,8.75,9.4,7.8,9.2,8.6067,41000.0,0.0,1.0
2008-04-11,9.2,8.75,8.5,8.75,8.1857,15000.0,0.0,1.0
2008-04-14,8.75,8.75,8.2,8.2,7.6712,7500.0,0.0,1.0
2008-04-15,8.2,8.5,8.1,8.3,7.7648,33500.0,0.0,1.0
2008-04-16,8.3,8.45,7.9,8.35,7.8115,13000.0,0.0,1.0
2008-04-17,8.35,8.4,7.6,8.25,7.718,6000.0,0.0,1.0
2008-04-21,8.0,7.95,7.5,7.5,7.0164,7500.0,0.0,1.0
2008-04-22,7.5,8.15,7.5,7.75,7.2502,15000.0,0.0,1.0
2008-04-23,7.75,8.0,8.0,8.0,7.4841,17500.0,0.0,1.0
2008-04-24,8.0,8.0,7.45,7.45,6.9696,18500.0,0.0,1.0
2008-04-25,7.45,7.5,7.45,7.5,7.0164,9000.0,0.0,1.0
2008-04-28,7.5,7.6,7.51,7.51,7.0257,13000.0,0.0,1.0
2008-04-29,7.51,7.7,7.12,7.7,7.2035,54000.0,0.0,1.0
2008-04-30,7.7,8.2,6.7,8.2,7.6712,66500.0,0.0,1.0
2008-05-02,8.2,9.2,8.0,9.2,8.6067,157500.0,0.0,1.0
2008-05-05,9.2,10.2,9.75,10.2,9.5422,379000.0,0.0,1.0
2008-05-06,10.2,11.2,10.8,11.2,10.4778,177000.0,0.0,1.0
2008-05-07,11.2,12.2,10.75,12.2,11.4133,390000.0,0.0,1.0
2008-05-08,12.2,12.75,12.15,12.15,11.3665,27000.0,0.0,1.0
2008-05-09,12.15,11.85,11.5,11.85,11.0858,1500.0,0.0,1.0
2008-05-12,11.85,12.75,10.85,11.0,10.2906,120000.0,0.0,1.0
2008-05-13,11.0,11.94,10.05,11.4,10.6649,24500.0,0.0,1.0
2008-05-14,11.4,11.3,10.45,11.15,10.431,70000.0,0.0,1.0
2008-05-15,11.15,11.5,10.3,11.2,10.4778,74500.0,0.0,1.0
2008-05-16,11.2,10.9,10.2,10.9,10.1971,5000.0,0.0,1.0
2008-05-19,10.9,10.5,9.9,10.5,9.8229,11000.0,0.0,1.0
2008-05-20,10.5,10.4,9.6,10.4,9.7293,2000.0,0.0,1.0
2008-05-22,10.4,10.25,9.4,10.25,9.589,5000.0,0.0,1.0
2008-05-23,10.25,10.5,9.25,10.5,9.8229,5000.0,0.0,1.0
2008-05-27,10.5,10.5,10.5,10.5,9.8229,1000.0,0.0,1.0
2008-05-28,10.5,10.99,10.99,10.99,10.2813,500.0,0.0,1.0
2008-06-02,10.99,11.9,9.99,9.99,9.3458,29000.0,0.0,1.0
2008-06-03,9.99,8.99,8.99,8.99,8.4103,4000.0,0.0,1.0
2008-06-04,8.99,8.1,7.99,8.05,7.5309,14500.0,0.0,1.0
2008-06-05,8.05,7.95,7.05,7.95,7.4373,74000.0,0.0,1.0
2008-06-06,7.95,8.57,6.95,8.0,7.4841,62000.0,0.0,1.0
2008-06-09,8.0,8.15,7.0,8.1,7.5777,54000.0,0.0,1.0
2008-06-11,8.1,8.1,7.65,7.65,7.1567,26000.0,0.0,1.0
2008-06-12,7.65,7.65,6.65,6.65,6.2212,23500.0,0.0,1.0
2008-06-13,6.65,7.25,5.65,6.49,6.0715,158000.0,0.0,1.0
2008-06-16,6.49,6.88,6.0,6.4,5.9873,73000.0,0.0,1.0
2008-06-17,6.4,7.34,5.8,6.85,6.4083,22500.0,0.0,1.0
2008-06-18,6.85,7.83,6.12,7.04,6.586,18500.0,0.0,1.0
2008-06-19,7.04,7.19,6.04,6.5,6.0808,24500.0,0.0,1.0
2008-06-20,6.5,6.5,5.65,6.5,6.0808,5000.0,0.0,1.0
2008-06-23,6.5,6.35,5.5,6.02,5.6318,32500.0,0.0,1.0
2008-06-24,6.02,6.4,5.96,6.18,5.7815,37000.0,0.0,1.0
2008-06-25,6.18,6.12,6.12,6.12,5.7253,1000.0,0.0,1.0
2008-06-26,6.12,6.49,6.06,6.1,5.7066,4500.0,0.0,1.0
2008-06-27,6.1,6.7,6.04,6.04,5.6505,1000.0,0.0,1.0
2008-07-02,6.04,5.98,5.98,5.98,5.5944,1000.0,0.0,1.0
2008-07-07,5.98,6.48,6.48,6.48,6.0621,2000.0,0.0,1.0
2008-07-14,6.48,5.48,5.48,5.48,5.1266,2000.0,0.0,1.0
2008-07-15,5.48,6.24,4.48,5.99,5.6037,29000.0,0.0,1.0
2008-07-16,5.99,6.19,4.99,5.87,5.4915,3000.0,0.0,1.0
2008-07-17,5.87,5.79,4.87,5.39,5.0424,6000.0,0.0,1.0
2008-07-18,5.39,5.73,4.4,5.3,4.9582,10000.0,0.0,1.0
2008-07-21,5.3,5.79,4.3,4.77,4.4624,31000.0,0.0,1.0
2008-07-22,4.77,4.94,3.8,4.8,4.4905,11000.0,0.0,1.0
2008-07-23,4.8,4.75,4.75,4.75,4.4437,2000.0,0.0,1.0
2008-07-24,4.75,5.29,4.75,5.29,4.9489,8500.0,0.0,1.0
2008-07-25,5.29,5.39,5.0,5.0,4.6776,12000.0,0.0,1.0
2008-07-28,5.0,5.49,4.0,4.86,4.5466,19000.0,0.0,1.0
2008-08-18,4.4,4.85,3.55,4.7,4.3969,2500.0,0.0,1.0
2008-08-19,4.7,4.84,4.7,4.7,4.3969,4500.0,0.0,1.0
2008-08-20,4.7,4.9,4.11,4.11,3.845,19000.0,0.0,1.0
2008-08-21,4.11,4.95,3.14,4.95,4.6308,38000.0,0.0,1.0
2008-08-22,4.95,5.75,3.95,5.25,4.9114,28500.0,0.0,1.0
2008-08-25,5.25,5.14,4.46,5.14,4.8085,10500.0,0.0,1.0
2008-08-26,5.14,4.9,4.14,4.15,3.8824,136000.0,0.0,1.0
2008-08-27,4.15,4.99,4.99,4.99,4.6682,500.0,0.0,1.0
2008-08-28,4.99,5.09,5.09,5.09,4.7618,500.0,0.0,1.0
2008-08-29,5.09,5.34,5.0,5.13,4.7992,103000.0,0.0,1.0
2008-09-09,5.13,5.13,5.13,5.13,4.7992,44500.0,0.0,1.0
2008-09-10,5.13,4.99,4.99,4.99,4.6682,1000.0,0.0,1.0
2008-09-11,4.99,4.99,4.99,4.99,4.6682,12000.0,0.0,1.0
2008-09-22,4.99,4.99,4.99,4.99,4.6682,24500.0,0.0,1.0
2008-10-09,4.99,4.99,4.99,4.99,4.6682,1000.0,0.0,1.0
2008-12-18,4.99,3.99,3.99,3.99,3.7327,500.0,0.0,1.0
2008-12-19,3.99,2.99,2.99,2.99,2.7972,500.0,0.0,1.0
2008-12-23,2.99,2.0,1.99,1.99,1.8617,7000.0,0.0,1.0
2008-12-24,1.99,1.25,0.99,1.1,1.0291,49500.0,0.0,1.0
2008-12-29,1.05,1.3,0.8,1.2,1.1226,14000.0,0.0,1.0
2009-01-06,1.85,2.0,1.9,2.0,1.871,8500.0,0.0,1.0
2009-01-09,1.97,2.0,2.0,2.0,1.871,1000.0,0.0,1.0
2009-01-14,2.0,1.75,1.51,1.58,1.4781,9500.0,0.0,1.0
2009-01-15,1.58,1.51,1.5,1.5,1.4033,10000.0,0.0,1.0
2009-01-20,1.55,1.45,1.35,1.35,1.2629,15000.0,0.0,1.0
2009-01-23,1.42,1.9,1.89,1.9,1.7775,15000.0,0.0,1.0
2009-01-26,1.89,1.3,1.2,1.3,1.2162,24000.0,0.0,1.0
2009-01-28,1.3,1.0,1.0,1.0,0.9355,1000.0,0.0,1.0
2009-01-30,1.0,1.5,1.05,1.5,1.4033,25500.0,0.0,1.0
2009-02-03,1.49,1.4,1.0,1.4,1.3097,383000.0,0.0,1.0
2009-02-04,1.4,1.69,1.01,1.02,0.9542,282000.0,0.0,1.0
2009-02-09,1.02,1.5,1.5,1.5,1.4033,50000.0,0.0,1.0
2009-02-11,1.58,2.0,1.5,1.83,1.712,20500.0,0.0,1.0
2009-02-12,1.83,2.0,1.98,2.0,1.871,11500.0,0.0,1.0
2009-02-13,2.0,2.0,1.51,2.0,1.871,10000.0,0.0,1.0
2009-02-17,2.35,2.35,1.75,1.75,1.6371,3000.0,0.0,1.0
2009-02-18,1.75,1.75,1.75,1.75,1.6371,5500.0,0.0,1.0
2009-02-19,1.75,1.7,1.7,1.7,1.5904,2500.0,0.0,1.0
2009-02-23,1.7,2.3,1.5,2.3,2.1517,11500.0,0.0,1.0
2009-02-24,1.77,2.34,1.75,2.1,1.9646,3000.0,0.0,1.0
2009-02-25,2.1,3.0,1.8,1.81,1.6933,27500.0,0.0,1.0
2009-03-04,1.81,2.79,1.4,2.69,2.5165,100000.0,0.0,1.0
2009-03-05,2.42,1.76,1.76,1.76,1.6465,2000.0,0.0,1.0
2009-03-12,1.76,2.76,1.13,2.6,2.4323,82000.0,0.0,1.0
