date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-09-21,20.14,20.14,20.14,20.14,19.7946,500.0,0.0,1.0
2016-09-22,20.14,20.14,20.14,20.14,19.7946,0.0,0.0,1.0
2016-09-23,20.14,20.14,20.14,20.14,19.7946,0.0,0.0,1.0
2016-09-26,20.14,20.14,20.14,20.14,19.7946,0.0,0.0,1.0
2016-09-27,20.27,20.27,20.27,20.27,19.9223,500.0,0.0,1.0
2016-09-28,20.27,20.27,20.27,20.27,19.9223,0.0,0.0,1.0
2016-09-29,20.32,20.32,20.32,20.32,19.9715,500.0,0.0,1.0
2016-09-30,20.32,20.32,20.32,20.32,19.9715,0.0,0.0,1.0
2016-10-03,20.32,20.32,20.32,20.32,19.9715,0.0,0.0,1.0
2016-10-04,20.32,20.32,20.32,20.32,19.9715,0.0,0.0,1.0
2016-10-05,20.908,20.908,20.89,20.89,20.5317,700.0,0.0,1.0
2016-10-06,21.0,21.0,20.88,20.88,20.5219,1400.0,0.0,1.0
2016-10-07,20.88,20.88,20.88,20.88,20.5219,0.0,0.0,1.0
2016-10-10,20.88,20.88,20.88,20.88,20.5219,0.0,0.0,1.0
2016-10-11,20.32,20.32,20.153,20.2,19.8535,4400.0,0.0,1.0
2016-10-12,20.2,20.2,20.2,20.2,19.8535,0.0,0.0,1.0
2016-10-13,20.0,20.0,19.96,19.96,19.6177,3500.0,0.0,1.0
2016-10-14,20.09,20.09,20.09,20.09,19.7454,2500.0,0.0,1.0
2016-10-17,20.06,20.06,19.94,19.94,19.598,5300.0,0.0,1.0
2016-10-18,20.21,20.21,20.21,20.21,19.8634,5000.0,0.0,1.0
2016-10-19,20.07,20.07,20.07,20.07,19.7258,200.0,0.0,1.0
2016-10-20,20.15,20.15,20.15,20.15,19.8044,100.0,0.0,1.0
2016-10-21,20.15,20.15,20.15,20.15,19.8044,0.0,0.0,1.0
2016-10-24,20.15,20.15,20.15,20.15,19.8044,0.0,0.0,1.0
2016-10-25,20.46,20.46,20.46,20.46,20.1091,100.0,0.0,1.0
2016-10-26,20.38,20.432,20.37,20.432,20.0816,10200.0,0.0,1.0
2016-10-27,20.29,20.35,19.95,19.96,19.6177,5100.0,0.0,1.0
2016-10-28,20.12,20.21,20.09,20.12,19.7749,39900.0,0.0,1.0
2016-10-31,20.04,20.04,20.02,20.02,19.6766,18800.0,0.0,1.0
2016-11-01,19.85,19.934,19.65,19.895,19.5538,15800.0,0.0,1.0
2016-11-02,19.99,19.99,19.74,19.74,19.4014,11600.0,0.0,1.0
2016-11-03,19.83,19.87,19.69,19.735,19.3965,84800.0,0.0,1.0
2016-11-04,19.76,19.86,19.72,19.72,19.3818,14900.0,0.0,1.0
2016-11-07,20.0,20.26,19.99,20.26,19.9125,8000.0,0.0,1.0
2016-11-08,20.23,20.49,20.18,20.43,20.0796,21300.0,0.0,1.0
2016-11-09,20.43,20.52,19.92,20.49,20.1386,17100.0,0.0,1.0
2016-11-10,21.54,21.54,19.98,20.155,19.8093,106300.0,0.0,1.0
2016-11-11,20.1,20.52,20.09,20.52,20.1681,2900.0,0.0,1.0
2016-11-14,20.67,20.69,20.52,20.563,20.2103,2400.0,0.0,1.0
2016-11-15,20.69,20.979,20.66,20.979,20.6192,11900.0,0.0,1.0
2016-11-16,21.05,21.16,20.93,20.97,20.6103,25900.0,0.0,1.0
2016-11-17,21.33,21.44,21.22,21.35,20.9838,6000.0,0.0,1.0
2016-11-18,21.88,21.88,21.3,21.472,21.1037,14500.0,0.0,1.0
2016-11-21,21.73,21.78,21.556,21.556,21.1863,4200.0,0.0,1.0
2016-11-22,21.86,22.01,21.75,21.79,21.4163,15400.0,0.0,1.0
2016-11-23,22.256,22.256,21.928,22.02,21.6423,3000.0,0.0,1.0
2016-11-25,22.02,22.08,22.02,22.08,21.7013,2500.0,0.0,1.0
2016-11-28,22.047,22.08,22.047,22.06,21.6816,800.0,0.0,1.0
