date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-10-07,20.61,20.61,20.61,20.61,19.4858,200.0,0.0,1.0
2016-10-10,20.61,20.61,20.61,20.61,19.4858,0.0,0.0,1.0
2016-10-11,20.5,20.5,20.4,20.4,19.2872,3300.0,0.0,1.0
2016-10-12,20.4,20.4,20.4,20.4,19.2872,0.0,0.0,1.0
2016-10-13,19.99,19.99,19.99,19.99,18.8996,2500.0,0.0,1.0
2016-10-14,20.1,20.1,20.1,20.1,19.0036,2500.0,0.0,1.0
2016-10-17,19.95,19.96,19.95,19.96,18.8712,5000.0,0.0,1.0
2016-10-18,20.13,20.14,20.13,20.14,19.0414,5000.0,0.0,1.0
2016-10-19,20.652,20.652,20.642,20.642,19.516,500.0,0.0,1.0
2016-10-20,20.78,20.78,20.74,20.74,19.6087,200.0,0.0,1.0
2016-10-21,20.74,20.74,20.74,20.74,19.6087,0.0,0.0,1.0
2016-10-24,20.74,20.74,20.74,20.74,19.6087,0.0,0.0,1.0
2016-10-25,20.84,20.899,20.824,20.899,19.759,900.0,0.0,1.0
2016-10-26,20.92,21.07,20.92,21.07,19.9207,400.0,0.0,1.0
2016-10-27,22.0,22.0,21.04,21.254,20.0946,1600.0,0.0,1.0
2016-10-28,21.13,21.13,20.98,20.98,19.8356,600.0,0.0,1.0
2016-10-31,20.98,20.98,20.98,20.98,19.8356,0.0,0.0,1.0
2016-11-01,20.98,20.98,20.98,20.98,19.8356,0.0,0.0,1.0
2016-11-02,20.77,20.77,20.69,20.69,19.5614,500.0,0.0,1.0
2016-11-03,20.851,20.851,20.851,20.851,19.7136,500.0,0.0,1.0
2016-11-04,20.851,20.851,20.851,20.851,19.7136,0.0,0.0,1.0
2016-11-07,20.851,20.851,20.851,20.851,19.7136,0.0,0.0,1.0
2016-11-08,21.245,21.25,21.245,21.25,20.0908,1600.0,0.0,1.0
2016-11-09,22.39,22.39,22.36,22.36,21.1403,1100.0,0.0,1.0
2016-11-10,22.941,23.25,22.78,23.234,21.9666,11600.0,0.0,1.0
2016-11-11,24.21,24.21,23.084,23.52,22.237,2800.0,0.0,1.0
2016-11-14,24.26,25.01,23.903,24.106,22.7911,38700.0,0.0,1.0
2016-11-15,26.17,26.17,23.67,24.17,22.8516,18900.0,0.0,1.0
2016-11-16,23.92,23.92,23.71,23.77,22.4734,23500.0,0.0,1.0
2016-11-17,23.99,24.18,23.971,24.111,22.7958,155200.0,0.0,1.0
2016-11-18,24.17,24.425,23.97,24.41,23.0785,49000.0,0.0,1.0
2016-11-21,24.85,24.85,24.12,24.33,23.0028,36400.0,0.0,1.0
2016-11-22,24.5,24.94,24.25,24.406,23.0747,64900.0,0.0,1.0
2016-11-23,24.48,24.6,24.48,24.567,23.2269,7600.0,0.0,1.0
2016-11-25,24.76,24.76,24.53,24.62,23.277,15400.0,0.0,1.0
2016-11-28,24.34,24.34,24.19,24.19,22.8705,1600.0,0.0,1.0
2016-11-29,24.29,24.4,24.24,24.245,22.9225,5600.0,0.0,1.0
2016-11-30,24.63,24.989,24.63,24.75,23.3999,4200.0,0.0,1.0
