date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-08-10,16.75,17.0,16.75,17.0,10.3139,400.0,0.0,1.0
1999-08-11,16.875,16.875,16.75,16.75,10.1623,4200.0,0.0,1.0
1999-08-12,16.75,16.75,16.75,16.75,10.1623,0.0,0.0,1.0
1999-08-13,16.75,16.75,16.75,16.75,10.1623,0.0,0.0,1.0
1999-08-16,16.75,16.75,16.75,16.75,10.1623,0.0,0.0,1.0
1999-08-17,16.5,17.0,16.5,17.0,10.3139,600.0,0.0,1.0
1999-08-18,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-08-19,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-08-20,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-08-23,16.375,16.375,16.375,16.375,9.9347,1400.0,0.0,1.0
1999-08-24,16.375,16.375,16.375,16.375,9.9347,0.0,0.0,1.0
1999-08-25,16.75,16.75,16.75,16.75,10.1623,1400.0,0.0,1.0
1999-08-26,16.375,16.375,16.375,16.375,9.9347,1200.0,0.0,1.0
1999-08-27,16.375,16.375,16.375,16.375,9.9347,0.0,0.0,1.0
1999-08-30,16.375,16.375,16.375,16.375,9.9347,0.0,0.0,1.0
1999-08-31,16.375,16.375,16.375,16.375,9.9347,0.0,0.0,1.0
1999-09-01,16.375,16.375,16.375,16.375,9.9347,0.0,0.0,1.0
1999-09-02,16.5,16.5,16.5,16.5,10.0106,1200.0,0.0,1.0
1999-09-03,17.0,17.0,17.0,17.0,10.3139,1200.0,0.0,1.0
1999-09-07,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-08,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-09,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-10,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-13,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-14,17.0,17.0,17.0,17.0,10.3139,0.0,0.0,1.0
1999-09-15,16.5,16.5,16.5,16.5,10.0106,200.0,0.0,1.0
1999-09-16,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-17,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-20,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-21,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-22,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-23,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-24,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-27,16.5,16.5,16.5,16.5,10.0106,0.0,0.0,1.0
1999-09-28,16.5,17.0,15.875,15.875,9.6314,10000.0,0.0,1.0
1999-09-29,15.875,15.875,15.875,15.875,9.6314,0.0,0.0,1.0
