date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-05-06,5.7813,5.7813,5.7003,5.7003,5.7003,3300.0,0.0,1.25
2015-05-08,6.4,6.4,5.7173,5.7173,5.7173,6100.0,0.0,1.0
2015-05-15,6.1867,6.1867,6.1867,6.1867,6.1867,1000.0,0.0,1.0
2015-05-18,6.1867,6.1867,6.1867,6.1867,6.1867,1000.0,0.0,1.0
2015-06-02,6.016,6.016,6.016,6.016,6.016,1200.0,0.0,1.0
2015-06-05,6.1867,6.1867,6.1867,6.1867,6.1867,2200.0,0.0,1.0
2015-06-17,6.2293,6.2293,6.2293,6.2293,6.2293,300.0,0.0,1.0
2015-06-18,6.1867,6.1867,6.1013,6.1013,6.1013,2700.0,0.0,1.0
2015-06-22,6.1909,6.1909,6.1909,6.1909,6.1909,100.0,0.0,1.0
2015-06-24,6.1867,6.2507,6.1867,6.2507,6.2507,3900.0,0.0,1.0
2015-06-25,6.4,6.5067,6.4,6.5067,6.5067,300.0,0.0,1.0
2015-06-29,6.4,6.4,6.4,6.4,6.4,2400.0,0.0,1.0
2015-07-07,6.4213,6.4213,6.4213,6.4213,6.4213,300.0,0.0,1.0
2015-07-13,6.4213,6.4213,6.4213,6.4213,6.4213,1000.0,0.0,1.0
2015-07-15,6.4853,6.5067,6.4213,6.4213,6.4213,3700.0,0.0,1.0
2015-07-16,6.5067,6.5067,6.4213,6.4213,6.4213,400.0,0.0,1.0
2015-07-21,6.4213,6.5067,6.4213,6.5067,6.5067,1800.0,0.0,1.0
2015-07-23,6.4427,6.4427,6.4427,6.4427,6.4427,1500.0,0.0,1.0
2015-07-27,6.4213,6.4427,6.4213,6.4427,6.4427,6700.0,0.0,1.0
2015-07-28,6.4853,6.4853,6.4853,6.4853,6.4853,100.0,0.0,1.0
2015-07-29,6.528,6.528,6.528,6.528,6.528,1000.0,0.0,1.0
2015-08-03,6.5707,6.5707,6.5707,6.5707,6.5707,1000.0,0.0,1.0
2015-08-04,6.5707,6.5707,6.5707,6.5707,6.5707,100.0,0.0,1.0
2015-08-06,6.6133,6.6133,6.6133,6.6133,6.6133,1000.0,0.0,1.0
2015-08-07,6.6133,6.6133,6.6133,6.6133,6.6133,1000.0,0.0,1.0
2015-08-11,6.7413,6.7499,6.7413,6.7413,6.7413,3700.0,0.0,1.0
2015-08-12,6.8267,6.8267,6.8267,6.8267,6.8267,100.0,0.0,1.0
2015-08-13,7.2533,7.68,7.2533,7.4667,7.4667,3700.0,0.0,1.0
2015-08-14,7.68,7.7227,7.68,7.7227,7.7227,6400.0,0.0,1.0
2015-08-26,7.4667,7.4667,7.168,7.168,7.168,1000.0,0.0,1.0
2015-09-01,7.4667,7.4667,7.1467,7.1467,7.1467,400.0,0.0,1.0
2015-09-02,7.4453,7.4667,7.2533,7.2533,7.2533,10600.0,0.0,1.0
2015-09-03,7.4453,7.4453,7.4453,7.4453,7.4453,1000.0,0.0,1.0
2015-09-09,7.4453,7.4667,7.4453,7.4667,7.4667,1000.0,0.0,1.0
2015-09-15,7.4624,7.4624,7.4624,7.4624,7.4624,100.0,0.0,1.0
2015-09-22,7.4667,7.4709,7.4667,7.4667,7.4667,2700.0,0.0,1.0
2015-09-28,7.2533,7.2533,7.2533,7.2533,7.2533,100.0,0.0,1.0
2015-09-29,7.2107,7.2107,7.1552,7.1552,7.1552,3700.0,0.0,1.0
2015-10-08,7.2107,7.2533,7.2107,7.2533,7.2533,1000.0,0.0,1.0
2015-10-13,7.1893,7.1893,7.1253,7.1253,7.1253,1200.0,0.0,1.0
2015-10-15,7.0827,7.0827,7.0827,7.0827,7.0827,300.0,0.0,1.0
2015-10-21,7.168,7.168,7.04,7.04,7.04,4600.0,0.0,1.0
2015-10-22,7.1253,7.1253,7.1253,7.1253,7.1253,100.0,0.0,1.0
2015-10-23,7.1253,7.1253,7.1253,7.1253,7.1253,100.0,0.0,1.0
2015-10-26,7.168,7.168,7.168,7.168,7.168,300.0,0.0,1.0
2015-10-27,7.168,7.168,7.168,7.168,7.168,1500.0,0.0,1.0
2015-10-28,7.168,7.168,7.1253,7.1253,7.1253,400.0,0.0,1.0
2015-11-03,7.2533,7.2533,7.2533,7.2533,7.2533,300.0,0.0,1.0
2015-11-06,7.2533,7.2533,7.2533,7.2533,7.2533,300.0,0.0,1.0
2015-11-10,7.168,7.168,7.168,7.168,7.168,3300.0,0.0,1.0
2015-11-13,7.168,7.168,7.168,7.168,7.168,4600.0,0.0,1.0
2015-11-17,7.2533,7.2533,7.2533,7.2533,7.2533,56500.0,0.0,1.0
2015-11-18,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2015-11-19,7.232,7.232,7.232,7.232,7.232,4900.0,0.0,1.0
2015-11-20,7.2533,7.2533,7.2533,7.2533,7.2533,17400.0,0.0,1.0
2015-11-23,7.2533,7.2533,7.2533,7.2533,7.2533,3300.0,0.0,1.0
2015-11-24,7.2533,7.2533,7.2533,7.2533,7.2533,6900.0,0.0,1.0
2015-11-25,7.296,7.296,7.296,7.296,7.296,300.0,0.0,1.0
2015-11-27,7.296,7.296,7.296,7.296,7.296,0.0,0.0,1.0
2015-11-30,7.2533,7.296,7.2533,7.296,7.296,2200.0,0.0,1.0
2015-12-01,7.296,7.296,7.296,7.296,7.296,100.0,0.0,1.0
2015-12-02,7.296,7.3813,7.296,7.3813,7.3813,9700.0,0.0,1.0
2015-12-03,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-04,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-07,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-08,7.3813,7.3813,7.2747,7.2747,7.2747,15000.0,0.0,1.0
2015-12-09,7.3387,7.3387,7.3387,7.3387,7.3387,11500.0,0.0,1.0
2015-12-10,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2015-12-11,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2015-12-14,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2015-12-15,7.36,7.36,7.36,7.36,7.36,900.0,0.0,1.0
2015-12-16,7.4027,7.4027,7.3387,7.3387,7.3387,2400.0,0.0,1.0
2015-12-17,7.4027,7.4027,7.4027,7.4027,7.4027,1900.0,0.0,1.0
2015-12-18,7.4027,7.4027,7.4027,7.4027,7.4027,0.0,0.0,1.0
2015-12-21,7.3813,7.3813,7.3813,7.3813,7.3813,1200.0,0.0,1.0
2015-12-22,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-23,7.424,7.424,7.424,7.424,7.424,300.0,0.0,1.0
2015-12-24,7.3818,7.3818,7.3813,7.3813,7.3813,5500.0,0.0,1.0
2015-12-28,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-29,7.3813,7.3813,7.3813,7.3813,7.3813,0.0,0.0,1.0
2015-12-30,7.3813,7.3813,7.36,7.36,7.36,1500.0,0.0,1.0
2015-12-31,7.36,7.36,7.36,7.36,7.36,0.0,0.0,1.0
2016-01-04,7.36,7.36,7.36,7.36,7.36,0.0,0.0,1.0
2016-01-05,7.36,7.36,7.36,7.36,7.36,0.0,0.0,1.0
2016-01-06,7.36,7.36,7.36,7.36,7.36,1200.0,0.0,1.0
2016-01-07,7.36,7.36,7.36,7.36,7.36,0.0,0.0,1.0
2016-01-08,7.36,7.4027,7.3387,7.4027,7.4027,1500.0,0.0,1.0
2016-01-11,7.4027,7.4027,7.4027,7.4027,7.4027,0.0,0.0,1.0
2016-01-12,7.36,7.36,7.3429,7.3429,7.3429,3700.0,0.0,1.0
2016-01-13,7.3003,7.3173,7.3003,7.3173,7.3173,22600.0,0.0,1.0
2016-01-14,7.3173,7.3173,7.3173,7.3173,7.3173,0.0,0.0,1.0
2016-01-15,7.3003,7.3003,7.2576,7.2576,7.2576,1500.0,0.0,1.0
2016-01-19,7.2576,7.2576,7.2576,7.2576,7.2576,0.0,0.0,1.0
2016-01-20,7.2363,7.2363,7.1509,7.1509,7.1509,1800.0,0.0,1.0
2016-01-21,7.1509,7.1509,7.1509,7.1509,7.1509,1000.0,0.0,1.0
2016-01-22,7.2363,7.2363,7.2149,7.2149,7.2149,900.0,0.0,1.0
2016-01-25,7.2363,7.2363,7.2363,7.2363,7.2363,300.0,0.0,1.0
2016-01-26,7.2363,7.2363,7.2363,7.2363,7.2363,0.0,0.0,1.0
2016-01-27,7.2363,7.2363,7.2363,7.2363,7.2363,100.0,0.0,1.0
2016-01-28,7.3387,7.3387,7.3387,7.3387,7.3387,2200.0,0.0,1.0
2016-01-29,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-02-01,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-02-02,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-02-03,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-02-04,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-02-05,7.2576,7.2576,7.2533,7.2533,7.2533,4900.0,0.0,1.0
2016-02-08,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-02-09,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-02-10,7.2533,7.2533,7.2533,7.2533,7.2533,3700.0,0.0,1.0
2016-02-11,7.2533,7.2533,7.2533,7.2533,7.2533,3000.0,0.0,1.0
2016-02-12,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-02-16,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-02-17,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-02-18,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-02-19,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-02-22,7.2533,7.2533,7.2533,7.2533,7.2533,400.0,0.0,1.0
2016-02-23,7.2533,7.2533,7.2533,7.2533,7.2533,900.0,0.0,1.0
2016-02-24,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-02-25,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-02-26,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-02-29,7.2533,7.2533,7.2533,7.2533,7.2533,2200.0,0.0,1.0
2016-03-01,7.2533,7.2533,7.2533,7.2533,7.2533,400.0,0.0,1.0
2016-03-02,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-03-03,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-03-04,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-03-07,7.2533,7.2533,7.2533,7.2533,7.2533,0.0,0.0,1.0
2016-03-08,7.36,7.36,7.36,7.36,7.36,300.0,0.0,1.0
2016-03-09,7.36,7.36,7.36,7.36,7.36,0.0,0.0,1.0
2016-03-10,7.2533,7.2533,7.2533,7.2533,7.2533,1000.0,0.0,1.0
2016-03-11,7.3387,7.3387,7.3387,7.3387,7.3387,1900.0,0.0,1.0
2016-03-14,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-03-15,7.2747,7.2747,7.2747,7.2747,7.2747,1000.0,0.0,1.0
2016-03-16,7.2747,7.2747,7.2747,7.2747,7.2747,0.0,0.0,1.0
2016-03-17,7.2747,7.2747,7.2747,7.2747,7.2747,1000.0,0.0,1.0
2016-03-18,7.2747,7.2747,7.2747,7.2747,7.2747,300.0,0.0,1.0
2016-03-21,7.2747,7.2747,7.2747,7.2747,7.2747,0.0,0.0,1.0
2016-03-22,7.2747,7.2747,7.2747,7.2747,7.2747,1000.0,0.0,1.0
2016-03-23,7.3387,7.3387,7.2747,7.2747,7.2747,900.0,0.0,1.0
2016-03-24,7.2747,7.2747,7.2747,7.2747,7.2747,0.0,0.0,1.0
2016-03-28,7.3173,7.3173,7.2747,7.2747,7.2747,300.0,0.0,1.0
2016-03-29,7.3173,7.3173,7.3173,7.3173,7.3173,100.0,0.0,1.0
2016-03-30,7.3387,7.3387,7.3387,7.3387,7.3387,900.0,0.0,1.0
2016-03-31,7.3387,7.3387,7.3387,7.3387,7.3387,0.0,0.0,1.0
2016-04-01,7.3813,7.424,7.3813,7.424,7.424,1000.0,0.0,1.0
2016-04-04,7.424,7.424,7.424,7.424,7.424,0.0,0.0,1.0
2016-04-05,7.424,7.424,7.424,7.424,7.424,0.0,0.0,1.0
2016-04-06,7.424,7.552,7.424,7.552,7.552,1000.0,0.0,1.0
2016-04-07,7.552,7.552,7.552,7.552,7.552,0.0,0.0,1.0
2016-04-08,7.36,7.36,7.36,7.36,7.36,1200.0,0.0,1.0
2016-04-11,7.3387,7.3387,7.3387,7.3387,7.3387,400.0,0.0,1.0
2016-04-12,7.36,7.36,7.36,7.36,7.36,7900.0,0.0,1.0
2016-04-13,7.552,7.6373,7.4667,7.4667,7.4667,3900.0,0.0,1.0
2016-04-14,7.4667,7.4667,7.4667,7.4667,7.4667,0.0,0.0,1.0
2016-04-15,7.4667,7.4667,7.4667,7.4667,7.4667,0.0,0.0,1.0
2016-04-18,7.68,7.7653,7.68,7.7653,7.7653,1200.0,0.0,1.0
2016-04-19,7.616,7.616,7.616,7.616,7.616,100.0,0.0,1.0
2016-04-20,7.7653,7.7653,7.68,7.68,7.68,300.0,0.0,1.0
2016-04-21,7.8507,7.8507,7.8507,7.8507,7.8507,100.0,0.0,1.0
2016-04-22,7.8507,7.8507,7.8507,7.8507,7.8507,0.0,0.0,1.0
2016-04-25,7.8507,7.8507,7.8507,7.8507,7.8507,0.0,0.0,1.0
2016-04-26,7.8507,7.8507,7.8507,7.8507,7.8507,0.0,0.0,1.0
2016-04-27,7.872,7.872,7.872,7.872,7.872,300.0,0.0,1.0
2016-04-28,7.6885,7.8933,7.6885,7.8933,7.8933,1800.0,0.0,1.0
2016-04-29,7.6971,7.7013,7.6971,7.7013,7.7013,1200.0,0.0,1.0
2016-05-02,7.7013,7.7013,7.6971,7.6971,7.6971,2200.0,0.0,1.0
2016-05-03,7.6971,7.6971,7.6971,7.6971,7.6971,0.0,0.0,1.0
2016-05-04,7.6971,7.6971,7.6971,7.6971,7.6971,0.0,0.0,1.0
2016-05-05,7.6971,7.6971,7.6971,7.6971,7.6971,1200.0,0.0,1.0
2016-05-06,7.6971,7.6971,7.6971,7.6971,7.6971,0.0,0.0,1.0
2016-05-09,7.6971,7.6971,7.6971,7.6971,7.6971,300.0,0.0,1.0
2016-05-10,7.6971,7.6971,7.6971,7.6971,7.6971,100.0,0.0,1.0
2016-05-11,7.7653,7.7867,7.7653,7.7867,7.7867,1000.0,0.0,1.0
2016-05-12,7.7867,7.7867,7.7867,7.7867,7.7867,0.0,0.0,1.0
2016-05-13,7.7867,7.7867,7.7867,7.7867,7.7867,300.0,0.0,1.0
2016-05-16,7.7867,7.7867,7.7867,7.7867,7.7867,1800.0,0.0,1.0
2016-05-17,7.68,7.68,7.68,7.68,7.68,1500.0,0.0,1.0
2016-05-18,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-19,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-20,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-23,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-24,7.68,7.68,7.68,7.68,7.68,300.0,0.0,1.0
2016-05-25,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-26,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
2016-05-27,7.68,7.68,7.6459,7.6459,7.6459,1800.0,0.0,1.0
2016-05-31,7.6459,7.6459,7.6459,7.6459,7.6459,0.0,0.0,1.0
2016-06-01,7.6715,7.6715,7.6715,7.6715,7.6715,300.0,0.0,1.0
2016-06-02,7.6715,7.6715,7.6715,7.6715,7.6715,400.0,0.0,1.0
2016-06-03,7.6715,7.6715,7.6715,7.6715,7.6715,0.0,0.0,1.0
2016-06-06,7.6715,7.6715,7.6715,7.6715,7.6715,300.0,0.0,1.0
2016-06-07,7.68,7.68,7.68,7.68,7.68,400.0,0.0,1.0
2016-06-08,7.68,7.68,7.68,7.68,7.68,0.0,0.0,1.0
