date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-05-10,29.99,29.99,29.87,29.87,27.6887,2000.0,0.0,1.0
2007-05-11,29.87,29.87,29.87,29.87,27.6887,0.0,0.0,1.0
2007-05-14,29.87,29.87,29.87,29.87,27.6887,0.0,0.0,1.0
2007-05-15,29.79,29.79,29.79,29.79,27.6146,1000.0,0.0,1.0
2007-05-16,29.79,29.79,29.79,29.79,27.6146,0.0,0.0,1.0
2007-05-17,29.79,29.79,29.79,29.79,27.6146,0.0,0.0,1.0
2007-05-18,29.49,29.73,29.48,29.72,27.5497,4400.0,0.0,1.0
2007-05-21,29.72,29.72,29.72,29.72,27.5497,0.0,0.0,1.0
2007-05-22,29.72,29.72,29.72,29.72,27.5497,0.0,0.0,1.0
2007-05-23,30.46,30.46,30.33,30.33,28.1151,1600.0,0.0,1.0
2007-05-24,30.33,30.33,30.33,30.33,28.1151,0.0,0.0,1.0
2007-05-25,30.05,30.05,30.05,30.05,27.8556,800.0,0.0,1.0
2007-05-29,30.05,30.05,30.05,30.05,27.8556,0.0,0.0,1.0
2007-05-30,30.52,30.52,30.52,30.52,28.2913,1000.0,0.0,1.0
2007-05-31,30.71,30.74,30.71,30.74,28.4952,3000.0,0.0,1.0
2007-06-01,30.95,30.95,30.95,30.95,28.6899,900.0,0.0,1.0
2007-06-04,30.84,30.84,30.78,30.82,28.5694,1000.0,0.0,1.0
2007-06-05,30.81,30.85,30.7,30.7,28.4581,80500.0,0.0,1.0
2007-06-06,30.4,30.42,30.4,30.42,28.1986,30600.0,0.0,1.0
2007-06-07,30.42,30.42,30.42,30.42,28.1986,0.0,0.0,1.0
2007-06-08,30.42,30.42,30.42,30.42,28.1986,0.0,0.0,1.0
2007-06-11,30.42,30.42,30.42,30.42,28.1986,0.0,0.0,1.0
2007-06-12,30.42,30.42,30.42,30.42,28.1986,0.0,0.0,1.0
2007-06-13,29.99,29.99,29.99,29.99,27.8,100.0,0.0,1.0
2007-06-14,29.99,29.99,29.99,29.99,27.8,0.0,0.0,1.0
2007-06-15,30.74,30.74,30.74,30.74,28.4952,300.0,0.0,1.0
2007-06-18,30.58,30.58,30.58,30.58,28.3469,1100.0,0.0,1.0
2007-06-19,30.58,30.58,30.58,30.58,28.3469,0.0,0.0,1.0
2007-06-20,30.58,30.58,30.58,30.58,28.3469,0.0,0.0,1.0
2007-06-21,30.58,30.58,30.58,30.58,28.3469,0.0,0.0,1.0
2007-06-22,30.27,30.27,30.09,30.09,27.8927,1100.0,0.0,1.0
2007-06-25,30.16,30.19,29.89,29.89,27.7073,16300.0,0.0,1.0
2007-06-26,29.89,29.89,29.89,29.89,27.7073,0.0,0.0,1.0
2007-06-27,29.89,29.89,29.89,29.89,27.7073,0.0,0.0,1.0
2007-06-28,29.89,29.89,29.89,29.89,27.7073,0.0,0.0,1.0
2007-06-29,30.52,30.52,30.15,30.15,27.9483,1500.0,0.0,1.0
2007-07-02,30.51,30.51,30.51,30.51,28.282,500.0,0.0,1.0
2007-07-03,30.59,30.59,30.59,30.59,28.3561,100.0,0.0,1.0
2007-07-05,30.59,30.59,30.59,30.59,28.3561,0.0,0.0,1.0
2007-07-06,30.69,30.7,30.69,30.7,28.4581,7300.0,0.0,1.0
2007-07-09,30.87,30.87,30.87,30.87,28.6157,2000.0,0.0,1.0
2007-07-10,30.43,30.43,30.43,30.43,28.2078,1700.0,0.0,1.0
2007-07-11,30.37,30.5,30.37,30.5,28.2727,400.0,0.0,1.0
2007-07-12,30.91,30.91,30.91,30.91,28.6528,100.0,0.0,1.0
2007-07-13,30.86,30.92,30.86,30.92,28.662,10100.0,0.0,1.0
2007-07-16,30.91,30.91,30.91,30.91,28.6528,600.0,0.0,1.0
2007-07-17,30.96,31.09,30.95,31.02,28.7547,8900.0,0.0,1.0
2007-07-18,31.02,31.02,31.02,31.02,28.7547,0.0,0.0,1.0
2007-07-19,31.03,31.03,31.02,31.02,28.7547,200.0,0.0,1.0
2007-07-20,30.92,30.92,30.38,30.59,28.3561,10000.0,0.0,1.0
2007-07-23,30.64,30.64,30.64,30.64,28.4025,100.0,0.0,1.0
2007-07-24,30.12,30.12,30.06,30.06,27.8649,17900.0,0.0,1.0
2007-07-25,29.6,29.71,29.58,29.71,27.5404,500.0,0.0,1.0
2007-07-26,28.91,28.95,28.51,28.87,26.7618,3600.0,0.0,1.0
2007-07-27,28.51,28.92,28.51,28.55,26.4651,1400.0,0.0,1.0
2007-07-30,28.21,28.55,28.21,28.55,26.4651,400.0,0.0,1.0
2007-07-31,28.84,28.84,28.27,28.27,26.2056,3500.0,0.0,1.0
2007-08-01,28.4,28.45,28.16,28.21,26.15,1700.0,0.0,1.0
2007-08-02,28.45,28.54,28.41,28.54,26.4559,12000.0,0.0,1.0
2007-08-03,28.25,28.25,27.46,27.46,25.4547,1900.0,0.0,1.0
2007-08-06,27.17,27.17,27.17,27.17,25.1859,1800.0,0.0,1.0
2007-08-07,27.76,27.76,27.76,27.76,25.7328,1100.0,0.0,1.0
2007-08-08,27.88,28.13,27.88,28.13,26.0758,8200.0,0.0,1.0
2007-08-09,27.81,27.84,27.8,27.84,25.807,1600.0,0.0,1.0
2007-08-10,27.48,28.58,27.48,28.26,26.1963,9000.0,0.0,1.0
2007-08-13,28.44,28.44,28.19,28.19,26.1314,14700.0,0.0,1.0
2007-08-14,28.19,28.19,28.19,28.19,26.1314,0.0,0.0,1.0
2007-08-15,27.21,27.21,27.21,27.21,25.223,300.0,0.0,1.0
