date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-06-23,15.01,15.08,14.65,15.04,4.2404,2464600.0,0.0,1.0
2005-06-24,15.1,15.12,15.0,15.09,4.2545,531900.0,0.0,1.0
2005-06-27,15.1,15.1,15.03,15.09,4.2545,116100.0,0.0,1.0
2005-06-28,15.1,15.1,15.0,15.0,4.2291,330000.0,0.0,1.0
2005-06-29,15.03,15.11,15.0,15.01,4.232,55000.0,0.0,1.0
2005-06-30,15.15,15.15,15.0,15.05,4.2432,130500.0,0.0,1.0
2005-07-01,15.11,15.12,15.05,15.05,4.2432,79500.0,0.0,1.0
2005-07-05,15.15,15.15,15.03,15.1,4.2573,45100.0,0.0,1.0
2005-07-06,15.13,15.13,15.06,15.09,4.2545,66500.0,0.0,1.0
2005-07-07,15.0,15.12,15.0,15.12,4.263,42500.0,0.0,1.0
2005-07-08,15.12,15.15,15.04,15.1,4.2573,176500.0,0.0,1.0
2005-07-11,15.09,15.09,15.01,15.07,4.2489,103400.0,0.0,1.0
2005-07-12,15.1,15.2,15.1,15.19,4.2827,53200.0,0.0,1.0
2005-07-13,15.2,15.9,15.08,15.35,4.3278,59000.0,0.0,1.0
2005-07-14,15.5,15.92,15.45,15.65,4.4124,69400.0,0.0,1.0
2005-07-15,15.8,15.95,15.55,15.8,4.4547,60700.0,0.0,1.0
2005-07-18,15.7,16.0,15.5,15.88,4.4772,76200.0,0.0,1.0
2005-07-19,16.0,16.1,15.5,15.9,4.4885,42500.0,0.02,1.0
2005-07-20,15.99,16.0,15.8,16.0,4.5168,39600.0,0.0,1.0
2005-07-21,15.9,16.2,15.81,16.1,4.545,52000.0,0.0,1.0
2005-07-22,16.3,16.3,15.76,15.8,4.4603,50600.0,0.0,1.0
2005-07-25,16.18,16.19,15.65,15.84,4.4716,53200.0,0.0,1.0
2005-07-26,15.65,16.0,15.28,15.68,4.4264,249600.0,0.0,1.0
2005-07-27,15.85,15.85,15.05,15.25,4.305,169800.0,0.0,1.0
2005-07-28,15.5,15.5,15.05,15.11,4.2655,172800.0,0.0,1.0
2005-07-29,15.25,15.3,15.1,15.2,4.2909,107500.0,0.0,1.0
2005-08-01,15.1,15.25,15.1,15.12,4.2683,81000.0,0.0,1.0
2005-08-02,15.25,15.5,15.15,15.25,4.305,150200.0,0.0,1.0
2005-08-03,15.56,15.56,15.25,15.25,4.305,113000.0,0.0,1.0
2005-08-04,15.6,15.6,15.22,15.35,4.3333,60400.0,0.0,1.0
2005-08-05,15.4,15.48,15.16,15.16,4.2796,121700.0,0.0,1.0
2005-08-08,15.26,15.35,15.08,15.19,4.2881,62600.0,0.0,1.0
2005-08-09,15.17,15.24,15.06,15.2,4.2909,36500.0,0.0,1.0
2005-08-10,15.2,15.2,15.0,15.0,4.2345,111200.0,0.0,1.0
