date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-09-04,12.0,12.0,12.0,12.0,12.0,700.0,0.0,1.0
2002-09-05,12.0,12.0,12.0,12.0,12.0,200.0,0.0,1.0
2002-09-06,12.0,21.0,12.0,21.0,21.0,500.0,0.0,1.0
2002-09-09,18.0,18.0,12.0,12.0,12.0,100.0,0.0,1.0
2002-09-10,19.2,19.5,19.2,19.5,19.5,0.0,0.0,1.0
2002-09-11,18.78,19.5,18.78,19.5,19.5,300.0,0.0,1.0
2002-09-12,21.0,21.0,21.0,21.0,21.0,0.0,0.0,1.0
2002-09-13,21.0,21.0,19.5,19.5,19.5,900.0,0.0,1.0
2002-09-16,19.5,19.5,19.5,19.5,19.5,0.0,0.0,1.0
2002-09-17,19.5,19.5,19.5,19.5,19.5,0.0,0.0,1.0
2002-09-18,19.5,19.5,19.5,19.5,19.5,100.0,0.0,1.0
2002-09-19,19.2,19.5,18.0,18.0,18.0,600.0,0.0,1.0
2002-09-20,19.5,19.5,18.78,18.78,18.78,300.0,0.0,1.0
2002-09-23,19.5,19.5,19.5,19.5,19.5,0.0,0.0,1.0
2002-09-24,18.0,19.5,18.0,19.2,19.2,900.0,0.0,1.0
2002-09-25,19.2,24.0,18.0,18.0,18.0,1400.0,0.0,1.0
2002-09-26,21.0,21.0,17.4,21.0,21.0,200.0,0.0,1.0
2002-09-27,19.5,22.5,18.0,18.9,18.9,2200.0,0.0,1.0
2002-09-30,18.0,24.0,17.4,20.4,20.4,3900.0,0.0,1.0
2002-10-01,19.5,20.1,18.6,20.1,20.1,1700.0,0.0,1.0
2002-10-02,20.1,20.1,20.1,20.1,20.1,0.0,0.0,1.0
2002-10-03,20.1,20.1,20.1,20.1,20.1,0.0,0.0,1.0
2002-10-04,18.9,19.8,18.6,18.6,18.6,800.0,0.0,1.0
2002-10-07,18.3,18.3,18.3,18.3,18.3,100.0,0.0,1.0
2002-10-08,19.2,19.5,18.6,19.5,19.5,800.0,0.0,1.0
2002-10-09,18.0,18.6,16.2,18.6,18.6,1500.0,0.0,1.0
2002-10-10,18.6,18.6,18.6,18.6,18.6,0.0,0.0,1.0
2002-10-11,19.2,19.2,18.54,18.54,18.54,800.0,0.0,1.0
2002-10-14,17.4,17.4,17.4,17.4,17.4,0.0,0.0,1.0
2002-10-15,17.4,17.4,17.4,17.4,17.4,0.0,0.0,1.0
