date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,1116.0,1118.25,1005.75,1006.875,842.4872,9700.0,0.0,1.0
1999-08-10,1002.375,1165.5,990.0,1165.5,975.2143,22600.0,0.0,1.0
1999-08-11,1219.5,1602.0,1177.875,1514.25,1267.0255,69600.0,0.0,1.0
1999-08-12,1476.0,1829.25,1476.0,1711.125,1431.7577,115000.0,0.0,1.0
1999-08-13,1786.5,1800.0,1638.0,1746.0,1460.9388,47100.0,0.0,1.0
1999-08-16,1732.5,2067.75,1703.25,1896.75,1587.0765,80700.0,0.0,1.0
1999-08-17,1890.0,1941.75,1667.25,1765.125,1476.9414,57800.0,0.0,1.0
1999-08-18,1765.125,1836.0,1638.0,1746.0,1460.9388,39700.0,0.0,1.0
1999-08-19,1676.25,1836.0,1659.9375,1770.75,1481.6479,24900.0,0.0,1.0
1999-08-20,1793.25,1908.0,1752.75,1815.75,1519.301,19400.0,0.0,1.0
1999-08-23,1851.75,2290.5,1838.25,2260.125,1891.125,57200.0,0.0,1.0
1999-08-24,2205.0,2661.75,2205.0,2553.75,2136.8113,107200.0,0.0,1.0
1999-08-25,2574.0,2574.0,2272.5,2373.75,1986.199,54000.0,0.0,1.0
1999-08-26,2342.25,2373.75,2065.5,2070.0,1732.0409,34400.0,0.0,1.0
1999-08-27,2106.0,2340.0,2076.75,2241.0,1875.1224,67200.0,0.0,1.0
1999-08-30,2304.0,2304.0,2079.0,2144.25,1794.1685,18800.0,0.0,1.0
1999-08-31,2178.0,2226.375,2020.5,2126.25,1779.1072,24500.0,0.0,1.0
1999-09-01,2112.75,2218.5,2009.25,2074.5,1735.8062,22500.0,0.0,1.0
1999-09-02,1984.5,2448.0,1941.75,2389.5,1999.3776,66100.0,0.0,1.0
1999-09-03,2466.0,2700.0,2459.25,2645.4375,2213.5293,57300.0,0.0,1.0
1999-09-07,2646.0,2836.125,2587.5,2700.0,2259.1838,55700.0,0.0,1.0
1999-09-08,2772.0,3051.0,2766.375,3030.75,2535.9338,76300.0,0.0,1.0
1999-09-09,3039.75,3171.375,2898.0,3081.375,2578.2935,35000.0,0.0,1.0
1999-09-10,3159.0,3200.625,2934.0,3019.5,2526.5205,20900.0,0.0,1.0
1999-09-13,2977.875,3151.125,2949.75,2971.125,2486.0435,20100.0,0.0,1.0
1999-09-14,2970.0,3013.875,2787.75,2893.5,2421.0918,20500.0,0.0,1.0
1999-09-15,2914.875,2925.0,2601.0,2642.625,2211.176,26400.0,0.0,1.0
1999-09-16,2647.125,2657.25,2317.5,2473.875,2069.9771,84300.0,0.0,1.0
