date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-08-22,25.1,25.1,25.1,25.1,24.5706,202000.0,0.0,1.0
2016-08-23,25.23,25.3,25.23,25.27,24.737,3900.0,0.0,1.0
2016-08-24,25.27,25.27,25.27,25.27,24.737,0.0,0.0,1.0
2016-08-25,24.91,24.91,24.91,24.91,24.3846,800.0,0.0,1.0
2016-08-26,24.91,24.91,24.91,24.91,24.3846,0.0,0.0,1.0
2016-08-29,25.03,25.1,24.99,25.1,24.5706,1800.0,0.0,1.0
2016-08-30,25.5,25.5,25.038,25.038,24.5099,5700.0,0.0,1.0
2016-08-31,25.5,25.5,25.5,25.5,24.9622,200.0,0.0,1.0
2016-09-01,24.94,24.95,24.88,24.88,24.3552,2300.0,0.0,1.0
2016-09-02,24.95,24.95,24.9,24.9,24.3748,200.0,0.0,1.0
2016-09-06,24.9,24.9,24.9,24.9,24.3748,100.0,0.0,1.0
2016-09-07,25.4,25.41,25.235,25.41,24.8741,1800.0,0.0,1.0
2016-09-08,25.26,25.26,25.26,25.26,24.7272,100.0,0.0,1.0
2016-09-09,25.22,25.22,24.67,24.67,24.1497,4900.0,0.0,1.0
2016-09-12,24.69,24.73,24.648,24.73,24.2084,1200.0,0.0,1.0
2016-09-13,24.8,24.8,24.71,24.71,24.1888,400.0,0.0,1.0
2016-09-14,24.691,24.79,24.66,24.66,24.1399,1300.0,0.0,1.0
2016-09-15,24.99,24.99,24.99,24.99,24.4629,1300.0,0.0,1.0
2016-09-16,24.854,24.874,24.854,24.874,24.3494,600.0,0.0,1.0
2016-09-19,24.874,24.874,24.874,24.874,24.3494,0.0,0.0,1.0
2016-09-20,24.9,24.9,24.9,24.9,24.3748,200.0,0.0,1.0
2016-09-21,24.951,25.19,24.951,25.168,24.6372,2600.0,0.0,1.0
2016-09-22,25.38,25.4,25.34,25.4,24.8643,500.0,0.0,1.0
2016-09-23,25.32,25.33,25.2,25.27,24.737,1200.0,0.0,1.0
2016-09-26,24.9,24.9,24.9,24.9,24.3748,400.0,0.0,1.0
2016-09-27,25.09,25.19,25.09,25.19,24.6587,1000.0,0.0,1.0
2016-09-28,25.19,25.19,25.19,25.19,24.6587,0.0,0.0,1.0
2016-09-29,25.24,25.24,25.0,25.0,24.4727,1300.0,0.0,1.0
2016-09-30,25.21,25.21,25.16,25.16,24.6293,500.0,0.0,1.0
2016-10-03,25.16,25.16,25.16,25.16,24.6519,0.0,0.023,1.0
2016-10-04,25.16,25.16,25.16,25.16,24.6519,0.0,0.0,1.0
2016-10-05,25.16,25.16,25.16,25.16,24.6519,0.0,0.0,1.0
2016-10-06,25.13,25.14,25.13,25.14,24.6323,600.0,0.0,1.0
2016-10-07,25.14,25.14,25.14,25.14,24.6323,0.0,0.0,1.0
2016-10-10,25.025,25.053,25.025,25.03,24.5245,500.0,0.0,1.0
2016-10-11,25.03,25.03,25.03,25.03,24.5245,0.0,0.0,1.0
