date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,2.2031,2.2188,2.084,2.1484,1.9174,34566400.0,0.0,1.0
1999-08-10,2.1172,2.1816,2.0586,2.1445,1.9139,20105600.0,0.0,1.0
1999-08-11,2.1289,2.25,2.1289,2.2441,2.0028,31849600.0,0.0,1.0
1999-08-12,2.2539,2.3047,2.25,2.2637,2.0202,23955200.0,0.0,1.0
1999-08-13,2.3008,2.3984,2.3008,2.3965,2.1388,29155200.0,0.0,1.0
1999-08-16,2.3945,2.5547,2.3867,2.5391,2.266,30441600.0,0.0,1.0
1999-08-17,2.5508,2.582,2.3906,2.3906,2.1335,31942400.0,0.0,1.0
1999-08-18,2.4023,2.4609,2.3457,2.3984,2.1405,15020800.0,0.0,1.0
1999-08-19,2.3906,2.4785,2.3438,2.4727,2.2067,9731200.0,0.0,1.0
1999-08-20,2.4805,2.6016,2.4766,2.5508,2.2765,23996800.0,0.0,1.0
1999-08-23,2.5625,2.6172,2.5586,2.6133,2.3322,19417600.0,0.0,1.0
1999-08-24,2.5938,2.6094,2.5625,2.5869,2.3087,23548800.0,0.0,1.0
1999-08-25,2.5938,2.5977,2.5254,2.5723,2.2956,27155200.0,0.0,1.0
1999-08-26,2.5781,2.5977,2.5234,2.5527,2.2782,13952000.0,0.0,1.0
1999-08-27,2.5547,2.5625,2.5039,2.5254,2.2538,14937600.0,0.0,1.0
1999-08-30,2.5352,2.5508,2.5156,2.5156,2.2451,11404800.0,0.0,1.0
1999-08-31,2.5176,2.5234,2.4336,2.4355,2.1736,26003200.0,0.0,1.0
1999-09-01,2.4375,2.5117,2.4375,2.457,2.1928,23235200.0,0.0,1.0
1999-09-02,2.4531,2.4844,2.4258,2.4297,2.1684,8841600.0,0.0,1.0
1999-09-03,2.4727,2.6875,2.4727,2.6094,2.3287,19011200.0,0.0,1.0
1999-09-07,2.5977,2.918,2.5938,2.8867,2.5763,56480000.0,0.0,1.0
1999-09-08,2.8262,2.8594,2.7441,2.7813,2.4821,29155200.0,0.0,1.0
1999-09-09,2.8105,2.9844,2.6523,2.6758,2.388,55398400.0,0.0,1.0
1999-09-10,2.7031,2.7266,2.5703,2.625,2.3427,33011200.0,0.0,1.0
1999-09-13,2.6172,2.7773,2.6172,2.7422,2.4473,15084800.0,0.0,1.0
1999-09-14,2.7461,2.8398,2.7363,2.8037,2.5022,23974400.0,0.0,1.0
1999-09-15,2.8125,2.8438,2.4883,2.5,2.2311,35740800.0,0.0,1.0
1999-09-16,2.5195,2.5508,2.3672,2.4648,2.1998,30937600.0,0.0,1.0
1999-09-17,2.4844,2.5,2.4199,2.4766,2.2102,21017600.0,0.0,1.0
1999-09-20,2.4844,2.4863,2.4219,2.4219,2.1614,18243200.0,0.0,1.0
1999-09-21,2.4141,2.4277,2.3438,2.3613,2.1074,23888000.0,0.0,1.0
1999-09-22,2.4102,2.5,2.3984,2.4961,2.2276,22035200.0,0.0,1.0
1999-09-23,2.502,2.5508,2.3906,2.4004,2.1422,23120000.0,0.0,1.0
1999-09-24,2.418,2.4883,2.3398,2.416,2.1562,19376000.0,0.0,1.0
1999-09-27,2.4531,2.5078,2.043,2.1738,1.94,86950400.0,0.0,1.0
1999-09-28,2.1953,2.2363,2.0938,2.1738,1.94,44896000.0,0.0,1.0
1999-09-29,2.1875,2.2422,2.1191,2.1348,1.9052,13251200.0,0.0,1.0
1999-09-30,2.1953,2.2109,2.0,2.0059,1.7901,38768000.0,0.0,1.0
1999-10-01,2.0156,2.0977,2.002,2.0449,1.825,22912000.0,0.0,1.0
1999-10-04,2.0352,2.0664,1.9883,2.0215,1.8041,15337600.0,0.0,1.0
1999-10-05,2.0293,2.0352,1.9941,2.0332,1.8145,19619200.0,0.0,1.0
1999-10-06,2.0605,2.1172,2.0313,2.0859,1.8616,12518400.0,0.0,1.0
1999-10-07,2.1016,2.3672,2.0977,2.3057,2.0577,20476800.0,0.0,1.0
1999-10-08,2.3164,2.3438,2.25,2.2529,2.0106,8291200.0,0.0,1.0
1999-10-11,2.2656,2.3125,2.1758,2.293,2.0464,6224000.0,0.0,1.0
1999-10-12,2.2949,2.2969,2.1836,2.1875,1.9522,5744000.0,0.0,1.0
1999-10-13,2.1855,2.2578,2.1328,2.2031,1.9662,14531200.0,0.0,1.0
1999-10-14,2.2168,2.25,2.1758,2.1914,1.9557,5398400.0,0.0,1.0
1999-10-15,2.1816,2.1836,2.0273,2.0469,1.8267,10672000.0,0.0,1.0
1999-10-18,2.0664,2.0859,2.0,2.0176,1.8006,12444800.0,0.0,1.0
1999-10-19,2.0625,2.1719,2.0527,2.1348,1.9052,10163200.0,0.0,1.0
1999-10-20,2.1719,2.1953,2.0625,2.084,1.8599,11654400.0,0.0,1.0
1999-10-21,2.0723,2.0723,1.9883,2.0547,1.8337,8940800.0,0.0,1.0
1999-10-22,2.0547,2.1914,2.0527,2.1758,1.9418,11081600.0,0.0,1.0
1999-10-25,2.1563,2.1719,2.1211,2.1328,1.9034,13033600.0,0.0,1.0
1999-10-26,2.1406,2.1406,1.9531,2.0137,1.7971,20083200.0,0.0,1.0
1999-10-27,2.0195,2.0898,1.957,2.043,1.8233,26009600.0,0.0,1.0
1999-10-28,2.1914,2.1953,1.9102,1.9922,1.7779,66233600.0,0.0,1.0
1999-10-29,1.9805,2.0391,1.8594,1.9746,1.7622,43856000.0,0.0,1.0
1999-11-01,1.9746,1.9746,1.9746,1.9746,1.7622,0.0,0.0,1.0
