date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-08-17,10.455,10.455,10.455,10.455,9.5662,400.0,0.0,1.0
2012-08-20,10.5411,10.5411,10.4796,10.4796,9.5887,2000.0,0.0,1.0
2012-08-21,10.4796,10.4796,10.4796,10.4796,9.5887,0.0,0.0,1.0
2012-08-22,10.4796,10.4796,10.4796,10.4796,9.5887,0.0,0.0,1.0
2012-08-23,10.4796,10.4796,10.4796,10.4796,9.5887,0.0,0.0,1.0
2012-08-24,10.4796,10.4796,10.4796,10.4796,9.5887,0.0,0.0,1.0
2012-08-27,11.8077,11.8077,11.8077,11.8077,10.8038,400.0,0.0,1.0
2012-08-28,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-08-29,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-08-30,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-08-31,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-04,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-05,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-06,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-07,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-10,11.8077,11.8077,11.8077,11.8077,10.8038,0.0,0.0,1.0
2012-09-11,12.4668,12.4668,12.4668,12.4668,11.4069,400.0,0.0,1.0
2012-09-12,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-13,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-14,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-17,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-18,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-19,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-20,12.4668,12.4668,12.4668,12.4668,11.4069,0.0,0.0,1.0
2012-09-21,12.5086,12.5111,11.8003,11.8003,10.7971,2400.0,0.0,1.0
2012-09-24,12.2774,12.2774,12.2774,12.2774,11.2337,400.0,0.0,1.0
2012-09-25,11.9331,11.9331,11.9331,11.9331,10.9186,400.0,0.0,1.0
2012-09-26,11.9331,11.9331,11.9331,11.9331,10.9186,0.0,0.0,1.0
2012-09-27,11.9331,11.9331,11.9331,11.9331,10.9186,0.0,0.0,1.0
2012-09-28,12.1323,12.1323,12.1323,12.1323,11.1009,1600.0,0.0,1.0
2012-10-01,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-02,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-03,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-04,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-05,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-08,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-09,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-10,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-11,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-12,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-15,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-16,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-17,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-18,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-19,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-22,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-23,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-24,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-25,12.1323,12.1323,12.1323,12.1323,11.1009,0.0,0.0,1.0
2012-10-26,13.7826,14.0482,13.6498,13.6498,12.4893,13400.0,0.0,1.0
2012-10-31,13.9867,13.9867,12.907,12.907,11.8097,1200.0,0.0,1.0
2012-11-01,14.1712,14.1712,14.1712,14.1712,12.9664,400.0,0.0,1.0
2012-11-02,14.1712,14.1712,14.1712,14.1712,12.9664,0.0,0.0,1.0
2012-11-05,14.1712,14.1712,14.1712,14.1712,12.9664,0.0,0.0,1.0
2012-11-06,14.3802,14.3925,14.3753,14.3753,13.1532,16200.0,0.0,1.0
2012-11-07,14.0236,14.0236,14.0236,14.0236,12.8314,1600.0,0.0,1.0
2012-11-08,14.0236,14.0236,14.0236,14.0236,12.8314,0.0,0.0,1.0
