date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-06-02,7.381,8.0952,6.9048,7.2857,6.47,9408600.0,0.0,1.0
2011-06-03,7.0095,7.3048,6.8857,7.0476,6.2585,15493200.0,0.0,1.0
2011-06-06,7.0,7.0952,6.9048,6.9048,6.1317,4602200.0,0.0,1.0
2011-06-07,6.8571,7.0,6.8571,6.9333,6.1571,3586200.0,0.0,1.0
2011-06-08,6.8762,6.9333,6.8571,6.8667,6.0979,2673200.0,0.0,1.0
2011-06-09,6.7905,6.9048,6.7429,6.8571,6.0894,7716400.0,0.0,1.0
2011-06-10,6.8571,6.9048,6.8,6.8762,6.1063,1419800.0,0.0,1.0
2011-06-13,6.8095,6.8667,6.7524,6.819,6.0556,1039000.0,0.0,1.0
2011-06-14,6.8286,6.9333,6.8286,6.9048,6.1317,1320000.0,0.0,1.0
2011-06-15,6.819,6.9048,6.7143,6.7429,5.9879,847000.0,0.0,1.0
2011-06-16,6.7048,6.7905,6.6762,6.6952,5.9456,1083000.0,0.0,1.0
2011-06-17,6.7619,6.7905,6.7619,6.7905,6.0302,531000.0,0.0,1.0
2011-06-20,6.7524,6.8095,6.6667,6.7524,5.9964,1840600.0,0.0,1.0
2011-06-21,6.6667,6.8571,6.6667,6.8476,6.0809,1269000.0,0.0,1.0
2011-06-22,6.781,6.8476,6.7619,6.7619,6.0048,856200.0,0.0,1.0
2011-06-23,6.6762,6.7524,6.5714,6.6952,5.9456,1010600.0,0.0,1.0
2011-06-24,6.7143,6.7143,6.5619,6.5905,5.8526,820200.0,0.0,1.0
2011-06-27,6.5714,6.7143,6.5238,6.6762,5.9287,545000.0,0.0,1.0
2011-06-28,6.6762,6.7524,6.6667,6.7429,5.9879,587200.0,0.0,1.0
2011-06-29,6.7619,6.9333,6.7619,6.9143,6.1401,1571600.0,0.0,1.0
2011-06-30,6.9238,7.2,6.9238,7.1524,6.3516,908000.0,0.0,1.0
2011-07-01,7.1333,7.2762,6.8952,7.2381,6.4277,1015800.0,0.0,1.0
2011-07-05,7.0,7.2667,7.0,7.181,6.377,792800.0,0.0,1.0
2011-07-06,7.181,7.1905,7.0,7.1429,6.3431,1536600.0,0.0,1.0
2011-07-07,7.1905,7.1905,7.1333,7.1429,6.3431,1065800.0,0.0,1.0
2011-07-08,7.0952,7.3048,7.0952,7.2857,6.47,911800.0,0.0,1.0
2011-07-11,7.0476,7.1905,7.0476,7.1905,6.3854,1296000.0,0.0,1.0
2011-07-12,7.1524,7.1524,7.0476,7.0762,6.2839,3348400.0,0.0,1.0
2011-07-13,7.1429,7.1429,6.981,7.0667,6.2755,3534600.0,0.0,1.0
2011-07-14,7.0952,7.1905,7.0,7.1429,6.3431,7780200.0,0.0,1.0
2011-07-15,7.1619,7.3238,7.1429,7.3238,6.5038,1503000.0,0.0,1.0
2011-07-18,7.2762,7.4095,7.181,7.4095,6.5799,6211200.0,0.0,1.0
2011-07-19,7.4381,7.6095,7.4286,7.5619,6.7153,1424200.0,0.0,1.0
2011-07-20,7.6286,7.6952,7.5429,7.6952,6.8337,1466600.0,0.0,1.0
2011-07-21,7.7048,7.7714,7.581,7.7429,6.8759,1282600.0,0.0,1.0
2011-07-22,7.7048,7.7333,7.5714,7.6667,6.8083,699600.0,0.0,1.0
2011-07-25,7.5524,7.6571,7.419,7.619,6.766,559400.0,0.0,1.0
2011-07-26,7.6,7.6,7.5429,7.581,6.7322,298400.0,0.0,1.0
2011-07-27,7.619,7.619,7.3143,7.4762,6.6391,917400.0,0.0,1.0
2011-07-28,7.5048,7.6762,7.4857,7.6095,6.7575,2027400.0,0.0,1.0
2011-07-29,7.5714,7.6667,7.4857,7.5905,6.7406,1770200.0,0.0,1.0
2011-08-01,7.6857,7.6857,7.4286,7.5238,6.6814,455600.0,0.0,1.0
2011-08-02,7.4571,7.4667,7.1429,7.2095,6.4023,1329400.0,0.0,1.0
2011-08-03,7.2286,7.381,7.1429,7.381,6.5546,2286200.0,0.0,1.0
2011-08-04,7.2286,7.2476,6.9905,7.0476,6.2585,712000.0,0.0,1.0
2011-08-05,7.1048,7.1714,6.6952,6.8667,6.0979,890600.0,0.0,1.0
2011-08-08,6.7429,6.7429,6.0286,6.2952,5.5904,893000.0,0.0,1.0
2011-08-09,6.4571,6.5714,6.3238,6.5714,5.8357,403600.0,0.0,1.0
2011-08-10,6.4762,6.5429,6.3429,6.4952,5.768,76600.0,0.0,1.0
2011-08-11,6.5048,6.6857,6.3143,6.6762,5.9287,1492600.0,0.0,1.0
2011-08-12,6.7524,6.8095,6.5048,6.7238,5.971,431000.0,0.0,1.0
2011-08-15,6.7619,7.019,6.6952,6.8571,6.0894,1025200.0,0.0,1.0
2011-08-16,6.7905,6.8667,6.5429,6.7429,5.9879,549400.0,0.0,1.0
2011-08-17,6.7714,6.819,6.5714,6.7714,6.0133,1321800.0,0.0,1.0
2011-08-18,6.5524,6.7619,6.4762,6.5714,5.8357,795200.0,0.0,1.0
2011-08-19,6.5143,6.5714,6.219,6.4286,5.7088,562400.0,0.0,1.0
2011-08-22,6.5238,6.6381,6.2381,6.5143,5.7849,1071400.0,0.0,1.0
2011-08-23,6.5429,6.5429,6.381,6.4762,5.7511,825600.0,0.0,1.0
2011-08-24,6.4762,6.5905,6.3143,6.5048,5.7765,126400.0,0.0,1.0
