date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-12-08,7.9063,11.4375,7.5625,10.0,5.8221,17149800.0,0.0,1.0
2000-12-11,11.3438,11.375,9.9375,10.5938,6.1678,2919200.0,0.0,1.0
2000-12-12,10.6094,10.625,9.6875,9.9375,5.7858,1077400.0,0.0,1.0
2000-12-13,10.375,10.4375,9.875,9.9375,5.7858,422400.0,0.0,1.0
2000-12-14,9.9922,10.125,9.9375,10.0625,5.8585,265400.0,0.0,1.0
2000-12-15,10.125,10.125,9.0,10.0625,5.8585,950200.0,0.0,1.0
2000-12-18,10.25,10.25,9.7188,10.0313,5.8403,483600.0,0.0,1.0
2000-12-19,10.0234,10.0313,9.625,9.8125,5.713,457400.0,0.0,1.0
2000-12-20,9.6875,9.8125,9.0,9.125,5.3127,1228800.0,0.0,1.0
2000-12-21,9.0313,9.25,8.875,9.0938,5.2945,1017400.0,0.0,1.0
2000-12-22,9.3125,9.6875,9.25,9.625,5.6038,416000.0,0.0,1.0
2000-12-26,9.6563,9.6875,9.4375,9.5,5.531,754000.0,0.0,1.0
2000-12-27,9.4531,9.5625,9.125,9.2813,5.4037,361400.0,0.0,1.0
2000-12-28,9.3125,9.6875,9.1563,9.3125,5.4219,1048600.0,0.0,1.0
2000-12-29,9.5,10.0625,9.375,9.875,5.7494,232800.0,0.0,1.0
2001-01-02,10.0859,10.125,9.3438,9.625,5.6038,330400.0,0.0,1.0
2001-01-03,9.3906,9.6875,8.75,8.8125,5.1308,545400.0,0.0,1.0
2001-01-04,8.9688,9.5,8.8125,9.0313,5.2581,287600.0,0.0,1.0
2001-01-05,9.0547,9.25,8.875,9.0625,5.2763,962000.0,0.0,1.0
2001-01-08,9.0,9.0938,8.75,8.75,5.0944,631000.0,0.0,1.0
2001-01-09,8.9531,9.0,8.5,8.625,5.0216,821800.0,0.0,1.0
2001-01-10,8.5938,8.625,8.375,8.5,4.9488,976800.0,0.0,1.0
2001-01-11,8.5156,9.25,8.5,9.0938,5.2945,1357000.0,0.0,1.0
2001-01-12,9.2969,9.625,9.25,9.5625,5.5674,566200.0,0.0,1.0
2001-01-16,9.8125,10.25,9.4375,9.5,5.531,663200.0,0.0,1.0
2001-01-17,9.5547,9.9375,9.4375,9.6875,5.6402,486000.0,0.0,1.0
2001-01-18,9.7422,9.75,9.25,9.5,5.531,292800.0,0.0,1.0
2001-01-19,9.5313,9.625,9.125,9.1875,5.3491,254200.0,0.0,1.0
2001-01-22,9.3125,9.3125,8.8125,8.9375,5.2035,764600.0,0.0,1.0
2001-01-23,9.125,9.1875,8.9375,8.9375,5.2035,442600.0,0.0,1.0
2001-01-24,8.9453,9.0,8.4688,8.5,4.9488,1197200.0,0.0,1.0
