date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,11.875,12.1875,11.8125,12.1875,7.16,9800.0,0.0,1.0
1999-08-10,11.9375,12.0938,11.6875,11.9375,7.0131,15000.0,0.0,1.0
1999-08-11,11.75,11.9375,11.625,11.9375,7.0131,15400.0,0.0,1.0
1999-08-12,11.5,12.0,11.5,12.0,7.0498,11600.0,0.0,1.0
1999-08-13,11.8438,11.8438,11.6875,11.6875,6.8662,4800.0,0.0,1.0
1999-08-16,11.5,11.6875,10.375,10.375,6.0951,9400.0,0.0,1.0
1999-08-17,11.0,11.0,10.875,10.875,6.3889,1000.0,0.0,1.0
1999-08-18,10.625,10.7813,10.625,10.6563,6.2604,4200.0,0.0,1.0
1999-08-19,10.8125,11.0,10.75,10.875,6.3889,4000.0,0.0,1.0
1999-08-20,11.0,11.0,11.0,11.0,6.4623,400.0,0.0,1.0
1999-08-23,11.0,11.0,11.0,11.0,6.4623,0.0,0.0,1.0
1999-08-24,10.8125,11.0,10.8125,11.0,6.4623,5600.0,0.0,1.0
1999-08-25,10.875,11.0625,10.875,10.9375,6.4256,21000.0,0.0,1.0
1999-08-26,10.9375,11.0,10.9375,10.9375,6.4256,69000.0,0.0,1.0
1999-08-27,11.25,11.25,10.9375,10.9375,6.4256,1400.0,0.0,1.0
1999-08-30,10.9375,10.9375,10.9375,10.9375,6.4256,2200.0,0.0,1.0
1999-08-31,10.9375,11.4375,10.9375,11.4375,6.7193,26000.0,0.0,1.0
1999-09-01,11.5,11.5,11.5,11.5,6.7561,800.0,0.0,1.0
1999-09-02,11.1875,11.1875,10.9375,10.9688,6.444,24000.0,0.0,1.0
1999-09-03,11.4375,11.4375,10.875,10.875,6.3889,800.0,0.0,1.0
1999-09-07,11.375,11.375,11.375,11.375,6.6826,200.0,0.0,1.0
1999-09-08,10.75,11.25,10.75,11.25,6.6092,2200.0,0.0,1.0
1999-09-09,10.8125,10.8125,10.8125,10.8125,6.3522,600.0,0.0,1.0
1999-09-10,10.8125,10.8125,10.8125,10.8125,6.3522,0.0,0.0,1.0
1999-09-13,10.8125,10.8125,10.75,10.75,6.3155,3200.0,0.0,1.0
1999-09-14,10.75,10.75,10.75,10.75,6.3155,0.0,0.0,1.0
1999-09-15,11.25,11.25,11.25,11.25,6.6092,1200.0,0.0,1.0
1999-09-16,10.75,10.75,10.75,10.75,6.3155,2400.0,0.0,1.0
1999-09-17,11.0625,11.0625,10.875,11.0625,6.499,3000.0,0.0,1.0
1999-09-20,11.0,11.125,11.0,11.125,6.5358,1000.0,0.0,1.0
1999-09-21,10.75,10.75,10.75,10.75,6.3155,400.0,0.0,1.0
1999-09-22,10.75,10.75,10.75,10.75,6.3155,0.0,0.0,1.0
1999-09-23,10.9375,10.9375,10.75,10.75,6.3155,600.0,0.0,1.0
1999-09-24,10.75,10.8125,10.75,10.75,6.3155,6800.0,0.0,1.0
1999-09-27,10.75,10.8438,10.75,10.8438,6.3705,600.0,0.0,1.0
1999-09-28,10.75,10.875,10.75,10.8125,6.3522,3600.0,0.0,1.0
1999-09-29,11.0,11.0,11.0,11.0,6.4623,400.0,0.0,1.0
1999-09-30,11.0,11.0,11.0,11.0,6.4623,0.0,0.0,1.0
1999-10-01,10.875,10.875,10.875,10.875,6.3889,400.0,0.0,1.0
1999-10-04,10.875,10.875,10.75,10.75,6.3155,4400.0,0.0,1.0
1999-10-05,10.75,11.0,10.75,10.75,6.3155,14600.0,0.0,1.0
1999-10-06,10.75,10.75,10.75,10.75,6.3524,5200.0,0.0625,1.0
1999-10-07,10.8125,10.8125,10.75,10.8125,6.3893,20800.0,0.0,1.0
1999-10-08,10.7813,10.7813,10.75,10.75,6.3524,600.0,0.0,1.0
1999-10-11,10.75,10.75,10.75,10.75,6.3524,0.0,0.0,1.0
1999-10-12,10.875,10.875,10.875,10.875,6.4263,5000.0,0.0,1.0
1999-10-13,10.75,10.875,10.75,10.7813,6.3709,25600.0,0.0,1.0
1999-10-14,10.75,10.8125,10.75,10.75,6.3524,20800.0,0.0,1.0
1999-10-15,11.0,11.0,10.8594,10.8594,6.417,14400.0,0.0,1.0
1999-10-18,11.0,11.0,10.625,10.7188,6.3339,4400.0,0.0,1.0
1999-10-19,10.8125,10.8125,10.75,10.75,6.3524,1200.0,0.0,1.0
1999-10-20,10.8125,10.8125,10.6875,10.6875,6.3155,11800.0,0.0,1.0
1999-10-21,10.75,10.875,10.75,10.875,6.4263,600.0,0.0,1.0
1999-10-22,10.625,10.6563,10.625,10.625,6.2785,8800.0,0.0,1.0
1999-10-25,10.625,11.0,10.625,10.9375,6.4632,9600.0,0.0,1.0
1999-10-26,11.0,11.0,11.0,11.0,6.5001,600.0,0.0,1.0
1999-10-27,10.875,10.875,10.75,10.75,6.3524,2400.0,0.0,1.0
1999-10-28,11.0,11.2188,11.0,11.2188,6.6294,4200.0,0.0,1.0
1999-10-29,11.0,11.0,10.75,10.75,6.3524,9800.0,0.0,1.0
1999-11-01,11.0625,11.0625,10.75,11.0313,6.5186,3200.0,0.0,1.0
1999-11-02,11.0313,11.0313,11.0313,11.0313,6.5186,1200.0,0.0,1.0
1999-11-03,11.0313,11.0313,11.0313,11.0313,6.5186,200.0,0.0,1.0
1999-11-04,11.0313,11.0313,11.0313,11.0313,6.5186,2000.0,0.0,1.0
1999-11-05,11.0,11.0,10.75,11.0,6.5001,7600.0,0.0,1.0
1999-11-08,11.0,11.0,11.0,11.0,6.5001,0.0,0.0,1.0
1999-11-09,10.75,10.75,10.75,10.75,6.3524,1400.0,0.0,1.0
1999-11-10,10.8125,11.0,10.75,10.75,6.3524,2400.0,0.0,1.0
1999-11-11,10.75,10.75,10.75,10.75,6.3524,800.0,0.0,1.0
1999-11-12,10.75,10.75,10.75,10.75,6.3524,0.0,0.0,1.0
1999-11-15,10.75,10.875,10.75,10.875,6.4263,1800.0,0.0,1.0
1999-11-16,10.75,10.875,10.75,10.875,6.4263,3000.0,0.0,1.0
1999-11-17,10.875,10.875,10.875,10.875,6.4263,1000.0,0.0,1.0
1999-11-18,10.8125,10.875,10.75,10.8125,6.3893,12600.0,0.0,1.0
1999-11-19,10.875,10.875,10.75,10.75,6.3524,1200.0,0.0,1.0
1999-11-22,10.75,10.75,10.75,10.75,6.3524,2200.0,0.0,1.0
1999-11-23,10.8125,10.8125,10.8125,10.8125,6.3893,200.0,0.0,1.0
1999-11-24,10.7813,10.875,10.75,10.75,6.3524,7200.0,0.0,1.0
1999-11-26,10.75,10.75,10.75,10.75,6.3524,0.0,0.0,1.0
1999-11-29,10.75,10.75,10.75,10.75,6.3524,1800.0,0.0,1.0
1999-11-30,10.75,10.75,10.75,10.75,6.3524,10200.0,0.0,1.0
1999-12-01,10.75,10.8438,10.75,10.75,6.3524,6000.0,0.0,1.0
1999-12-02,10.875,10.875,10.75,10.75,6.3524,33600.0,0.0,1.0
1999-12-03,10.8438,10.875,10.8438,10.8594,6.417,2800.0,0.0,1.0
1999-12-06,10.9063,10.9531,10.8125,10.8125,6.3893,7800.0,0.0,1.0
1999-12-07,10.8125,11.0,10.8125,10.875,6.4263,24800.0,0.0,1.0
1999-12-08,10.8438,10.8438,10.8438,10.8438,6.4078,3400.0,0.0,1.0
1999-12-09,10.8125,10.875,10.8125,10.875,6.4263,5600.0,0.0,1.0
1999-12-10,10.875,10.875,10.875,10.875,6.4263,4600.0,0.0,1.0
1999-12-13,10.8438,10.9063,10.8438,10.9063,6.4447,8200.0,0.0,1.0
1999-12-14,10.9219,10.9375,10.9063,10.9063,6.4447,6600.0,0.0,1.0
1999-12-15,10.9375,11.0,10.875,10.9375,6.4632,16400.0,0.0,1.0
1999-12-16,10.9688,11.0,10.9375,11.0,6.5001,29800.0,0.0,1.0
1999-12-17,11.2031,11.2031,11.0625,11.1875,6.6109,60600.0,0.0,1.0
1999-12-20,11.25,11.375,11.25,11.25,6.6478,5400.0,0.0,1.0
1999-12-21,11.25,11.25,11.25,11.25,6.6478,4000.0,0.0,1.0
1999-12-22,11.25,11.25,11.0,11.0625,6.537,10800.0,0.0,1.0
1999-12-23,11.0,11.0938,11.0,11.0,6.5001,10600.0,0.0,1.0
