date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-04-28,8.13,8.13,6.24,6.25,5.665,258300.0,0.0,1.0
2016-04-29,6.39,6.45,6.3,6.4,5.8009,24600.0,0.0,1.0
2016-05-02,6.45,6.45,6.25,6.37,5.7737,33300.0,0.0,1.0
2016-05-03,6.4,6.59,6.25,6.39,5.7919,53700.0,0.0,1.0
2016-05-04,6.56,6.57,6.23,6.49,5.8825,72300.0,0.0,1.0
2016-05-05,6.58,7.1,6.53,7.0,6.3448,107600.0,0.0,1.0
2016-05-06,7.1,7.32,6.901,7.04,6.381,72700.0,0.0,1.0
2016-05-09,7.19,7.25,7.02,7.2,6.5261,89000.0,0.0,1.0
2016-05-10,7.25,7.25,7.0,7.1,6.4354,33600.0,0.0,1.0
2016-05-11,7.24,7.24,6.85,7.05,6.3901,89200.0,0.0,1.0
2016-05-12,7.0,7.12,7.0,7.12,6.4535,44700.0,0.0,1.0
2016-05-13,7.1,7.12,6.9,7.1,6.4535,87300.0,0.02,1.0
2016-05-16,7.26,7.35,6.94,7.35,6.6808,17600.0,0.0,1.0
2016-05-17,7.0,7.27,6.96,7.27,6.6081,21000.0,0.0,1.0
2016-05-18,7.22,7.5,7.002,7.5,6.8171,7000.0,0.0,1.0
2016-05-19,7.5,7.5,7.11,7.18,6.5263,7600.0,0.0,1.0
2016-05-20,7.23,7.5,7.2,7.5,6.8171,6100.0,0.0,1.0
2016-05-23,7.41,7.75,7.36,7.44,6.7626,50800.0,0.0,1.0
2016-05-24,7.58,7.66,7.25,7.46,6.7808,12500.0,0.0,1.0
2016-05-25,7.45,7.45,7.17,7.29,6.6262,20400.0,0.0,1.0
2016-05-26,7.07,7.45,7.07,7.45,6.7717,19600.0,0.0,1.0
2016-05-27,7.45,7.45,6.99,7.26,6.599,20300.0,0.0,1.0
2016-05-31,7.27,7.35,6.97,7.35,6.6808,4200.0,0.0,1.0
2016-06-01,7.02,7.2,7.02,7.08,6.4354,6500.0,0.0,1.0
2016-06-02,7.16,7.16,7.07,7.15,6.499,2900.0,0.0,1.0
2016-06-03,7.36,7.4,7.12,7.4,6.7262,6800.0,0.0,1.0
2016-06-06,7.04,7.2,7.04,7.15,6.499,19700.0,0.0,1.0
2016-06-07,7.11,7.2,7.09,7.14,6.4899,4700.0,0.0,1.0
