date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,2.6875,2.6875,2.5625,2.6875,2.6233,4500.0,0.0,1.0
1999-08-10,2.625,2.6875,2.5625,2.6875,2.6233,15500.0,0.0,1.0
1999-08-11,2.625,2.75,2.5625,2.6875,2.6233,337500.0,0.0,1.0
1999-08-12,2.5625,2.5625,2.5,2.5625,2.5013,43800.0,0.0,1.0
1999-08-13,2.5,2.5625,2.5,2.5625,2.5013,28300.0,0.0,1.0
1999-08-16,2.5,2.625,2.5,2.625,2.5623,24900.0,0.0,1.0
1999-08-17,2.5625,2.5625,2.5,2.5,2.4403,12300.0,0.0,1.0
1999-08-18,2.375,2.5,2.375,2.5,2.4403,26700.0,0.0,1.0
1999-08-19,2.375,2.4375,2.375,2.375,2.3183,16700.0,0.0,1.0
1999-08-20,2.375,2.375,2.3125,2.3125,2.2573,46800.0,0.0,1.0
1999-08-23,2.3125,2.375,2.25,2.25,2.1963,51600.0,0.0,1.0
1999-08-24,2.3125,2.3125,2.25,2.25,2.1963,25700.0,0.0,1.0
1999-08-25,2.25,2.25,2.1875,2.1875,2.1353,20100.0,0.0,1.0
1999-08-26,2.375,2.5,2.375,2.4375,2.3793,67500.0,0.0,1.0
1999-08-27,2.5,2.5625,2.4375,2.4375,2.3793,52200.0,0.0,1.0
1999-08-30,2.5,2.5,2.4375,2.4375,2.3793,3600.0,0.0,1.0
1999-08-31,2.5,2.5,2.25,2.5,2.4403,396900.0,0.0,1.0
1999-09-01,2.4375,2.5,2.375,2.375,2.3183,11700.0,0.0,1.0
1999-09-02,2.375,2.4375,2.375,2.4375,2.3793,32500.0,0.0,1.0
1999-09-03,2.5,2.5,2.375,2.4375,2.3793,14300.0,0.0,1.0
1999-09-07,2.375,2.4375,2.375,2.375,2.3183,10700.0,0.0,1.0
1999-09-08,2.375,2.4375,2.375,2.375,2.3183,3100.0,0.0,1.0
1999-09-09,2.4375,2.4375,2.375,2.375,2.3183,4800.0,0.0,1.0
1999-09-10,2.4375,2.4375,2.375,2.4375,2.3793,6400.0,0.0,1.0
1999-09-13,2.4375,2.4375,2.375,2.4375,2.3793,14900.0,0.0,1.0
1999-09-14,2.4375,2.4375,2.4375,2.4375,2.3793,9900.0,0.0,1.0
1999-09-15,2.375,2.375,2.3125,2.3125,2.2573,10000.0,0.0,1.0
1999-09-16,2.375,2.4375,2.3125,2.4375,2.3793,45800.0,0.0,1.0
1999-09-17,2.4375,2.4375,2.3438,2.375,2.3183,16500.0,0.0,1.0
1999-09-20,2.4375,2.4375,2.375,2.4375,2.3793,7900.0,0.0,1.0
1999-09-21,2.375,2.375,2.25,2.3125,2.2573,13800.0,0.0,1.0
1999-09-22,2.25,2.3125,2.1875,2.3125,2.2573,55000.0,0.0,1.0
1999-09-23,2.3125,2.375,2.25,2.375,2.3183,43000.0,0.0,1.0
1999-09-24,2.3125,2.375,2.3125,2.375,2.3183,9600.0,0.0,1.0
1999-09-27,2.3125,2.375,2.25,2.25,2.1963,15000.0,0.0,1.0
1999-09-28,2.25,2.25,2.1875,2.1875,2.1353,9300.0,0.0,1.0
1999-09-29,2.25,2.25,2.1875,2.25,2.1963,28700.0,0.0,1.0
1999-09-30,2.1875,2.3125,2.1875,2.3125,2.2573,18700.0,0.0,1.0
1999-10-01,2.25,2.25,2.1875,2.25,2.1963,20900.0,0.0,1.0
1999-10-04,2.375,2.375,2.1875,2.1875,2.1353,34600.0,0.0,1.0
1999-10-05,2.25,2.25,2.125,2.25,2.1963,14700.0,0.0,1.0
1999-10-06,2.3125,2.3125,2.1875,2.25,2.1963,35200.0,0.0,1.0
1999-10-07,2.1875,2.25,2.1875,2.1875,2.1353,20100.0,0.0,1.0
1999-10-08,2.1875,2.3125,2.125,2.25,2.1963,73800.0,0.0,1.0
1999-10-11,2.25,2.25,2.125,2.1875,2.1353,33400.0,0.0,1.0
1999-10-12,2.25,2.25,2.0625,2.125,2.0742,51400.0,0.0,1.0
1999-10-13,2.1875,2.1875,2.0625,2.125,2.0742,9300.0,0.0,1.0
1999-10-14,2.1875,2.25,2.0,2.1875,2.1353,33200.0,0.0,1.0
1999-10-15,2.125,2.125,2.125,2.125,2.0742,2600.0,0.0,1.0
1999-10-18,2.25,2.25,2.125,2.125,2.0742,5600.0,0.0,1.0
