date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,26.375,26.5,25.5,25.625,16.3932,460700.0,0.0,1.0
1999-08-10,25.25,25.25,24.125,24.625,15.7535,835400.0,0.0,1.0
1999-08-11,24.625,25.4375,24.625,25.25,16.1533,829200.0,0.0,1.0
1999-08-12,25.5,25.9375,25.0,25.5625,16.3533,463000.0,0.0,1.0
1999-08-13,27.0,27.1875,26.625,26.875,17.1929,1081300.0,0.0,1.0
1999-08-16,27.0,27.125,26.75,26.8125,17.1529,653100.0,0.0,1.0
1999-08-17,26.9375,27.0,26.625,26.6875,17.073,399800.0,0.0,1.0
1999-08-18,26.6875,26.6875,25.75,25.9375,16.5931,905100.0,0.0,1.0
1999-08-19,25.8125,25.875,25.5,25.5,16.3133,419700.0,0.0,1.0
1999-08-20,25.75,26.25,25.625,26.0,16.6331,305000.0,0.0,1.0
1999-08-23,26.0,26.25,25.6875,25.8125,16.5132,726500.0,0.0,1.0
1999-08-24,25.9375,25.9375,25.125,25.375,16.2333,476700.0,0.0,1.0
1999-08-25,26.0,26.5,25.625,26.5,16.953,605600.0,0.0,1.0
1999-08-26,26.5,27.375,26.5,26.75,17.1129,745200.0,0.0,1.0
1999-08-27,26.75,26.8125,25.6875,26.0,16.6331,292300.0,0.0,1.0
1999-08-30,25.25,25.6875,25.0625,25.1875,16.1134,388800.0,0.0,1.0
1999-08-31,25.1875,25.25,24.3125,24.4375,15.6335,966900.0,0.0,1.0
1999-09-01,24.5,24.625,23.75,24.5625,15.7135,499600.0,0.0,1.0
1999-09-02,24.5625,24.75,23.875,24.5625,15.7135,430600.0,0.0,1.0
1999-09-03,24.5625,25.25,24.5,24.9375,15.9534,736100.0,0.0,1.0
1999-09-07,25.125,25.75,25.125,25.25,16.1533,583700.0,0.0,1.0
1999-09-08,25.125,25.25,24.8125,24.8125,15.8735,404600.0,0.0,1.0
1999-09-09,25.875,26.375,24.0625,24.5,15.6735,1877900.0,0.0,1.0
1999-09-10,24.75,25.0625,24.625,24.8125,15.8735,2091800.0,0.0,1.0
1999-09-13,24.75,24.8125,24.125,24.25,15.5136,785500.0,0.0,1.0
1999-09-14,24.25,24.6875,23.875,23.9375,15.3137,568700.0,0.0,1.0
1999-09-15,24.4375,24.5,23.1875,23.1875,14.8339,804500.0,0.0,1.0
1999-09-16,23.375,24.0,22.625,22.6875,14.514,1042000.0,0.0,1.0
1999-09-17,22.875,23.1875,22.625,22.625,14.474,1165600.0,0.0,1.0
1999-09-20,22.75,23.0,22.6875,22.8125,14.594,499900.0,0.0,1.0
1999-09-21,22.5625,22.875,22.1875,22.1875,14.1941,1085300.0,0.0,1.0
1999-09-22,22.375,23.25,21.9375,22.25,14.2341,819400.0,0.0,1.0
1999-09-23,22.375,22.75,22.125,22.375,14.3141,890800.0,0.0,1.0
1999-09-24,22.4375,23.4375,22.375,22.8125,14.594,763800.0,0.0,1.0
1999-09-27,22.8125,23.0625,22.3125,22.3125,14.2741,416900.0,0.0,1.0
1999-09-28,22.0625,22.3125,21.5,21.875,13.9942,1012100.0,0.0,1.0
1999-09-29,21.9375,22.3125,21.875,22.0625,14.1142,808900.0,0.0,1.0
1999-09-30,22.125,22.25,21.4375,21.5,13.7543,823600.0,0.0,1.0
1999-10-01,21.75,22.25,21.25,22.0625,14.1142,1321200.0,0.0,1.0
1999-10-04,20.75,21.375,19.0,20.3125,12.9946,3099600.0,0.0,1.0
1999-10-05,20.875,21.75,20.75,21.375,13.6743,2167600.0,0.0,1.0
1999-10-06,23.0,23.0,21.5625,21.875,13.9942,1203200.0,0.0,1.0
1999-10-07,21.875,21.9375,20.875,21.0,13.4345,939400.0,0.0,1.0
1999-10-08,21.0,21.125,20.125,20.1875,12.9147,1445300.0,0.0,1.0
1999-10-11,20.5625,22.0625,20.5625,21.9375,14.0342,841600.0,0.0,1.0
1999-10-12,22.1875,22.5,21.6875,21.875,13.9942,973300.0,0.0,1.0
1999-10-13,21.625,21.9375,20.875,20.9375,13.3945,1054000.0,0.0,1.0
1999-10-14,20.9375,21.0,18.25,19.25,12.3149,4661200.0,0.0,1.0
1999-10-15,19.0,19.0,17.875,18.5625,11.8751,3883900.0,0.0,1.0
1999-10-18,18.8125,19.0625,18.5,19.0,12.155,1532200.0,0.0,1.0
1999-10-19,19.0,19.625,18.75,18.8125,12.035,1578400.0,0.0,1.0
1999-10-20,18.875,19.375,18.75,18.9375,12.115,1116700.0,0.0,1.0
1999-10-21,18.9375,19.0625,18.125,18.1875,11.6352,1804500.0,0.0,1.0
1999-10-22,18.3125,18.625,18.125,18.5,11.8351,1174300.0,0.0,1.0
1999-10-25,18.5,19.0,18.125,18.625,11.9151,1159100.0,0.0,1.0
1999-10-26,19.0625,19.375,18.5,18.5625,11.8751,1170800.0,0.0,1.0
1999-10-27,18.5625,19.375,18.5625,19.25,12.3149,1348600.0,0.0,1.0
1999-10-28,19.375,21.875,19.3125,21.0,13.4765,2439300.0,0.06,1.0
1999-10-29,22.0,22.75,20.4375,20.625,13.2358,2069100.0,0.0,1.0
1999-11-01,20.6875,21.25,20.3125,20.375,13.0754,687500.0,0.0,1.0
1999-11-02,20.4375,21.0,20.375,20.5625,13.1957,713000.0,0.0,1.0
1999-11-03,20.625,21.9375,20.5625,21.5,13.7973,2376800.0,0.0,1.0
1999-11-04,22.0,22.0625,21.5625,21.9375,14.0781,851000.0,0.0,1.0
1999-11-05,22.25,23.4375,22.25,23.0625,14.8,1674900.0,0.0,1.0
1999-11-08,23.125,23.3125,21.9375,22.4375,14.399,1271300.0,0.0,1.0
1999-11-09,23.0,23.375,21.75,22.0,14.1182,1173200.0,0.0,1.0
1999-11-10,22.0,22.375,22.0,22.1875,14.2385,863700.0,0.0,1.0
