date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-06-26,26.2,26.22,26.2,26.22,22.722,500.0,0.3673,1.0
2017-06-27,26.165,26.237,26.165,26.21,22.7133,1800.0,0.3673,1.0
2017-06-28,26.035,26.07,25.981,25.981,22.8348,5400.0,0.3673,1.0
2017-06-29,25.95,26.14,25.95,26.11,22.9482,13900.0,0.0,1.0
2017-06-30,25.89,26.25,25.89,26.122,22.9587,3900.0,0.0,1.0
2017-07-03,26.106,26.4,25.94,26.4,23.2031,1100.0,0.0,1.0
2017-07-05,26.228,26.39,26.228,26.39,23.1943,500.0,0.0,1.0
2017-07-06,26.08,26.25,26.08,26.24,23.0625,1900.0,0.0,1.0
2017-07-07,26.24,26.24,26.05,26.05,22.8955,800.0,0.0,1.0
2017-07-10,26.0,26.0,25.77,25.9,22.7636,2500.0,0.0,1.0
2017-07-11,25.95,25.95,25.95,25.95,22.8076,500.0,0.0,1.0
2017-07-12,26.022,26.022,26.022,26.022,22.8708,400.0,0.0,1.0
2017-07-13,25.72,25.94,25.72,25.9,22.7636,700.0,0.0,1.0
2017-07-14,26.09,26.16,26.06,26.16,22.9921,1900.0,0.0,1.0
2017-07-17,26.34,26.34,25.97,26.34,23.1503,900.0,0.0,1.0
2017-07-18,26.2,26.34,26.2,26.21,23.0361,600.0,0.0,1.0
2017-07-19,26.38,26.38,26.118,26.276,23.0941,3300.0,0.0,1.0
2017-07-20,26.38,26.38,26.15,26.15,22.9833,2100.0,0.0,1.0
2017-07-21,26.15,26.15,26.15,26.15,22.9833,0.0,0.0,1.0
2017-07-24,26.151,26.151,26.151,26.151,22.9842,500.0,0.0,1.0
2017-07-25,26.16,26.16,26.16,26.16,22.9921,800.0,0.0,1.0
2017-07-26,26.41,26.41,26.2,26.2,23.0273,1500.0,0.0,1.0
2017-07-27,26.03,26.128,26.03,26.128,22.964,2000.0,0.0,1.0
2017-07-28,26.03,26.1,26.03,26.1,22.9394,5700.0,0.0,1.0
2017-07-31,26.322,26.322,26.322,26.322,23.1345,100.0,0.0,1.0
2017-08-01,26.16,26.39,26.11,26.39,23.1943,1200.0,0.0,1.0
2017-08-02,26.35,26.43,26.35,26.43,23.2294,9100.0,0.0,1.0
2017-08-03,26.43,26.43,26.051,26.11,22.9482,5600.0,0.0,1.0
2017-08-04,26.05,26.1,25.87,26.1,22.9394,1200.0,0.0,1.0
2017-08-07,26.02,26.39,25.881,25.957,22.8137,3800.0,0.0,1.0
2017-08-08,25.9,25.9,25.9,25.9,22.7636,1000.0,0.0,1.0
2017-08-09,25.88,26.11,25.83,25.9,22.7636,1400.0,0.0,1.0
2017-08-10,25.9,25.99,25.82,25.99,22.8427,3700.0,0.0,1.0
2017-08-11,25.99,25.99,25.99,25.99,22.8427,0.0,0.0,1.0
2017-08-14,25.73,26.0,25.73,25.76,22.6406,5000.0,0.0,1.0
2017-08-15,25.985,25.99,25.761,25.8,22.6757,3700.0,0.0,1.0
2017-08-16,25.97,25.97,25.97,25.97,22.8251,600.0,0.0,1.0
2017-08-17,25.839,25.902,25.839,25.9,22.7636,1800.0,0.0,1.0
2017-08-18,25.81,25.924,25.8,25.85,22.7197,6500.0,0.0,1.0
2017-08-21,25.85,25.85,25.85,25.85,22.7197,0.0,0.0,1.0
2017-08-22,25.85,25.85,25.85,25.85,22.7197,100.0,0.0,1.0
2017-08-23,25.85,25.86,25.85,25.86,22.7285,1400.0,0.0,1.0
2017-08-24,25.866,25.866,25.866,25.866,22.7337,100.0,0.0,1.0
2017-08-25,25.997,25.997,25.85,25.85,22.7197,2600.0,0.0,1.0
2017-08-28,26.059,26.059,26.034,26.034,22.8814,600.0,0.0,1.0
2017-08-29,25.863,25.9,25.85,25.892,22.7566,2900.0,0.0,1.0
2017-08-30,25.82,26.0,25.8,26.0,22.8515,4100.0,0.0,1.0
2017-08-31,25.982,26.05,25.83,26.05,22.8955,2100.0,0.0,1.0
2017-09-01,26.04,26.04,26.04,26.04,22.8867,300.0,0.0,1.0
2017-09-05,26.04,26.04,26.04,26.04,22.8867,0.0,0.0,1.0
2017-09-06,25.854,25.854,25.854,25.854,22.7232,200.0,0.0,1.0
2017-09-07,25.85,25.85,25.85,25.85,22.7197,300.0,0.0,1.0
2017-09-08,25.8,25.915,25.8,25.8,22.6757,800.0,0.0,1.0
2017-09-11,25.826,25.9,25.826,25.9,22.7636,1800.0,0.0,1.0
2017-09-12,25.95,25.97,25.95,25.95,22.8076,1900.0,0.0,1.0
2017-09-13,25.88,25.883,25.8,25.883,22.7487,4300.0,0.0,1.0
2017-09-14,25.877,25.877,25.54,25.59,22.4912,4300.0,0.0,1.0
2017-09-15,25.629,25.785,25.57,25.785,22.6625,3200.0,0.0,1.0
2017-09-18,25.61,25.8,25.61,25.8,22.6757,1200.0,0.0,1.0
2017-09-19,25.78,25.9,25.64,25.64,22.5351,10200.0,0.0,1.0
2017-09-20,25.898,25.898,25.898,25.898,22.7619,700.0,0.0,1.0
2017-09-21,25.898,25.9,25.836,25.838,22.7091,2900.0,0.0,1.0
2017-09-22,25.838,25.838,25.838,25.838,22.7091,0.0,0.0,1.0
2017-09-25,25.9,25.9,25.85,25.87,22.7373,500.0,0.0,1.0
2017-09-26,25.75,25.9,25.75,25.9,22.7636,2400.0,0.0,1.0
2017-09-27,25.79,25.9,25.71,25.9,22.7636,4100.0,0.0,1.0
2017-09-28,25.505,25.74,25.505,25.74,22.9484,3000.0,0.3673,1.0
2017-09-29,25.739,25.739,25.41,25.668,22.8842,600.0,0.0,1.0
2017-10-02,25.697,25.697,25.61,25.61,22.8325,1300.0,0.0,1.0
2017-10-03,25.61,25.74,25.61,25.74,22.9484,3300.0,0.0,1.0
2017-10-04,25.73,25.9,25.73,25.9,23.091,4100.0,0.0,1.0
2017-10-05,25.7,25.7,25.7,25.7,22.9127,200.0,0.0,1.0
2017-10-06,25.75,25.75,25.692,25.692,22.9056,2500.0,0.0,1.0
2017-10-09,25.702,25.94,25.65,25.779,22.9832,5300.0,0.0,1.0
2017-10-10,25.779,25.779,25.779,25.779,22.9832,0.0,0.0,1.0
2017-10-11,25.65,25.74,25.65,25.74,22.9484,900.0,0.0,1.0
2017-10-12,25.766,25.766,25.766,25.766,22.9716,300.0,0.0,1.0
2017-10-13,25.72,25.81,25.72,25.746,22.9537,1400.0,0.0,1.0
2017-10-16,25.87,25.87,25.65,25.843,23.0402,3200.0,0.0,1.0
2017-10-17,25.8,25.8,25.68,25.68,22.8949,2300.0,0.0,1.0
2017-10-18,25.65,25.8,25.65,25.799,23.001,3600.0,0.0,1.0
2017-10-19,25.759,25.799,25.66,25.755,22.9618,1900.0,0.0,1.0
2017-10-20,25.684,25.8,25.684,25.724,22.9341,1900.0,0.0,1.0
2017-10-23,25.72,25.746,25.65,25.65,22.8682,1200.0,0.0,1.0
2017-10-24,25.665,25.771,25.65,25.65,22.8682,4800.0,0.0,1.0
2017-10-25,25.7,25.722,25.56,25.67,22.886,3000.0,0.0,1.0
2017-10-26,25.691,25.691,25.691,25.691,22.9047,700.0,0.0,1.0
2017-10-27,25.648,25.765,25.555,25.555,22.7835,5200.0,0.0,1.0
2017-10-30,25.555,25.555,25.555,25.555,22.7835,0.0,0.0,1.0
2017-10-31,25.6,25.89,25.6,25.87,23.0643,6200.0,0.0,1.0
2017-11-01,25.7,25.7,25.7,25.7,22.9127,400.0,0.0,1.0
2017-11-02,25.607,25.89,25.566,25.89,23.0821,3500.0,0.0,1.0
2017-11-03,25.89,25.89,25.72,25.72,22.9306,500.0,0.0,1.0
2017-11-06,25.887,25.887,25.61,25.61,22.8325,700.0,0.0,1.0
2017-11-07,25.839,25.89,25.714,25.89,23.0821,3100.0,0.0,1.0
2017-11-08,25.847,25.89,25.847,25.89,23.0821,800.0,0.0,1.0
2017-11-09,25.89,26.06,25.89,25.96,23.1445,4200.0,0.0,1.0
2017-11-10,26.05,26.05,25.83,25.83,23.0286,1500.0,0.0,1.0
2017-11-13,26.028,26.028,25.84,25.84,23.0375,2400.0,0.0,1.0
2017-11-14,26.02,26.03,25.756,26.03,23.2069,7500.0,0.0,1.0
2017-11-15,26.03,26.03,25.959,25.96,23.1445,1200.0,0.0,1.0
2017-11-16,26.04,26.09,25.93,26.09,23.2604,500.0,0.0,1.0
2017-11-17,26.057,26.1,26.048,26.049,23.2239,3700.0,0.0,1.0
2017-11-20,26.071,26.26,26.07,26.15,23.3139,7100.0,0.0,1.0
2017-11-21,26.339,26.35,26.25,26.35,23.4922,4200.0,0.0,1.0
2017-11-22,26.359,26.4,26.25,26.4,23.5368,7900.0,0.0,1.0
2017-11-24,26.4,26.45,26.4,26.45,23.5814,1400.0,0.0,1.0
2017-11-27,26.26,26.44,26.26,26.31,23.4566,3800.0,0.0,1.0
2017-11-28,26.43,26.6,26.31,26.38,23.519,4300.0,0.0,1.0
2017-11-29,26.45,26.577,26.31,26.5,23.626,5500.0,0.0,1.0
2017-11-30,26.486,26.537,26.34,26.465,23.5948,6400.0,0.0,1.0
2017-12-01,26.334,26.525,26.334,26.521,23.6447,2400.0,0.0,1.0
2017-12-04,26.59,26.69,26.478,26.69,23.7954,5400.0,0.0,1.0
2017-12-05,26.686,26.757,26.341,26.757,23.8551,4000.0,0.0,1.0
2017-12-06,26.491,26.79,26.491,26.79,23.8845,2500.0,0.0,1.0
2017-12-07,26.39,26.849,26.39,26.54,23.6616,4300.0,0.0,1.0
2017-12-08,26.65,26.696,26.505,26.505,23.6304,4800.0,0.0,1.0
2017-12-11,26.34,26.845,26.3,26.341,23.4842,11800.0,0.0,1.0
2017-12-12,26.34,26.34,26.34,26.34,23.4833,600.0,0.0,1.0
2017-12-13,26.496,26.496,26.34,26.416,23.5511,1400.0,0.0,1.0
2017-12-14,26.27,26.597,26.27,26.597,23.7125,700.0,0.0,1.0
2017-12-15,26.795,26.795,26.343,26.343,23.486,3100.0,0.0,1.0
2017-12-18,26.493,26.596,26.33,26.34,23.4833,2600.0,0.0,1.0
2017-12-19,26.39,26.39,26.39,26.39,23.5279,1100.0,0.0,1.0
2017-12-20,26.27,26.694,26.27,26.694,23.7989,2100.0,0.0,1.0
2017-12-21,26.401,26.725,26.308,26.5,23.626,2100.0,0.0,1.0
2017-12-22,26.3,26.718,26.3,26.349,23.4913,3800.0,0.0,1.0
2017-12-26,26.658,26.658,26.5,26.5,23.626,700.0,0.0,1.0
2017-12-27,26.649,26.649,26.469,26.54,23.6616,2700.0,0.0,1.0
2017-12-28,26.4,26.498,26.35,26.36,23.8309,2500.0,0.3673,1.0
2017-12-29,26.29,26.29,26.001,26.034,23.5362,3100.0,0.0,1.0
2018-01-02,25.96,26.185,25.67,25.75,23.2794,7000.0,0.0,1.0
2018-01-03,26.05,26.13,25.8,25.87,23.3879,6500.0,0.0,1.0
2018-01-04,25.83,25.83,25.75,25.78,23.3066,2000.0,0.0,1.0
2018-01-05,25.849,25.849,25.601,25.601,23.1447,3200.0,0.0,1.0
2018-01-08,25.61,25.68,25.56,25.61,23.1529,1300.0,0.0,1.0
2018-01-09,25.89,25.89,25.625,25.76,23.2885,900.0,0.0,1.0
2018-01-10,25.83,26.034,25.81,26.008,23.5127,2100.0,0.0,1.0
2018-01-11,25.903,26.0,25.85,25.85,23.3698,1900.0,0.0,1.0
2018-01-12,25.75,26.112,25.75,26.047,23.5479,3200.0,0.0,1.0
2018-01-16,26.09,26.09,25.77,25.77,23.2975,700.0,0.0,1.0
2018-01-17,25.78,26.1,25.77,25.83,23.3518,3800.0,0.0,1.0
2018-01-18,25.788,25.788,25.645,25.645,23.1845,800.0,0.0,1.0
2018-01-19,25.56,25.96,25.5,25.722,23.2541,3400.0,0.0,1.0
2018-01-22,25.684,25.708,25.52,25.52,23.0715,4700.0,0.0,1.0
2018-01-23,25.52,25.708,25.52,25.7,23.2342,2700.0,0.0,1.0
2018-01-24,25.65,25.7,25.51,25.51,23.0625,2900.0,0.0,1.0
2018-01-25,25.51,25.51,25.351,25.351,22.9187,2100.0,0.0,1.0
2018-01-26,25.51,25.708,25.18,25.275,22.85,7600.0,0.0,1.0
2018-01-29,25.27,25.37,25.1,25.15,22.737,12500.0,0.0,1.0
2018-01-30,25.278,25.278,25.01,25.2,22.7822,7500.0,0.0,1.0
2018-01-31,25.11,25.55,25.11,25.45,23.0082,8500.0,0.0,1.0
2018-02-01,25.14,25.486,25.14,25.25,22.8274,4500.0,0.0,1.0
2018-02-02,25.1,25.238,25.0,25.01,22.6104,8900.0,0.0,1.0
2018-02-05,25.188,25.41,24.76,25.3,22.8726,10200.0,0.0,1.0
2018-02-06,25.3,25.3,24.98,25.2,22.7822,10000.0,0.0,1.0
2018-02-07,25.295,25.47,25.174,25.45,23.0082,30600.0,0.0,1.0
2018-02-08,25.446,25.446,25.4,25.43,22.9901,1800.0,0.0,1.0
2018-02-09,25.43,25.43,25.132,25.32,22.8907,4900.0,0.0,1.0
2018-02-12,25.05,25.21,25.0,25.0,22.6014,10500.0,0.0,1.0
2018-02-13,25.2,25.36,25.02,25.36,22.9269,7000.0,0.0,1.0
2018-02-14,25.09,25.232,25.08,25.232,22.8111,4400.0,0.0,1.0
2018-02-15,25.21,25.216,25.0,25.216,22.7967,109800.0,0.0,1.0
2018-02-16,25.1,25.1,25.05,25.05,22.6466,4500.0,0.0,1.0
2018-02-20,25.05,25.22,25.0,25.02,22.6195,13500.0,0.0,1.0
2018-02-21,25.09,25.2,25.061,25.2,22.7822,4900.0,0.0,1.0
