date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-25,37.37,40.5,36.29,39.17,39.17,6080400.0,0.0,1.0
2019-07-26,39.14,39.48,37.2,38.3,38.3,1312700.0,0.0,1.0
2019-07-29,38.25,41.56,37.82,41.42,41.42,744500.0,0.0,1.0
2019-07-30,41.42,44.0,40.631,43.37,43.37,569200.0,0.0,1.0
2019-07-31,43.33,45.94,42.01,44.25,44.25,1124700.0,0.0,1.0
2019-08-01,44.16,45.5,42.0,44.43,44.43,328700.0,0.0,1.0
2019-08-02,45.15,45.185,39.801,40.54,40.54,505900.0,0.0,1.0
2019-08-05,39.58,39.93,37.51,38.44,38.44,656200.0,0.0,1.0
2019-08-06,39.0,40.957,38.59,38.77,38.77,384100.0,0.0,1.0
2019-08-07,38.47,40.89,37.15,40.44,40.44,271200.0,0.0,1.0
2019-08-08,40.27,43.5,39.81,42.85,42.85,241162.0,0.0,1.0
2019-08-09,44.87,46.7397,44.75,45.91,45.91,753664.0,0.0,1.0
