date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-01-31,20.31,23.33,20.25,23.1,11.8118,10435500.0,0.0,1.0
2006-02-01,23.1,23.48,22.61,23.3,11.914,1572000.0,0.0,1.0
2006-02-02,23.24,23.48,22.2,23.0,11.7606,524100.0,0.0,1.0
2006-02-03,23.0,23.38,22.61,22.96,11.7402,446700.0,0.0,1.0
2006-02-06,23.2,23.4,22.75,23.4,11.9652,540200.0,0.0,1.0
2006-02-07,23.4,24.75,23.28,23.49,12.0112,504000.0,0.0,1.0
2006-02-08,23.8,24.18,22.96,23.89,12.2157,205300.0,0.0,1.0
2006-02-09,24.04,24.3,23.8,24.06,12.3026,219600.0,0.0,1.0
2006-02-10,23.87,24.6,23.66,24.23,12.3896,359400.0,0.0,1.0
2006-02-13,24.11,25.35,22.45,23.1,11.8118,243500.0,0.0,1.0
2006-02-14,22.41,23.75,22.41,23.44,11.9856,317600.0,0.0,1.0
2006-02-15,23.26,24.0,23.1,23.56,12.047,469300.0,0.0,1.0
2006-02-16,23.98,25.41,23.82,25.1,12.8344,156000.0,0.0,1.0
2006-02-17,25.08,25.1,24.37,25.0,12.7833,167700.0,0.0,1.0
2006-02-21,25.0,25.22,24.59,24.75,12.6555,60600.0,0.0,1.0
2006-02-22,24.6,25.75,24.6,24.6,12.5788,186300.0,0.0,1.0
2006-02-23,24.85,25.31,24.5,24.75,12.6555,122400.0,0.0,1.0
2006-02-24,25.03,25.29,24.65,24.8,12.681,168000.0,0.0,1.0
2006-02-27,24.95,25.2,24.5,25.1,12.8344,247300.0,0.0,1.0
2006-02-28,25.23,25.38,24.88,25.08,12.8242,153200.0,0.0,1.0
2006-03-01,24.94,25.37,24.94,25.37,12.9725,55400.0,0.0,1.0
2006-03-02,25.1,27.75,25.05,27.7,14.1639,215400.0,0.0,1.0
2006-03-03,27.69,27.85,26.57,27.22,13.9184,76900.0,0.0,1.0
2006-03-06,26.72,28.0,26.7,27.8,14.215,124400.0,0.0,1.0
2006-03-07,27.95,28.05,27.45,28.0,14.3173,188800.0,0.0,1.0
2006-03-08,28.0,28.1,27.03,27.35,13.9849,222900.0,0.0,1.0
2006-03-09,27.35,27.35,25.01,26.08,13.3355,418700.0,0.0,1.0
2006-03-10,26.15,27.3,25.89,26.94,13.7753,129500.0,0.0,1.0
2006-03-13,26.8,26.8,25.61,26.31,13.4531,365400.0,0.0,1.0
2006-03-14,26.18,26.75,25.77,26.36,13.4787,87500.0,0.0,1.0
2006-03-15,26.3,26.75,25.91,26.36,13.4787,112900.0,0.0,1.0
2006-03-16,26.53,27.0,26.03,26.24,13.4173,45400.0,0.0,1.0
2006-03-17,26.37,27.0,26.02,27.0,13.806,88100.0,0.0,1.0
2006-03-20,27.0,27.2,26.89,26.95,13.7804,165900.0,0.0,1.0
2006-03-21,27.09,27.5,26.8,27.15,13.8827,134800.0,0.0,1.0
2006-03-22,27.12,27.49,25.49,27.04,13.8264,249400.0,0.0,1.0
2006-03-23,26.86,27.5,26.86,27.3,13.9594,54700.0,0.0,1.0
2006-03-24,27.12,27.41,26.41,26.77,13.6883,68200.0,0.0,1.0
2006-03-27,26.68,27.5,26.49,26.74,13.673,69300.0,0.0,1.0
2006-03-28,27.0,28.86,26.71,27.99,14.3122,396100.0,0.0,1.0
2006-03-29,28.2,28.2,27.51,28.03,14.3326,227200.0,0.0,1.0
