date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-02-18,24.7,24.72,24.7,24.72,20.8707,5700.0,0.0,1.0
2014-02-19,24.72,24.72,24.72,24.72,20.8707,0.0,0.0,1.0
2014-02-20,24.63,24.64,24.63,24.64,20.8031,3300.0,0.0,1.0
2014-02-21,24.75,24.75,24.75,24.75,20.896,400.0,0.0,1.0
2014-02-24,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-02-25,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-02-26,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-02-27,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-02-28,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-03,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-04,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-05,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-06,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-07,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-10,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-11,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-12,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-13,24.75,24.75,24.75,24.75,20.896,0.0,0.0,1.0
2014-03-14,23.12,23.19,23.12,23.19,19.5789,1900.0,0.0,1.0
2014-03-17,23.43,23.52,23.43,23.52,19.8575,4000.0,0.0,1.0
2014-03-18,23.52,23.52,23.52,23.52,19.8575,0.0,0.0,1.0
2014-03-19,23.52,23.52,23.52,23.52,19.8575,0.0,0.0,1.0
2014-03-20,23.52,23.52,23.52,23.52,19.8575,0.0,0.0,1.0
2014-03-21,23.84,23.84,23.7,23.71,20.018,3700.0,0.0,1.0
2014-03-24,23.63,23.63,23.63,23.63,19.9504,1500.0,0.0,1.0
2014-03-25,23.63,23.63,23.63,23.63,19.9504,0.0,0.0,1.0
2014-03-26,23.63,23.63,23.63,23.63,19.9504,0.0,0.0,1.0
2014-03-27,23.63,23.63,23.63,23.63,19.9504,0.0,0.0,1.0
2014-03-28,24.45,24.5,24.43,24.44,20.6343,2900.0,0.0,1.0
2014-03-31,24.59,24.59,24.41,24.41,20.609,900.0,0.0,1.0
