date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-06-20,10.57,10.57,10.57,10.57,8.24,0.0,0.05,1.0
2007-06-21,10.45,10.45,10.1,10.1,7.8737,1300.0,0.06,1.0
2007-06-22,10.1,10.1,10.1,10.1,7.8737,0.0,0.06,1.0
2007-06-25,10.1,10.1,10.1,10.1,7.8737,0.0,0.06,1.0
2007-06-26,10.29,10.29,10.1,10.1,7.8737,1200.0,0.06,1.0
2007-06-27,10.1,10.1,10.1,10.1,7.8737,0.0,0.06,1.0
2007-06-28,10.1,10.1,10.1,10.1,7.8737,0.0,0.06,1.0
2007-06-29,10.1,10.1,10.1,10.1,7.8737,0.0,0.0,1.0
2007-07-02,10.1,10.1,10.1,10.1,7.8737,0.0,0.0,1.0
2007-07-03,10.1,10.1,10.1,10.1,7.8737,0.0,0.0,1.0
2007-07-05,10.1,10.1,10.1,10.1,7.8737,0.0,0.0,1.0
2007-07-06,10.1,10.1,10.1,10.1,7.8737,0.0,0.0,1.0
2007-07-09,10.43,10.43,10.43,10.43,8.1309,300.0,0.0,1.0
2007-07-10,10.42,10.42,10.4,10.4,8.1075,1000.0,0.0,1.0
2007-07-11,10.4,10.4,10.4,10.4,8.1075,0.0,0.0,1.0
2007-07-12,10.35,10.4,10.35,10.4,8.1075,2400.0,0.0,1.0
2007-07-13,10.4,10.4,10.4,10.4,8.1075,0.0,0.0,1.0
2007-07-16,10.39,10.39,10.39,10.39,8.0997,8100.0,0.0,1.0
2007-07-17,10.4,10.4,10.4,10.4,8.1075,1000.0,0.0,1.0
2007-07-18,10.4,10.4,10.4,10.4,8.1075,0.0,0.0,1.0
2007-07-19,10.4,10.4,10.4,10.4,8.1075,0.0,0.0,1.0
2007-07-20,10.4,10.4,10.4,10.4,8.1075,0.0,0.0,1.0
2007-07-23,10.4,10.4,10.4,10.4,8.1546,0.0,0.06,1.0
2007-07-24,10.15,10.15,10.04,10.04,7.8723,1700.0,0.0,1.0
2007-07-25,10.3,10.3,10.3,10.3,8.0762,2000.0,0.0,1.0
2007-07-26,10.1,10.3,10.1,10.2,7.9978,2600.0,0.0,1.0
2007-07-27,10.2,10.2,10.2,10.2,7.9978,0.0,0.0,1.0
2007-07-30,10.2,10.2,10.1,10.1,7.9193,2000.0,0.0,1.0
2007-07-31,10.1,10.1,10.1,10.1,7.9193,0.0,0.0,1.0
2007-08-01,10.11,10.3,10.1,10.3,8.0762,7400.0,0.0,1.0
2007-08-02,10.25,10.3,10.25,10.3,8.0762,1000.0,0.0,1.0
2007-08-03,10.3,10.3,10.3,10.3,8.0762,0.0,0.0,1.0
2007-08-06,10.1,10.1,9.65,9.65,7.5665,1000.0,0.0,1.0
2007-08-07,10.0,10.0,10.0,10.0,7.8409,1000.0,0.0,1.0
2007-08-08,10.0,10.0,10.0,10.0,7.8409,0.0,0.0,1.0
2007-08-09,9.6,9.6,9.6,9.6,7.5273,200.0,0.0,1.0
2007-08-10,9.8,10.0,9.8,10.0,7.8409,1800.0,0.0,1.0
2007-08-13,10.05,10.05,10.05,10.05,7.8801,200.0,0.0,1.0
2007-08-14,9.9,9.9,9.9,9.9,7.7625,200.0,0.0,1.0
2007-08-15,9.9,9.9,9.9,9.9,7.7625,200.0,0.0,1.0
2007-08-16,9.9,9.9,9.9,9.9,7.7625,200.0,0.0,1.0
2007-08-17,9.85,9.85,9.85,9.85,7.7233,800.0,0.0,1.0
2007-08-20,9.8,9.8,9.8,9.8,7.6841,200.0,0.0,1.0
2007-08-21,9.85,9.85,9.85,9.85,7.7233,300.0,0.0,1.0
2007-08-22,9.81,10.3,9.81,10.3,8.0762,1300.0,0.0,1.0
2007-08-23,10.05,10.06,10.05,10.06,7.888,600.0,0.0,1.0
2007-08-24,10.05,10.05,9.8,9.85,7.7233,5600.0,0.0,1.0
2007-08-27,10.2,10.2,10.2,10.2,7.9978,600.0,0.0,1.0
2007-08-28,10.2,10.2,10.0,10.0,7.8409,400.0,0.0,1.0
2007-08-29,10.01,10.01,10.01,10.01,7.8488,400.0,0.0,1.0
2007-08-30,10.01,10.01,10.01,10.01,7.8488,800.0,0.0,1.0
2007-08-31,10.01,10.01,10.01,10.01,7.8488,800.0,0.0,1.0
2007-09-04,10.01,10.01,10.01,10.01,7.8488,1600.0,0.0,1.0
2007-09-05,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-06,10.01,10.01,10.01,10.01,7.8488,800.0,0.0,1.0
2007-09-07,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-10,10.2,10.2,10.0,10.0,7.8409,500.0,0.0,1.0
2007-09-11,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-12,10.01,10.01,10.01,10.01,7.8488,400.0,0.0,1.0
2007-09-13,10.01,10.01,10.01,10.01,7.8488,800.0,0.0,1.0
2007-09-14,10.01,10.01,10.01,10.01,7.8488,800.0,0.0,1.0
2007-09-17,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-18,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-19,10.0,10.01,10.0,10.0,7.8409,4700.0,0.0,1.0
2007-09-20,10.0,10.0,10.0,10.0,7.8409,200.0,0.0,1.0
2007-09-21,10.0,10.0,10.0,10.0,7.8409,200.0,0.0,1.0
2007-09-24,10.01,10.01,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-25,10.01,10.01,10.0,10.0,7.8409,600.0,0.0,1.0
2007-09-26,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-27,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-09-28,10.05,10.05,10.0,10.0,7.8409,800.0,0.0,1.0
2007-10-01,10.01,10.01,10.0,10.0,7.8409,600.0,0.0,1.0
2007-10-02,10.0,10.0,10.0,10.0,7.8409,800.0,0.0,1.0
2007-10-03,10.0,10.0,10.0,10.0,7.8409,400.0,0.0,1.0
2007-10-04,10.01,10.01,10.0,10.01,7.8488,800.0,0.0,1.0
2007-10-05,10.0,10.3,10.0,10.3,8.0762,3300.0,0.0,1.0
2007-10-08,10.3,10.3,10.0,10.0,7.8409,3600.0,0.0,1.0
2007-10-09,10.0,10.3,10.0,10.3,8.0762,2400.0,0.0,1.0
2007-10-10,10.05,10.05,10.05,10.05,7.8801,800.0,0.0,1.0
2007-10-11,10.25,10.3,10.25,10.3,8.0762,1700.0,0.0,1.0
2007-10-12,10.3,10.3,10.3,10.3,8.0762,0.0,0.0,1.0
2007-10-15,10.3,10.3,10.3,10.3,8.0762,0.0,0.0,1.0
2007-10-16,10.3,10.3,10.3,10.3,8.0762,0.0,0.0,1.0
2007-10-17,10.3,10.3,10.3,10.3,8.0762,0.0,0.0,1.0
2007-10-18,10.1,10.1,10.1,10.1,7.9193,400.0,0.0,1.0
2007-10-19,10.1,10.1,10.1,10.1,7.9193,100.0,0.0,1.0
2007-10-22,10.1,10.1,10.1,10.1,7.9667,0.0,0.06,1.0
2007-10-23,10.05,10.05,10.05,10.05,7.9272,2600.0,0.0,1.0
2007-10-24,10.05,10.05,10.05,10.05,7.9272,0.0,0.0,1.0
2007-10-25,10.05,10.05,10.05,10.05,7.9272,0.0,0.0,1.0
2007-10-26,10.1,10.1,10.1,10.1,7.9667,5000.0,0.0,1.0
2007-10-29,10.1,10.1,10.1,10.1,7.9667,1000.0,0.0,1.0
2007-10-30,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-10-31,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-01,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-02,10.1,10.1,10.1,10.1,7.9667,500.0,0.0,1.0
2007-11-05,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-06,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-07,10.1,10.1,10.05,10.1,7.9667,26000.0,0.0,1.0
2007-11-08,10.1,10.1,10.1,10.1,7.9667,13700.0,0.0,1.0
2007-11-09,10.1,10.1,10.1,10.1,7.9667,14500.0,0.0,1.0
2007-11-12,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-13,10.1,10.1,10.1,10.1,7.9667,1000.0,0.0,1.0
2007-11-14,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-15,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-16,10.1,10.1,10.1,10.1,7.9667,1000.0,0.0,1.0
2007-11-19,10.2,10.2,10.2,10.2,8.0455,200.0,0.0,1.0
2007-11-20,10.1,10.1,10.1,10.1,7.9667,5000.0,0.0,1.0
2007-11-21,10.1,10.1,10.1,10.1,7.9667,1000.0,0.0,1.0
2007-11-23,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-26,10.2,10.2,10.2,10.2,8.0455,200.0,0.0,1.0
2007-11-27,10.1,10.1,10.1,10.1,7.9667,1700.0,0.0,1.0
2007-11-28,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-29,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-11-30,10.1,10.1,10.1,10.1,7.9667,0.0,0.0,1.0
2007-12-03,10.1,10.1,10.1,10.1,7.9667,2000.0,0.0,1.0
2007-12-04,10.2,10.2,10.2,10.2,8.0455,200.0,0.0,1.0
2007-12-05,10.2,10.2,10.2,10.2,8.0455,0.0,0.0,1.0
2007-12-06,10.2,10.2,10.2,10.2,8.0455,0.0,0.0,1.0
2007-12-07,10.3,10.3,10.3,10.3,8.1244,600.0,0.0,1.0
2007-12-10,10.3,10.3,10.3,10.3,8.1244,200.0,0.0,1.0
2007-12-11,10.3,10.3,10.3,10.3,8.1244,0.0,0.0,1.0
2007-12-12,10.3,10.3,10.0,10.0,7.8878,45200.0,0.0,1.0
2007-12-13,10.0,10.0,10.0,10.0,7.8878,20000.0,0.0,1.0
2007-12-14,9.99,9.99,9.7,9.7,7.6512,2300.0,0.0,1.0
2007-12-17,9.6,9.7,9.6,9.7,7.6512,800.0,0.0,1.0
2007-12-18,9.7,9.7,9.7,9.7,7.6512,500.0,0.0,1.0
2007-12-19,9.7,9.7,9.7,9.7,7.6512,0.0,0.0,1.0
2007-12-20,9.7,9.7,9.7,9.7,7.6512,0.0,0.0,1.0
2007-12-21,9.7,9.7,9.7,9.7,7.6512,0.0,0.0,1.0
2007-12-24,9.54,9.54,9.54,9.54,7.525,200.0,0.0,1.0
2007-12-26,9.54,9.54,9.54,9.54,7.525,0.0,0.0,1.0
2007-12-27,9.54,9.54,9.54,9.54,7.525,0.0,0.0,1.0
2007-12-28,9.55,9.55,9.03,9.5,7.4934,3200.0,0.0,1.0
2007-12-31,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-02,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-03,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-04,9.5,9.5,9.5,9.5,7.4934,20400.0,0.0,1.0
2008-01-07,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-08,9.51,9.6,9.5,9.51,7.5013,4300.0,0.0,1.0
2008-01-09,9.5,9.5,9.5,9.5,7.4934,1900.0,0.0,1.0
2008-01-10,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-11,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-14,9.51,9.51,9.51,9.51,7.5013,500.0,0.0,1.0
2008-01-15,9.51,9.51,9.5,9.5,7.4934,3300.0,0.0,1.0
2008-01-16,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-17,9.5,9.5,9.5,9.5,7.4934,0.0,0.0,1.0
2008-01-18,9.5,9.5,9.5,9.5,7.541,0.0,0.06,1.0
2008-01-22,9.4,9.4,9.39,9.39,7.4537,2000.0,0.0,1.0
2008-01-23,9.39,9.39,9.39,9.39,7.4537,0.0,0.0,1.0
2008-01-24,9.39,9.39,9.39,9.39,7.4537,0.0,0.0,1.0
2008-01-25,9.39,9.39,9.39,9.39,7.4537,0.0,0.0,1.0
2008-01-28,9.39,9.39,9.39,9.39,7.4537,0.0,0.0,1.0
2008-01-29,9.39,9.39,9.39,9.39,7.4537,0.0,0.0,1.0
2008-01-30,9.26,9.26,9.26,9.26,7.3505,500.0,0.0,1.0
2008-01-31,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-01,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-04,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-05,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-06,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-07,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-08,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-11,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-12,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-13,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-14,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-15,9.26,9.26,9.26,9.26,7.3505,0.0,0.0,1.0
2008-02-19,9.22,9.22,9.22,9.22,7.3188,500.0,0.0,1.0
2008-02-20,9.22,9.22,9.22,9.22,7.3188,0.0,0.0,1.0
2008-02-21,9.22,9.22,9.22,9.22,7.3188,0.0,0.0,1.0
2008-02-22,9.22,9.22,9.22,9.22,7.3188,0.0,0.0,1.0
2008-02-25,9.22,9.22,9.22,9.22,7.3188,0.0,0.0,1.0
2008-02-26,9.22,9.22,9.22,9.22,7.3188,0.0,0.0,1.0
2008-02-27,9.18,9.18,9.18,9.18,7.287,500.0,0.0,1.0
2008-02-28,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-02-29,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-03-03,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-03-04,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-03-05,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-03-06,9.18,9.18,9.18,9.18,7.287,0.0,0.0,1.0
2008-03-07,8.99,8.99,8.99,8.99,7.1362,500.0,0.0,1.0
2008-03-10,8.99,8.99,8.99,8.99,7.1362,0.0,0.0,1.0
2008-03-11,8.99,8.99,8.99,8.99,7.1362,0.0,0.0,1.0
2008-03-12,8.9,8.9,8.8,8.8,6.9854,1500.0,0.0,1.0
2008-03-13,8.8,8.8,8.8,8.8,6.9854,0.0,0.0,1.0
2008-03-14,8.8,8.8,8.8,8.8,6.9854,0.0,0.0,1.0
2008-03-17,8.8,8.8,8.8,8.8,6.9854,0.0,0.0,1.0
2008-03-18,8.79,8.79,8.79,8.79,6.9774,500.0,0.0,1.0
2008-03-19,8.75,8.75,8.75,8.75,6.9457,500.0,0.0,1.0
2008-03-20,8.71,8.71,8.6,8.6,6.8266,1500.0,0.0,1.0
2008-03-24,8.0,8.0,7.95,7.95,6.3106,1500.0,0.0,1.0
2008-03-25,7.95,7.95,7.95,7.95,6.3106,0.0,0.0,1.0
2008-03-26,7.95,7.95,7.95,7.95,6.3106,0.0,0.0,1.0
2008-03-27,8.3,8.3,8.0,8.0,6.3503,8000.0,0.0,1.0
2008-03-28,8.0,8.0,8.0,8.0,6.3503,0.0,0.0,1.0
2008-03-31,8.0,8.0,8.0,8.0,6.3503,1000.0,0.0,1.0
2008-04-01,8.0,8.0,8.0,8.0,6.3503,500.0,0.0,1.0
2008-04-02,8.0,8.0,8.0,8.0,6.3503,0.0,0.0,1.0
2008-04-03,8.0,8.0,8.0,8.0,6.3503,0.0,0.0,1.0
2008-04-04,8.0,8.0,8.0,8.0,6.3503,0.0,0.0,1.0
2008-04-07,8.0,8.0,8.0,8.0,6.3503,0.0,0.0,1.0
2008-04-08,7.75,7.85,7.75,7.85,6.2313,1200.0,0.0,1.0
2008-04-09,7.85,7.85,7.85,7.85,6.2313,500.0,0.0,1.0
2008-04-10,7.85,7.85,7.85,7.85,6.2313,0.0,0.0,1.0
2008-04-11,7.85,7.85,7.85,7.85,6.2313,0.0,0.0,1.0
