date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,8.5,8.5,8.3125,8.3125,4.5909,11100.0,0.0,1.0
1999-08-11,8.3125,8.5,8.3125,8.3125,4.5909,6800.0,0.0,1.0
1999-08-12,8.3125,8.3125,8.3125,8.3125,4.5909,600.0,0.0,1.0
1999-08-13,8.3125,8.375,8.0625,8.375,4.6254,18600.0,0.0,1.0
1999-08-16,8.25,8.4375,8.125,8.3438,4.6081,20900.0,0.0,1.0
1999-08-17,8.3438,8.5,8.25,8.25,4.5564,11400.0,0.0,1.0
1999-08-18,8.125,8.375,8.125,8.375,4.6254,2800.0,0.0,1.0
1999-08-19,8.125,8.5,8.125,8.375,4.6254,14400.0,0.0,1.0
1999-08-20,8.375,8.5,8.125,8.5,4.6944,41200.0,0.0,1.0
1999-08-23,8.375,8.5,8.3125,8.4375,4.6599,29200.0,0.0,1.0
1999-08-24,8.5,8.5313,8.25,8.25,4.5564,23300.0,0.0,1.0
1999-08-25,8.25,8.25,8.25,8.25,4.5564,10400.0,0.0,1.0
1999-08-26,8.25,8.375,8.25,8.25,4.5564,9600.0,0.0,1.0
1999-08-27,8.25,8.4375,8.1875,8.3125,4.5909,9500.0,0.0,1.0
1999-08-30,8.25,8.3125,8.125,8.125,4.4873,5000.0,0.0,1.0
1999-08-31,8.25,8.25,8.0625,8.25,4.5564,24700.0,0.0,1.0
1999-09-01,8.25,8.3125,8.0625,8.0625,4.4528,16700.0,0.0,1.0
1999-09-02,8.25,8.25,8.0,8.0,4.4183,20800.0,0.0,1.0
1999-09-03,8.125,8.1875,8.0,8.0625,4.4528,30900.0,0.0,1.0
1999-09-07,8.1875,8.1875,8.0313,8.0313,4.4355,11900.0,0.0,1.0
1999-09-08,8.125,8.125,8.0,8.0,4.4183,46200.0,0.0,1.0
1999-09-09,8.125,8.1875,8.125,8.1875,4.5218,11900.0,0.0,1.0
1999-09-10,8.125,8.3125,8.0625,8.25,4.5564,23400.0,0.0,1.0
