date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,13.3125,13.3125,13.3125,13.3125,9.6119,0.0,0.0,1.0
1999-08-11,13.3125,13.375,13.3125,13.3125,9.6119,9300.0,0.0,1.0
1999-08-12,13.3125,13.3125,13.3125,13.3125,9.6119,800.0,0.0,1.0
1999-08-13,13.5,13.5,13.3125,13.375,9.657,9400.0,0.0,1.0
1999-08-16,13.375,13.375,13.375,13.375,9.657,0.0,0.0,1.0
1999-08-17,13.375,13.375,13.375,13.375,9.657,0.0,0.0,1.0
1999-08-18,13.375,13.375,13.3125,13.3125,9.6119,34200.0,0.0,1.0
1999-08-19,13.375,13.375,13.3125,13.3125,9.6119,23500.0,0.0,1.0
1999-08-20,13.375,13.375,13.375,13.375,9.657,17000.0,0.0,1.0
1999-08-23,13.3125,13.375,13.3125,13.375,9.7151,15200.0,0.08,1.0
1999-08-24,13.3125,13.375,13.3125,13.375,9.7151,4800.0,0.0,1.0
1999-08-25,13.3125,13.3125,13.3125,13.3125,9.6697,300.0,0.0,1.0
1999-08-26,13.3125,13.5,13.3125,13.3125,9.6697,500.0,0.0,1.0
1999-08-27,13.3125,13.3125,13.3125,13.3125,9.6697,2400.0,0.0,1.0
1999-08-30,13.3125,13.3125,13.3125,13.3125,9.6697,5400.0,0.0,1.0
1999-08-31,13.3125,13.3125,13.3125,13.3125,9.6697,4000.0,0.0,1.0
1999-09-01,13.3125,13.3125,13.3125,13.3125,9.6697,2800.0,0.0,1.0
1999-09-02,13.3125,13.375,13.125,13.375,9.7151,9400.0,0.0,1.0
1999-09-03,13.125,13.125,12.875,13.0,9.4427,4700.0,0.0,1.0
1999-09-07,12.875,12.875,12.875,12.875,9.3519,1000.0,0.0,1.0
1999-09-08,12.75,12.75,12.75,12.75,9.2611,7000.0,0.0,1.0
1999-09-09,12.75,13.0,12.75,12.8125,9.3065,17200.0,0.0,1.0
1999-09-10,12.8125,12.8125,12.8125,12.8125,9.3065,0.0,0.0,1.0
1999-09-13,12.8125,12.8125,12.8125,12.8125,9.3065,0.0,0.0,1.0
1999-09-14,12.75,13.0,12.625,12.75,9.2611,5700.0,0.0,1.0
1999-09-15,12.75,13.0,12.75,13.0,9.4427,8000.0,0.0,1.0
1999-09-16,12.75,12.75,12.75,12.75,9.2611,25300.0,0.0,1.0
1999-09-17,12.75,12.75,12.75,12.75,9.2611,2300.0,0.0,1.0
1999-09-20,12.75,12.75,12.75,12.75,9.2611,0.0,0.0,1.0
1999-09-21,12.75,12.875,12.625,12.625,9.1703,10400.0,0.0,1.0
1999-09-22,12.625,12.625,12.625,12.625,9.1703,0.0,0.0,1.0
1999-09-23,12.625,12.625,12.625,12.625,9.1703,100.0,0.0,1.0
1999-09-24,12.625,12.625,12.625,12.625,9.1703,7000.0,0.0,1.0
1999-09-27,12.5,12.625,12.5,12.5,9.0795,7800.0,0.0,1.0
1999-09-28,12.375,12.375,12.25,12.25,8.8979,400.0,0.0,1.0
1999-09-29,12.25,12.3125,12.25,12.3125,8.9433,2500.0,0.0,1.0
1999-09-30,12.25,12.25,12.25,12.25,8.8979,300.0,0.0,1.0
1999-10-01,12.3125,12.3125,12.3125,12.3125,8.9433,2200.0,0.0,1.0
1999-10-04,12.3125,12.3125,12.3125,12.3125,8.9433,0.0,0.0,1.0
1999-10-05,12.3125,12.3125,12.3125,12.3125,8.9433,0.0,0.0,1.0
1999-10-06,12.3125,12.3125,12.3125,12.3125,8.9433,600.0,0.0,1.0
1999-10-07,12.3125,12.3125,11.875,12.0,8.7164,11900.0,0.0,1.0
1999-10-08,12.0,12.0,12.0,12.0,8.7164,0.0,0.0,1.0
1999-10-11,12.3125,12.3125,12.3125,12.3125,8.9433,200.0,0.0,1.0
1999-10-12,12.3125,12.3125,12.3125,12.3125,8.9433,0.0,0.0,1.0
1999-10-13,12.0,12.0,12.0,12.0,8.7164,2600.0,0.0,1.0
1999-10-14,12.0,12.0,12.0,12.0,8.7164,0.0,0.0,1.0
1999-10-15,12.0,12.0,12.0,12.0,8.7164,7200.0,0.0,1.0
1999-10-18,12.0,12.0,12.0,12.0,8.7164,5600.0,0.0,1.0
1999-10-19,12.0,12.0,12.0,12.0,8.7164,1200.0,0.0,1.0
1999-10-20,12.0,12.0,12.0,12.0,8.7164,6900.0,0.0,1.0
1999-10-21,12.0,12.0,12.0,12.0,8.7164,0.0,0.0,1.0
