date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,1.7917,1.8333,1.6667,1.8333,1.8333,390900.0,0.0,1.0
1999-08-11,1.7917,1.8333,1.7292,1.75,1.75,149400.0,0.0,1.0
1999-08-12,1.75,1.75,1.6875,1.7083,1.7083,114600.0,0.0,1.0
1999-08-13,1.6979,1.7292,1.6667,1.7083,1.7083,414900.0,0.0,1.0
1999-08-16,1.6927,1.75,1.6875,1.7083,1.7083,226500.0,0.0,1.0
1999-08-17,1.7292,1.7917,1.6667,1.6667,1.6667,291900.0,0.0,1.0
1999-08-18,1.6875,1.7083,1.6458,1.6771,1.6771,275700.0,0.0,1.0
1999-08-19,1.6667,1.6875,1.6458,1.6667,1.6667,225900.0,0.0,1.0
1999-08-20,1.6875,1.6875,1.6458,1.6875,1.6875,167400.0,0.0,1.0
1999-08-23,1.6771,1.6875,1.6458,1.6771,1.6771,319200.0,0.0,1.0
1999-08-24,1.6563,1.75,1.6458,1.6667,1.6667,612000.0,0.0,1.0
1999-08-25,1.6667,1.6875,1.6458,1.6667,1.6667,404100.0,0.0,1.0
1999-08-26,1.6875,1.6875,1.6563,1.6667,1.6667,262500.0,0.0,1.0
1999-08-27,1.6667,1.6875,1.6458,1.6458,1.6458,207600.0,0.0,1.0
1999-08-30,1.6615,1.6875,1.6458,1.6667,1.6667,263400.0,0.0,1.0
1999-08-31,1.6458,1.6771,1.625,1.6667,1.6667,257400.0,0.0,1.0
1999-09-01,1.6667,1.6667,1.6042,1.6458,1.6458,245100.0,0.0,1.0
1999-09-02,1.625,1.6458,1.5833,1.625,1.625,86400.0,0.0,1.0
1999-09-03,1.625,1.6875,1.6042,1.6875,1.6875,192600.0,0.0,1.0
1999-09-07,1.625,1.6667,1.5833,1.6563,1.6563,507000.0,0.0,1.0
1999-09-08,1.625,1.6667,1.5833,1.6563,1.6563,218400.0,0.0,1.0
1999-09-09,1.6406,1.6458,1.5,1.5625,1.5625,438600.0,0.0,1.0
1999-09-10,1.5625,1.6667,1.5417,1.6458,1.6458,393000.0,0.0,1.0
1999-09-13,1.6667,1.7188,1.625,1.7083,1.7083,591300.0,0.0,1.0
1999-09-14,1.75,1.8333,1.6563,1.6563,1.6563,623100.0,0.0,1.0
1999-09-15,1.6875,1.75,1.6667,1.7083,1.7083,239700.0,0.0,1.0
1999-09-16,1.7188,1.7188,1.625,1.6667,1.6667,345600.0,0.0,1.0
1999-09-17,1.6667,1.6875,1.625,1.6667,1.6667,165000.0,0.0,1.0
1999-09-20,1.6667,1.6667,1.5417,1.5833,1.5833,303900.0,0.0,1.0
1999-09-21,1.5833,1.5833,1.5,1.5,1.5,217200.0,0.0,1.0
1999-09-22,1.5417,1.5625,1.4583,1.5208,1.5208,402300.0,0.0,1.0
1999-09-23,1.5833,1.5833,1.5417,1.5417,1.5417,80700.0,0.0,1.0
1999-09-24,1.5833,1.5833,1.5,1.5417,1.5417,173400.0,0.0,1.0
1999-09-27,1.5417,1.5833,1.4583,1.4792,1.4792,415200.0,0.0,1.0
1999-09-28,1.4688,1.5208,1.3958,1.4167,1.4167,441900.0,0.0,1.0
1999-09-29,1.3958,1.4583,1.375,1.4167,1.4167,593700.0,0.0,1.0
1999-09-30,1.4167,1.5833,1.3958,1.5833,1.5833,392400.0,0.0,1.0
1999-10-01,1.5833,1.5833,1.5,1.5208,1.5208,143100.0,0.0,1.0
1999-10-04,1.5104,1.5208,1.4167,1.4792,1.4792,150900.0,0.0,1.0
1999-10-05,1.4167,1.5833,1.4167,1.5104,1.5104,199500.0,0.0,1.0
1999-10-06,1.5417,1.5833,1.4792,1.5104,1.5104,123300.0,0.0,1.0
1999-10-07,1.4792,1.5833,1.4792,1.5417,1.5417,175200.0,0.0,1.0
1999-10-08,1.5417,1.5625,1.4792,1.5313,1.5313,164100.0,0.0,1.0
1999-10-11,1.5365,1.5365,1.4583,1.5,1.5,152100.0,0.0,1.0
1999-10-12,1.4896,1.5,1.4271,1.4375,1.4375,251700.0,0.0,1.0
1999-10-13,1.4271,1.4792,1.4167,1.4375,1.4375,141000.0,0.0,1.0
1999-10-14,1.4792,1.5,1.375,1.4375,1.4375,170400.0,0.0,1.0
1999-10-15,1.4271,1.4375,1.2708,1.375,1.375,214800.0,0.0,1.0
1999-10-18,1.375,1.4375,1.2813,1.3958,1.3958,214800.0,0.0,1.0
1999-10-19,1.4167,1.4167,1.375,1.3854,1.3854,113400.0,0.0,1.0
1999-10-20,1.375,1.4375,1.3438,1.375,1.375,188100.0,0.0,1.0
1999-10-21,1.3438,1.5625,1.3438,1.4583,1.4583,343800.0,0.0,1.0
1999-10-22,1.4375,1.4583,1.3333,1.3333,1.3333,267300.0,0.0,1.0
1999-10-25,1.3333,1.3958,1.3333,1.3542,1.3542,232800.0,0.0,1.0
1999-10-26,1.3542,1.4167,1.3542,1.3958,1.3958,290400.0,0.0,1.0
1999-10-27,1.375,1.3958,1.3333,1.3958,1.3958,120600.0,0.0,1.0
1999-10-28,1.3958,1.4167,1.375,1.3854,1.3854,106800.0,0.0,1.0
1999-10-29,1.375,1.4375,1.375,1.4375,1.4375,240600.0,0.0,1.0
1999-11-01,1.4375,1.4583,1.375,1.3958,1.3958,262500.0,0.0,1.0
1999-11-02,1.3542,1.4167,1.3333,1.4063,1.4063,616800.0,0.0,1.0
1999-11-03,1.4167,1.4792,1.3542,1.3958,1.3958,329700.0,0.0,1.0
1999-11-04,1.4271,1.4583,1.3958,1.3958,1.3958,114000.0,0.0,1.0
1999-11-05,1.3958,1.4583,1.3542,1.3542,1.3542,205800.0,0.0,1.0
1999-11-08,1.3542,1.375,1.3125,1.3333,1.3333,374400.0,0.0,1.0
1999-11-09,1.3125,1.4167,1.2917,1.3229,1.3229,351600.0,0.0,1.0
1999-11-10,1.3385,1.3542,1.3125,1.3333,1.3333,163500.0,0.0,1.0
1999-11-11,1.3333,1.3542,1.2917,1.3333,1.3333,303900.0,0.0,1.0
1999-11-12,1.3125,1.3542,1.3125,1.3229,1.3229,193800.0,0.0,1.0
1999-11-15,1.3125,1.3542,1.2917,1.3125,1.3125,325500.0,0.0,1.0
1999-11-16,1.3438,1.4167,1.3125,1.3333,1.3333,658200.0,0.0,1.0
1999-11-17,1.3385,1.3958,1.3333,1.375,1.375,246000.0,0.0,1.0
1999-11-18,1.3438,1.375,1.3333,1.3646,1.3646,409200.0,0.0,1.0
1999-11-19,1.3542,1.4063,1.3542,1.3958,1.3958,202200.0,0.0,1.0
1999-11-22,1.3958,1.5,1.3958,1.4583,1.4583,475500.0,0.0,1.0
1999-11-23,1.4583,1.5625,1.4375,1.5417,1.5417,531000.0,0.0,1.0
1999-11-24,1.5417,1.5729,1.5,1.5313,1.5313,204900.0,0.0,1.0
1999-11-26,1.5208,1.5833,1.5,1.5833,1.5833,329700.0,0.0,1.0
1999-11-29,1.6042,1.625,1.5,1.5625,1.5625,260700.0,0.0,1.0
1999-11-30,1.5417,1.5625,1.5,1.5208,1.5208,195000.0,0.0,1.0
1999-12-01,1.5417,1.5833,1.5208,1.5313,1.5313,148500.0,0.0,1.0
1999-12-02,1.5313,1.5833,1.5,1.5521,1.5521,287100.0,0.0,1.0
1999-12-03,1.5833,1.5833,1.5104,1.5417,1.5417,322800.0,0.0,1.0
1999-12-06,1.5625,1.9375,1.5,1.875,1.875,2557500.0,0.0,1.0
1999-12-07,1.8958,1.8958,1.7083,1.8542,1.8542,1206300.0,0.0,1.0
1999-12-08,1.9583,1.9688,1.8333,1.8958,1.8958,938400.0,0.0,1.0
1999-12-09,1.875,1.8958,1.8333,1.875,1.875,839100.0,0.0,1.0
1999-12-10,1.8438,1.8958,1.75,1.7708,1.7708,599400.0,0.0,1.0
1999-12-13,1.75,1.7917,1.625,1.625,1.625,334500.0,0.0,1.0
1999-12-14,1.6667,1.7917,1.625,1.7708,1.7708,764100.0,0.0,1.0
1999-12-15,1.75,1.8333,1.75,1.7708,1.7708,327000.0,0.0,1.0
1999-12-16,1.8125,1.8333,1.6458,1.6667,1.6667,417900.0,0.0,1.0
1999-12-17,1.6458,1.7708,1.6458,1.75,1.75,288300.0,0.0,1.0
1999-12-20,1.75,1.8125,1.75,1.75,1.75,342000.0,0.0,1.0
1999-12-21,1.7708,1.8229,1.7292,1.8125,1.8125,496500.0,0.0,1.0
1999-12-22,1.8021,1.8125,1.75,1.75,1.75,481800.0,0.0,1.0
1999-12-23,1.75,1.8125,1.7396,1.7813,1.7813,404400.0,0.0,1.0
1999-12-27,1.7917,2.1667,1.7708,2.125,2.125,2082600.0,0.0,1.0
1999-12-28,2.1563,2.1667,2.0417,2.1667,2.1667,639000.0,0.0,1.0
1999-12-29,2.1458,2.2083,2.0,2.125,2.125,566700.0,0.0,1.0
1999-12-30,2.1042,2.1667,2.0417,2.125,2.125,671100.0,0.0,1.0
1999-12-31,2.125,2.1875,2.0417,2.1042,2.1042,282600.0,0.0,1.0
2000-01-03,2.1667,2.25,2.125,2.1667,2.1667,603000.0,0.0,1.0
2000-01-04,2.1458,2.1667,2.0,2.0417,2.0417,772500.0,0.0,1.0
2000-01-05,2.0208,2.1875,1.9792,2.1458,2.1458,567900.0,0.0,1.0
2000-01-06,2.2188,2.3333,2.1667,2.3333,2.3333,1118700.0,0.0,1.0
2000-01-07,2.3125,2.4583,2.2917,2.3333,2.3333,688200.0,0.0,1.0
2000-01-10,2.3542,2.5833,2.3125,2.5833,2.5833,1255200.0,0.0,1.0
2000-01-11,2.6042,2.625,2.25,2.3125,2.3125,1418700.0,0.0,1.0
2000-01-12,2.375,2.3958,2.2083,2.2083,2.2083,378600.0,0.0,1.0
2000-01-13,2.2083,2.2917,2.1667,2.25,2.25,301500.0,0.0,1.0
2000-01-14,2.3125,2.4167,2.2396,2.375,2.375,449700.0,0.0,1.0
2000-01-18,2.4167,2.4167,2.25,2.2917,2.2917,275400.0,0.0,1.0
2000-01-19,2.3125,2.3333,2.2083,2.25,2.25,224100.0,0.0,1.0
2000-01-20,2.2813,2.2917,2.2083,2.2083,2.2083,252300.0,0.0,1.0
2000-01-21,2.1875,2.3646,2.1875,2.25,2.25,312300.0,0.0,1.0
2000-01-24,2.2708,2.3333,2.1667,2.2292,2.2292,617700.0,0.0,1.0
2000-01-25,2.1979,2.3333,2.1667,2.2292,2.2292,242400.0,0.0,1.0
2000-01-26,2.1667,2.2083,2.0417,2.0417,2.0417,470400.0,0.0,1.0
2000-01-27,2.0417,2.0833,2.0208,2.0521,2.0521,241500.0,0.0,1.0
2000-01-28,2.0625,2.4063,2.0417,2.2083,2.2083,672300.0,0.0,1.0
2000-01-31,2.25,2.25,2.0417,2.0833,2.0833,328500.0,0.0,1.0
2000-02-01,2.125,2.1667,2.0208,2.0417,2.0417,267300.0,0.0,1.0
2000-02-02,2.0833,2.1458,2.0417,2.1458,2.1458,131700.0,0.0,1.0
2000-02-03,2.0417,2.1875,2.0417,2.1615,2.1615,207600.0,0.0,1.0
2000-02-04,2.125,2.1667,2.0417,2.125,2.125,152400.0,0.0,1.0
2000-02-07,2.1667,2.2031,2.0417,2.1667,2.1667,172800.0,0.0,1.0
2000-02-08,2.0417,2.3333,2.0417,2.2917,2.2917,546300.0,0.0,1.0
2000-02-09,2.25,2.3333,2.25,2.2917,2.2917,175800.0,0.0,1.0
2000-02-10,2.25,2.2917,2.0417,2.1042,2.1042,202800.0,0.0,1.0
2000-02-11,2.1667,2.1667,1.9583,2.0,2.0,192600.0,0.0,1.0
2000-02-14,2.0625,2.1458,2.0208,2.0625,2.0625,275700.0,0.0,1.0
2000-02-15,1.7083,1.7083,1.5833,1.7083,1.7083,4052100.0,0.0,1.0
2000-02-16,1.7083,1.7292,1.6354,1.6667,1.6667,871500.0,0.0,1.0
2000-02-17,1.6875,1.7292,1.625,1.6354,1.6354,462300.0,0.0,1.0
2000-02-18,1.6458,1.6823,1.625,1.6667,1.6667,390600.0,0.0,1.0
2000-02-22,1.6458,1.7083,1.6458,1.6458,1.6458,232800.0,0.0,1.0
2000-02-23,1.6458,1.6667,1.625,1.6458,1.6458,463200.0,0.0,1.0
2000-02-24,1.6458,1.6667,1.625,1.6354,1.6354,436800.0,0.0,1.0
2000-02-25,1.6458,1.6667,1.6354,1.6458,1.6458,228000.0,0.0,1.0
2000-02-28,1.6563,1.6667,1.5,1.6458,1.6458,503400.0,0.0,1.0
2000-02-29,1.6458,1.6667,1.6458,1.6563,1.6563,330000.0,0.0,1.0
2000-03-01,1.6458,1.7083,1.6458,1.6458,1.6458,291300.0,0.0,1.0
2000-03-02,1.6875,1.6875,1.6458,1.6667,1.6667,124800.0,0.0,1.0
2000-03-03,1.6563,1.7083,1.625,1.6667,1.6667,273600.0,0.0,1.0
2000-03-06,1.6667,1.7083,1.625,1.6458,1.6458,187500.0,0.0,1.0
2000-03-07,1.6875,1.7083,1.6458,1.6667,1.6667,297300.0,0.0,1.0
2000-03-08,1.6563,1.6667,1.6042,1.6458,1.6458,595800.0,0.0,1.0
2000-03-09,1.625,1.6667,1.5833,1.625,1.625,287400.0,0.0,1.0
2000-03-10,1.625,1.6458,1.5833,1.6354,1.6354,106200.0,0.0,1.0
2000-03-13,1.625,1.6458,1.5,1.625,1.625,255600.0,0.0,1.0
2000-03-14,1.5833,1.625,1.5,1.625,1.625,265200.0,0.0,1.0
2000-03-15,1.6042,1.6667,1.5833,1.625,1.625,132900.0,0.0,1.0
2000-03-16,1.6458,1.6667,1.5417,1.6458,1.6458,226800.0,0.0,1.0
2000-03-17,1.625,1.7083,1.6042,1.6719,1.6719,201000.0,0.0,1.0
2000-03-20,1.6563,1.7083,1.6458,1.6563,1.6563,236100.0,0.0,1.0
2000-03-21,1.6667,1.6667,1.6042,1.625,1.625,129900.0,0.0,1.0
2000-03-22,1.5833,1.6563,1.5625,1.6042,1.6042,315000.0,0.0,1.0
2000-03-23,1.5833,1.6354,1.5417,1.5833,1.5833,85500.0,0.0,1.0
2000-03-24,1.5833,1.6667,1.5833,1.625,1.625,531000.0,0.0,1.0
2000-03-27,1.625,1.6667,1.625,1.625,1.625,189900.0,0.0,1.0
2000-03-28,1.5833,1.6458,1.5521,1.625,1.625,142500.0,0.0,1.0
2000-03-29,1.625,1.6458,1.6042,1.625,1.625,189300.0,0.0,1.0
2000-03-30,1.625,1.6458,1.5521,1.5833,1.5833,313500.0,0.0,1.0
2000-03-31,1.6042,1.625,1.5833,1.6042,1.6042,85200.0,0.0,1.0
2000-04-03,1.6146,1.625,1.6042,1.6042,1.6042,120000.0,0.0,1.0
2000-04-04,1.6042,1.625,1.5417,1.5417,1.5417,153300.0,0.0,1.0
2000-04-05,1.5417,1.6667,1.5417,1.625,1.625,232200.0,0.0,1.0
2000-04-06,1.5833,1.6458,1.5417,1.5833,1.5833,148500.0,0.0,1.0
2000-04-07,1.5833,1.6042,1.5417,1.5833,1.5833,146400.0,0.0,1.0
2000-04-10,1.5833,1.625,1.5417,1.6042,1.6042,132300.0,0.0,1.0
2000-04-11,1.5833,1.625,1.5417,1.5833,1.5833,233100.0,0.0,1.0
2000-04-12,1.5833,1.625,1.5104,1.5208,1.5208,620700.0,0.0,1.0
2000-04-13,1.5313,1.5417,1.4583,1.4792,1.4792,436800.0,0.0,1.0
2000-04-14,1.4792,1.5,1.4167,1.4167,1.4167,232500.0,0.0,1.0
2000-04-17,1.375,1.4583,1.3333,1.3542,1.3542,351000.0,0.0,1.0
2000-04-18,1.375,1.4167,1.3333,1.375,1.375,157800.0,0.0,1.0
2000-04-19,1.3542,1.3958,1.3333,1.375,1.375,186300.0,0.0,1.0
2000-04-20,1.3229,1.375,1.3125,1.3333,1.3333,94200.0,0.0,1.0
2000-04-24,1.3125,1.3958,1.25,1.375,1.375,94500.0,0.0,1.0
2000-04-25,1.4167,1.4167,1.2917,1.3854,1.3854,85200.0,0.0,1.0
2000-04-26,1.4167,1.4167,1.2917,1.3542,1.3542,47100.0,0.0,1.0
2000-04-27,1.3333,1.4167,1.2917,1.3333,1.3333,91500.0,0.0,1.0
