date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-06-27,10.805,10.81,10.805,10.81,10.81,4900.0,0.0,1.0
2014-06-30,10.81,10.81,10.81,10.81,10.81,0.0,0.0,1.0
2014-07-01,10.81,10.81,10.81,10.81,10.81,0.0,0.0,1.0
2014-07-02,10.81,10.81,10.81,10.81,10.81,0.0,0.0,1.0
2014-07-03,11.28,11.28,11.28,11.28,11.28,800.0,0.0,1.0
2014-07-07,11.305,11.5,11.165,11.36,11.36,3800.0,0.0,1.0
2014-07-08,11.5,11.55,11.28,11.55,11.55,1400.0,0.0,1.0
2014-07-09,11.29,11.29,10.93,10.93,10.93,100.0,0.0,1.0
2014-07-10,11.05,11.05,11.05,11.05,11.05,200.0,0.0,1.0
2014-07-11,11.065,11.22,10.625,11.22,11.22,1600.0,0.0,1.0
2014-07-14,11.18,11.18,10.985,11.04,11.04,500.0,0.0,1.0
2014-07-15,10.985,11.25,10.98,10.98,10.98,400.0,0.0,1.0
2014-07-16,10.955,11.25,10.79,11.25,11.25,2900.0,0.0,1.0
2014-07-17,10.825,11.01,10.79,11.0,11.0,2600.0,0.0,1.0
2014-07-18,11.03,11.415,10.93,10.93,10.93,3500.0,0.0,1.0
2014-07-21,11.095,11.63,10.825,11.63,11.63,1700.0,0.0,1.0
2014-07-22,11.185,11.185,11.1,11.1,11.1,1000.0,0.0,1.0
2014-07-23,10.975,11.04,10.96,10.96,10.96,900.0,0.0,1.0
2014-07-24,10.975,10.975,10.97,10.97,10.97,900.0,0.0,1.0
2014-07-25,10.945,10.985,10.895,10.985,10.985,100.0,0.0,1.0
2014-07-28,11.545,11.59,11.405,11.405,11.405,1700.0,0.0,1.0
2014-07-29,11.405,11.405,11.405,11.405,11.405,0.0,0.0,1.0
2014-07-30,11.49,11.49,11.4,11.4,11.4,900.0,0.0,1.0
2014-07-31,11.4,11.4,11.4,11.4,11.4,0.0,0.0,1.0
2014-08-01,11.4,11.4,11.4,11.4,11.4,0.0,0.0,1.0
2014-08-04,11.4,11.4,11.4,11.4,11.4,0.0,0.0,1.0
2014-08-05,11.68,11.785,11.65,11.785,11.785,800.0,0.0,1.0
2014-08-06,11.785,11.785,11.785,11.785,11.785,0.0,0.0,1.0
2014-08-07,11.785,11.785,11.785,11.785,11.785,0.0,0.0,1.0
2014-08-08,11.785,11.785,11.785,11.785,11.785,0.0,0.0,1.0
2014-08-11,11.25,11.25,11.225,11.225,11.225,1600.0,0.0,1.0
2014-08-12,10.95,10.99,10.95,10.99,10.99,100.0,0.0,1.0
2014-08-13,11.5,11.5,11.5,11.5,11.5,200.0,0.0,1.0
2014-08-14,11.5,11.55,11.5,11.5,11.5,1000.0,0.0,1.0
2014-08-15,11.485,11.485,11.415,11.415,11.415,600.0,0.0,1.0
2014-08-18,11.415,11.415,11.415,11.415,11.415,0.0,0.0,1.0
2014-08-19,11.5,11.5,11.5,11.5,11.5,800.0,0.0,1.0
2014-08-20,11.45,11.45,11.25,11.25,11.25,1600.0,0.0,1.0
2014-08-21,11.25,11.25,11.25,11.25,11.25,0.0,0.0,1.0
2014-08-22,11.25,11.25,11.25,11.25,11.25,0.0,0.0,1.0
2014-08-25,11.415,11.415,11.415,11.415,11.415,0.0,0.0,1.0
2014-08-26,11.355,11.355,11.355,11.355,11.355,0.0,0.0,1.0
2014-08-27,11.5,11.5,11.5,11.5,11.5,4000.0,0.0,1.0
2014-08-28,11.5,11.5,11.25,11.5,11.5,1200.0,0.0,1.0
2014-08-29,11.75,11.75,11.25,11.55,11.55,4100.0,0.0,1.0
2014-09-02,11.95,12.2,11.69,11.945,11.945,11300.0,0.0,1.0
2014-09-03,11.94,12.1,11.935,12.015,12.015,6800.0,0.0,1.0
2014-09-04,12.1,12.355,12.05,12.21,12.21,7000.0,0.0,1.0
2014-09-05,12.35,12.355,12.12,12.205,12.205,7200.0,0.0,1.0
2014-09-08,12.22,12.435,12.125,12.14,12.14,5900.0,0.0,1.0
2014-09-09,12.295,12.3,12.25,12.285,12.285,3300.0,0.0,1.0
2014-09-10,12.265,12.265,11.75,11.85,11.85,4600.0,0.0,1.0
2014-09-11,11.885,12.075,11.715,12.025,12.025,2000.0,0.0,1.0
2014-09-12,11.805,11.965,11.7,11.79,11.79,2500.0,0.0,1.0
2014-09-15,11.77,11.77,11.715,11.715,11.715,800.0,0.0,1.0
2014-09-16,11.765,11.765,11.73,11.73,11.73,600.0,0.0,1.0
2014-09-17,11.845,11.845,11.495,11.8,11.8,2400.0,0.0,1.0
2014-09-18,11.75,11.755,11.37,11.755,11.755,800.0,0.0,1.0
2014-09-19,11.66,11.81,11.655,11.745,11.745,1800.0,0.0,1.0
2014-09-22,11.685,11.8,11.675,11.68,11.68,1100.0,0.0,1.0
2014-09-23,11.375,11.6,10.835,10.835,10.835,3800.0,0.0,1.0
2014-09-24,10.825,11.045,10.825,10.865,10.865,1100.0,0.0,1.0
2014-09-25,11.1,11.1,10.88,11.0,11.0,900.0,0.0,1.0
2014-09-26,10.975,11.0,10.945,10.945,10.945,1300.0,0.0,1.0
2014-09-29,11.0,11.0,10.14,10.21,10.21,4000.0,0.0,1.0
2014-09-30,10.255,11.005,10.2,10.75,10.75,2800.0,0.0,1.0
2014-10-01,10.24,10.715,10.24,10.7,10.7,2100.0,0.0,1.0
2014-10-02,10.665,10.85,10.43,10.8,10.8,1500.0,0.0,1.0
2014-10-03,10.895,10.925,10.525,10.525,10.525,6200.0,0.0,1.0
2014-10-06,11.17,11.17,10.4,10.76,10.76,2200.0,0.0,1.0
2014-10-07,10.675,10.675,10.3,10.3,10.3,1000.0,0.0,1.0
2014-10-08,10.1,10.2,9.85,10.15,10.15,1100.0,0.0,1.0
2014-10-09,10.565,10.595,10.24,10.35,10.35,1400.0,0.0,1.0
2014-10-10,10.49,10.5,10.45,10.5,10.5,900.0,0.0,1.0
2014-10-13,10.75,10.75,10.75,10.75,10.75,400.0,0.0,1.0
2014-10-14,10.455,10.455,10.26,10.395,10.395,1100.0,0.0,1.0
2014-10-15,10.225,10.225,9.515,9.53,9.53,5100.0,0.0,1.0
2014-10-16,10.05,10.05,10.05,10.05,10.05,500.0,0.0,1.0
2014-10-17,10.34,10.35,10.025,10.32,10.32,800.0,0.0,1.0
2014-10-20,10.6,10.6,10.6,10.6,10.6,400.0,0.0,1.0
2014-10-21,10.6,10.6,10.6,10.6,10.6,0.0,0.0,1.0
2014-10-22,11.56,12.0,11.56,12.0,12.0,500.0,0.0,1.0
2014-10-23,12.5,12.5,11.95,11.995,11.995,2300.0,0.0,1.0
2014-10-24,11.715,12.35,11.715,12.35,12.35,0.0,0.0,1.0
2014-10-27,12.255,12.255,11.9,11.995,11.995,1400.0,0.0,1.0
