date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-03-18,42.25,44.0,39.8,44.0,42.2294,101200.0,0.0,1.0
2003-03-19,42.5,43.5,42.5,43.25,41.5096,1900.0,0.0,1.0
2003-03-20,42.5,44.0,42.5,44.0,42.2294,13900.0,0.0,1.0
2003-03-21,44.6,44.6,43.0,44.0,42.2294,17400.0,0.0,1.0
2003-03-24,43.6,43.6,42.5,43.0,41.2696,14400.0,0.0,1.0
2003-03-25,43.25,43.25,42.75,43.25,41.5096,6700.0,0.0,1.0
2003-03-26,42.9,44.25,42.5,44.25,42.4693,1700.0,0.0,1.0
2003-03-27,43.75,44.35,43.0,44.0,42.2294,4100.0,0.0,1.0
2003-03-28,43.3,44.45,43.25,44.25,42.4693,37500.0,0.0,1.0
2003-03-31,43.5,45.6,43.25,45.1,43.2851,349700.0,0.0,1.0
2003-04-01,45.0,69.0,45.0,65.25,62.6243,750600.0,0.0,1.0
2003-04-02,64.75,73.25,64.75,68.15,65.4076,236400.0,0.0,1.0
2003-04-03,67.45,68.5,64.9,67.0,64.3038,115300.0,0.0,1.0
2003-04-04,66.75,68.0,60.75,62.15,59.649,154700.0,0.0,1.0
2003-04-07,62.5,69.0,61.5,65.75,63.1041,106700.0,0.0,1.0
2003-04-08,64.0,66.85,63.25,63.75,61.1846,74700.0,0.0,1.0
2003-04-09,63.2,67.35,63.2,66.7,64.0159,34200.0,0.0,1.0
2003-04-10,65.0,73.2,64.6,69.6,66.7992,61900.0,0.0,1.0
2003-04-11,69.3,69.65,67.85,68.3,65.5515,22500.0,0.0,1.0
2003-04-14,67.8,73.75,67.5,73.5,70.5423,41600.0,0.0,1.0
2003-04-15,71.2,74.9,71.15,74.85,71.838,22000.0,0.0,1.0
2003-04-16,74.95,77.75,73.85,74.45,71.454,31000.0,0.0,1.0
2003-04-17,74.0,76.7,72.75,75.5,72.4618,32500.0,0.0,1.0
2003-04-21,74.5,76.75,74.5,75.7,72.6537,55900.0,0.0,1.0
2003-04-22,75.45,85.0,74.2,83.75,80.3798,75100.0,0.0,1.0
2003-04-23,82.55,89.0,82.55,84.1,80.7157,59500.0,0.0,1.0
2003-04-24,84.05,85.45,82.5,83.0,79.66,12800.0,0.0,1.0
2003-04-25,81.75,83.75,81.5,82.1,78.7962,8100.0,0.0,1.0
2003-04-28,81.8,83.0,77.8,78.75,75.581,39000.0,0.0,1.0
2003-04-29,77.5,79.65,76.2,76.2,73.1336,25000.0,0.0,1.0
2003-04-30,76.3,78.45,71.25,74.15,71.1661,69200.0,0.0,1.0
2003-05-01,73.0,77.0,73.0,75.45,72.4138,56600.0,0.0,1.0
2003-05-02,76.75,77.35,73.5,74.15,71.1661,25700.0,0.0,1.0
2003-05-05,74.15,75.45,74.15,74.95,71.9339,10300.0,0.0,1.0
2003-05-06,74.95,75.2,72.35,72.75,69.8225,131100.0,0.0,1.0
2003-05-07,73.0,75.25,72.95,74.0,71.0222,69100.0,0.0,1.0
2003-05-08,72.5,73.8,72.0,73.5,70.5423,51700.0,0.0,1.0
2003-05-09,73.0,75.0,73.0,74.5,71.502,40600.0,0.0,1.0
2003-05-12,73.3,79.9,73.3,77.45,74.3333,47900.0,0.0,1.0
2003-05-13,77.45,88.75,77.45,87.3,83.7869,61000.0,0.0,1.0
2003-05-14,87.85,87.9,82.5,83.5,80.1399,39900.0,0.0,1.0
2003-05-15,83.95,85.95,83.0,85.2,81.7715,14200.0,0.0,1.0
2003-05-16,85.55,89.0,84.5,88.5,84.9387,64300.0,0.0,1.0
2003-05-19,88.05,88.3,85.1,86.5,83.0191,35800.0,0.0,1.0
2003-05-20,86.0,86.4,82.5,84.7,81.2916,12300.0,0.0,1.0
2003-05-21,83.1,85.15,82.2,82.35,79.0361,21900.0,0.0,1.0
2003-05-22,81.9,89.9,81.7,89.9,86.2823,25600.0,0.0,1.0
2003-05-23,88.95,91.5,84.3,88.4,84.8427,39400.0,0.0,1.0
2003-05-27,88.25,94.5,88.25,91.1,87.434,33000.0,0.0,1.0
2003-05-28,91.9,91.9,89.0,90.25,86.6182,18900.0,0.0,1.0
2003-05-29,89.0,90.65,87.15,89.1,85.5145,25400.0,0.0,1.0
2003-05-30,88.65,94.15,86.5,88.55,84.9867,30000.0,0.0,1.0
2003-06-02,87.75,90.0,86.85,88.95,85.3706,25400.0,0.0,1.0
2003-06-03,89.85,91.25,86.5,90.2,86.5703,31900.0,0.0,1.0
2003-06-04,89.5,90.6,87.0,88.2,84.6507,77300.0,0.0,1.0
2003-06-05,89.35,94.25,88.1,91.2,87.53,57200.0,0.0,1.0
2003-06-06,90.05,92.5,89.55,91.75,88.0579,22000.0,0.0,1.0
2003-06-09,89.35,92.25,89.05,90.4,86.7622,22200.0,0.0,1.0
2003-06-10,90.75,92.25,90.0,90.95,87.2901,12600.0,0.0,1.0
2003-06-11,90.85,92.05,90.3,90.5,86.8582,4300.0,0.0,1.0
2003-06-12,90.1,93.75,90.1,93.0,89.2576,5000.0,0.0,1.0
2003-06-13,93.0,94.0,90.5,92.0,88.2978,10400.0,0.0,1.0
2003-06-16,90.85,92.05,89.85,90.5,86.8582,3500.0,0.0,1.0
2003-06-17,90.85,92.8,90.1,91.45,87.77,3900.0,0.0,1.0
2003-06-18,92.1,94.35,92.1,93.4,89.6415,4900.0,0.0,1.0
2003-06-19,92.3,94.55,91.0,91.65,87.9619,9900.0,0.0,1.0
2003-06-20,91.0,92.45,91.0,91.7,88.0099,6000.0,0.0,1.0
2003-06-23,90.8,94.05,87.25,91.55,87.8659,29800.0,0.0,1.0
2003-06-24,91.1,92.25,90.35,90.4,86.7622,20500.0,0.0,1.0
2003-06-25,90.3,93.25,90.05,91.65,87.9619,6500.0,0.0,1.0
2003-06-26,91.8,95.0,90.6,93.65,89.8814,9200.0,0.0,1.0
2003-06-27,93.75,93.75,90.7,92.2,88.4898,9000.0,0.0,1.0
2003-06-30,92.1,95.2,90.7,94.4,90.6012,42900.0,0.0,1.0
2003-07-01,93.9,98.75,93.6,96.55,92.6647,17300.0,0.0,1.0
2003-07-02,95.75,100.1,95.65,99.45,95.448,14000.0,0.0,1.0
2003-07-03,99.15,102.25,99.15,101.5,97.4155,4100.0,0.0,1.0
2003-07-07,102.4,105.65,102.1,105.65,101.3985,15100.0,0.0,1.0
2003-07-08,105.65,118.9,105.6,116.4,111.7159,27700.0,0.0,1.0
2003-07-09,113.15,115.0,108.3,110.15,105.7174,38700.0,0.0,1.0
2003-07-10,109.85,115.05,109.85,114.2,109.6045,15000.0,0.0,1.0
