date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-04-11,9.0313,9.625,7.9375,8.5,8.1532,1102800.0,0.0,1.0
2000-04-12,8.75,8.75,7.9375,8.0,7.6736,177300.0,0.0,1.0
2000-04-13,8.0,8.5,8.0,8.125,7.7935,338000.0,0.0,1.0
2000-04-14,8.125,8.5,7.5,7.625,7.3139,81200.0,0.0,1.0
2000-04-17,8.0,8.0,7.375,7.5,7.194,108900.0,0.0,1.0
2000-04-18,7.5,8.0,7.5,7.875,7.5537,179400.0,0.0,1.0
2000-04-19,7.875,7.875,7.625,7.875,7.5537,26700.0,0.0,1.0
2000-04-20,7.75,8.0,7.75,8.0,7.6736,7300.0,0.0,1.0
2000-04-24,8.0,8.0,7.625,7.8125,7.4938,36600.0,0.0,1.0
2000-04-25,7.75,8.0,7.75,7.875,7.5537,15800.0,0.0,1.0
2000-04-26,7.875,8.0,7.875,7.875,7.5537,79800.0,0.0,1.0
2000-04-27,7.875,8.1875,7.875,8.1875,7.8535,28500.0,0.0,1.0
2000-04-28,8.5,10.125,7.875,10.125,9.7119,60000.0,0.0,1.0
2000-05-01,11.0,11.0,8.625,9.0,8.6328,74100.0,0.0,1.0
2000-05-02,8.875,9.0,8.5,8.8125,8.453,46100.0,0.0,1.0
2000-05-03,8.625,8.9375,8.25,8.25,7.9134,16400.0,0.0,1.0
2000-05-04,8.1875,8.875,8.1875,8.4688,8.1232,22300.0,0.0,1.0
2000-05-05,8.125,8.375,8.0625,8.125,7.7935,3600.0,0.0,1.0
2000-05-08,7.75,8.0,7.7188,7.75,7.4338,18100.0,0.0,1.0
2000-05-09,7.75,7.875,7.5,7.5,7.194,9100.0,0.0,1.0
2000-05-10,7.5,8.0,7.1563,8.0,7.6736,103700.0,0.0,1.0
2000-05-11,7.9375,8.2969,7.7813,7.7813,7.4638,6100.0,0.0,1.0
2000-05-12,7.875,8.0,7.75,7.75,7.4338,18200.0,0.0,1.0
2000-05-15,7.9063,7.9063,7.375,7.375,7.0741,13900.0,0.0,1.0
2000-05-16,7.5,7.5,7.125,7.125,6.8343,27300.0,0.0,1.0
2000-05-17,7.125,7.5,6.5,6.625,6.3547,20600.0,0.0,1.0
2000-05-18,6.4375,6.5,6.0938,6.125,5.8751,24100.0,0.0,1.0
2000-05-19,6.125,6.8125,6.125,6.625,6.3547,10000.0,0.0,1.0
2000-05-22,6.2188,6.8438,5.3125,5.5,5.2756,23300.0,0.0,1.0
2000-05-23,6.125,6.125,5.125,5.4375,5.2157,25200.0,0.0,1.0
2000-05-24,5.125,5.4375,4.5,4.75,4.5562,59400.0,0.0,1.0
2000-05-25,4.625,4.75,4.5,4.5,4.3164,38300.0,0.0,1.0
2000-05-26,4.75,4.75,3.4375,3.75,3.597,64600.0,0.0,1.0
2000-05-30,3.6875,3.875,3.125,3.625,3.4771,332500.0,0.0,1.0
2000-05-31,3.8125,4.5,3.8125,4.5,4.3164,16400.0,0.0,1.0
2000-06-01,4.625,7.0625,4.625,6.1406,5.8901,16300.0,0.0,1.0
2000-06-02,6.2813,6.75,6.0,6.0,5.7552,22000.0,0.0,1.0
2000-06-05,5.875,6.0,5.375,5.375,5.1557,4800.0,0.0,1.0
2000-06-06,5.375,6.125,5.25,6.0,5.7552,14300.0,0.0,1.0
2000-06-07,6.0,6.0,4.875,5.25,5.0358,7000.0,0.0,1.0
2000-06-08,5.5,6.75,5.5,6.375,6.1149,17000.0,0.0,1.0
2000-06-09,6.125,6.25,5.75,6.0,5.7552,3800.0,0.0,1.0
2000-06-12,6.75,6.75,5.875,6.0,5.7552,1000.0,0.0,1.0
2000-06-13,5.875,6.0,5.875,6.0,5.7552,1000.0,0.0,1.0
2000-06-14,5.875,5.875,5.0313,5.0313,4.826,6900.0,0.0,1.0
2000-06-15,5.0,5.9375,4.75,4.75,4.5562,25900.0,0.0,1.0
2000-06-16,5.375,5.375,4.75,5.125,4.9159,3800.0,0.0,1.0
2000-06-19,5.0,5.5,4.75,4.75,4.5562,7600.0,0.0,1.0
2000-06-20,5.0,5.0625,4.9375,4.9375,4.7361,8500.0,0.0,1.0
2000-06-21,5.0,5.125,4.875,5.125,4.9159,10800.0,0.0,1.0
2000-06-22,5.125,5.5,5.125,5.375,5.1557,2100.0,0.0,1.0
2000-06-23,5.25,5.25,5.125,5.25,5.0358,41800.0,0.0,1.0
2000-06-26,5.125,5.375,5.125,5.375,5.1557,18400.0,0.0,1.0
2000-06-27,5.125,5.5,5.125,5.25,5.0358,1158600.0,0.0,1.0
2000-06-28,5.5,5.5,5.125,5.25,5.0358,2700.0,0.0,1.0
2000-06-29,5.125,5.5,5.125,5.25,5.0358,8700.0,0.0,1.0
2000-06-30,6.0,6.0,5.375,5.5,5.2756,26700.0,0.0,1.0
2000-07-03,5.4375,5.5,5.4375,5.5,5.2756,2100.0,0.0,1.0
2000-07-05,5.375,6.0,5.375,5.4063,5.1857,11800.0,0.0,1.0
2000-07-06,6.0,6.0,5.375,5.375,5.1557,2700.0,0.0,1.0
2000-07-07,5.5,5.5,5.5,5.5,5.2756,500.0,0.0,1.0
2000-07-10,5.375,6.5,5.375,5.5,5.2756,6700.0,0.0,1.0
2000-07-11,5.5,6.0,5.5,5.5,5.2756,700.0,0.0,1.0
2000-07-12,5.5,6.0,5.375,5.375,5.1557,7000.0,0.0,1.0
2000-07-13,5.5,5.75,5.375,5.75,5.5154,9600.0,0.0,1.0
2000-07-14,5.375,5.375,5.0,5.125,4.9159,17000.0,0.0,1.0
2000-07-17,5.0,5.5,5.0,5.5,5.2756,10700.0,0.0,1.0
2000-07-18,5.1875,5.375,5.125,5.125,4.9159,106900.0,0.0,1.0
