date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-06-07,10.1,10.2,10.08,10.1,10.1,3717200.0,0.0,1.0
2019-06-10,10.1,10.12,10.09,10.1,10.1,882600.0,0.0,1.0
2019-06-11,10.1,10.1,10.08,10.08,10.08,259100.0,0.0,1.0
2019-06-12,10.084,10.097,10.084,10.09,10.09,15800.0,0.0,1.0
2019-06-13,10.09,10.1,10.09,10.09,10.09,39000.0,0.0,1.0
2019-06-14,10.09,10.1,10.06,10.1,10.1,31700.0,0.0,1.0
2019-06-17,10.08,10.11,10.08,10.11,10.11,1000.0,0.0,1.0
2019-06-18,10.1,10.1,10.1,10.1,10.1,800.0,0.0,1.0
2019-06-19,10.147,10.147,10.1,10.11,10.11,9200.0,0.0,1.0
2019-06-20,10.11,10.11,10.09,10.1,10.1,107900.0,0.0,1.0
2019-06-21,10.1,10.1,10.097,10.1,10.1,5600.0,0.0,1.0
2019-06-24,10.1,10.1,10.1,10.1,10.1,100.0,0.0,1.0
2019-06-25,10.1,10.13,10.1,10.11,10.11,127800.0,0.0,1.0
2019-06-26,10.15,10.19,10.15,10.19,10.19,2600.0,0.0,1.0
2019-06-27,10.187,10.211,10.187,10.211,10.211,66100.0,0.0,1.0
2019-06-28,10.224,10.224,10.21,10.21,10.21,500.0,0.0,1.0
2019-07-01,10.172,10.2,10.172,10.2,10.2,400.0,0.0,1.0
2019-07-02,10.18,10.2,10.17,10.17,10.17,4500.0,0.0,1.0
2019-07-03,10.16,10.17,10.16,10.17,10.17,300.0,0.0,1.0
2019-07-05,10.17,10.17,10.17,10.17,10.17,0.0,0.0,1.0
2019-07-08,10.15,10.24,10.15,10.18,10.18,28800.0,0.0,1.0
2019-07-09,10.15,10.25,10.15,10.236,10.236,32100.0,0.0,1.0
2019-07-10,10.23,10.23,10.23,10.23,10.23,200.0,0.0,1.0
2019-07-11,10.3,10.3,10.3,10.3,10.3,500.0,0.0,1.0
2019-07-12,10.25,10.3,10.23,10.3,10.3,27400.0,0.0,1.0
2019-07-15,10.2,10.3,10.2,10.25,10.25,277100.0,0.0,1.0
2019-07-16,10.25,10.25,10.25,10.25,10.25,0.0,0.0,1.0
2019-07-17,10.24,10.24,10.219,10.225,10.225,16200.0,0.0,1.0
2019-07-18,10.15,10.29,10.15,10.29,10.29,600.0,0.0,1.0
2019-07-19,10.205,10.29,10.205,10.28,10.28,278700.0,0.0,1.0
2019-07-22,10.25,10.3,10.25,10.29,10.29,9000.0,0.0,1.0
2019-07-23,10.29,10.35,10.29,10.33,10.33,248300.0,0.0,1.0
2019-07-24,10.33,10.33,10.3,10.31,10.31,67500.0,0.0,1.0
2019-07-25,10.3,10.331,10.3,10.331,10.331,61500.0,0.0,1.0
2019-07-26,10.33,10.33,10.33,10.33,10.33,20000.0,0.0,1.0
2019-07-29,10.3,10.35,10.3,10.35,10.35,351300.0,0.0,1.0
2019-07-30,10.33,10.33,10.33,10.33,10.33,155000.0,0.0,1.0
2019-07-31,10.3,10.3,10.3,10.3,10.3,12900.0,0.0,1.0
2019-08-01,10.33,10.33,10.3,10.3,10.3,12900.0,0.0,1.0
2019-08-02,10.37,10.37,10.318,10.321,10.321,4700.0,0.0,1.0
2019-08-05,10.32,10.37,10.32,10.355,10.355,4900.0,0.0,1.0
2019-08-06,10.35,10.35,10.35,10.35,10.35,7400.0,0.0,1.0
2019-08-07,10.35,10.35,10.35,10.35,10.35,7400.0,0.0,1.0
2019-08-08,10.37,10.37,10.37,10.37,10.37,1000.0,0.0,1.0
