date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-11-01,301.5625,307.8125,300.0,300.0,300.0,18200.0,0.0,1.0
2000-11-02,305.8594,307.8125,300.0,301.5625,301.5625,17900.0,0.0,1.0
2000-11-03,300.0,301.5625,251.5625,259.375,259.375,43300.0,0.0,1.0
2000-11-06,263.2813,275.0,253.125,256.25,256.25,44900.0,0.0,1.0
2000-11-07,261.7188,267.1875,248.4375,251.5625,251.5625,16700.0,0.0,1.0
2000-11-08,256.25,262.5,253.125,260.9375,260.9375,6900.0,0.0,1.0
2000-11-09,259.375,279.6875,256.25,264.0625,264.0625,6100.0,0.0,1.0
2000-11-10,264.8438,265.625,250.0,250.0,250.0,5900.0,0.0,1.0
2000-11-13,253.5156,258.9844,248.4375,250.0,250.0,11200.0,0.0,1.0
2000-11-14,259.375,259.375,250.0,250.0,250.0,3400.0,0.0,1.0
2000-11-15,251.5625,253.125,250.0,250.0,250.0,6700.0,0.0,1.0
2000-11-16,251.5625,251.5625,212.5,212.5,212.5,4300.0,0.0,1.0
2000-11-17,218.3594,218.3594,200.0,206.25,206.25,21300.0,0.0,1.0
2000-11-20,198.4375,203.125,192.1875,198.4375,198.4375,2600.0,0.0,1.0
2000-11-21,197.2656,200.0,150.0,162.5,162.5,12100.0,0.0,1.0
2000-11-22,165.625,165.625,151.5625,157.0313,157.0313,7400.0,0.0,1.0
2000-11-24,164.0625,171.875,159.375,171.875,171.875,900.0,0.0,1.0
2000-11-27,167.5781,182.0313,164.0625,171.875,171.875,2700.0,0.0,1.0
2000-11-28,165.625,176.5625,153.125,159.375,159.375,4500.0,0.0,1.0
2000-11-29,153.125,159.375,112.5,123.4375,123.4375,8100.0,0.0,1.0
2000-11-30,124.6094,153.125,100.0,101.5625,101.5625,23100.0,0.0,1.0
2000-12-01,97.6563,103.125,93.75,98.4375,98.4375,7900.0,0.0,1.0
2000-12-04,100.7813,105.4688,97.6563,100.7813,100.7813,4600.0,0.0,1.0
2000-12-05,100.7813,101.5625,100.0,100.0,100.0,7600.0,0.0,1.0
