date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,14.85,14.85,13.6,14.8,9.0758,32100.0,0.0,1.0
1999-08-11,14.4,14.8,14.4,14.8,9.0758,300.0,0.0,1.0
1999-08-12,14.9,16.0,14.9,15.4,9.4438,4100.0,0.0,1.0
1999-08-13,15.8,16.0,15.8,15.8,9.6891,4000.0,0.0,1.0
1999-08-16,15.8,15.8,15.4,15.4,9.4438,800.0,0.0,1.0
1999-08-17,15.2,15.2,14.8,15.1,9.2598,4200.0,0.0,1.0
1999-08-18,14.6,15.2,14.5,14.8,9.0758,3600.0,0.0,1.0
1999-08-19,15.175,15.175,14.8,14.8,9.0758,69200.0,0.0,1.0
1999-08-20,15.1,15.1,15.1,15.1,9.2598,3100.0,0.0,1.0
1999-08-23,15.35,15.35,15.2,15.3,9.3824,2100.0,0.0,1.0
1999-08-24,15.0,15.2,15.0,15.0,9.1985,7600.0,0.0,1.0
1999-08-25,15.0,15.05,15.0,15.0,9.1985,2000.0,0.0,1.0
1999-08-26,15.35,15.8,15.3,15.8,9.6891,20300.0,0.0,1.0
1999-08-27,15.2,15.2,15.0,15.0,9.1985,3200.0,0.0,1.0
1999-08-30,15.1,15.1,15.1,15.1,9.2598,100.0,0.0,1.0
1999-08-31,15.3,15.3,15.3,15.3,9.3824,5000.0,0.0,1.0
1999-09-01,15.8,15.8,14.8,14.8,9.0758,10500.0,0.0,1.0
1999-09-02,14.8,15.2,14.8,15.2,9.3211,6200.0,0.0,1.0
1999-09-03,15.6,15.6,14.8,14.8,9.0758,3800.0,0.0,1.0
1999-09-07,14.8,14.8,14.8,14.8,9.0758,3700.0,0.0,1.0
1999-09-08,15.6,15.6,15.6,15.6,9.5664,500.0,0.0,1.0
1999-09-09,14.6,14.8,14.45,14.7,9.0145,1500.0,0.0,1.0
1999-09-10,14.6,14.6,14.45,14.45,8.8612,19600.0,0.0,1.0
1999-09-13,14.45,14.5,14.4,14.4,8.8305,2500.0,0.0,1.0
1999-09-14,14.55,14.55,14.55,14.55,8.9225,2600.0,0.0,1.0
1999-09-15,14.55,14.55,14.4,14.4,8.8305,2200.0,0.0,1.0
1999-09-16,15.0,15.6,14.4,14.45,8.8612,10800.0,0.0,1.0
1999-09-17,14.5,14.8,14.4,14.4,8.8305,4500.0,0.0,1.0
1999-09-20,14.4,14.4,14.4,14.4,8.8305,0.0,0.0,1.0
1999-09-21,14.6,14.6,14.4,14.4,8.8305,800.0,0.0,1.0
1999-09-22,14.4,14.4,14.4,14.4,8.8305,6700.0,0.0,1.0
1999-09-23,14.4,14.45,14.4,14.4,8.8305,5700.0,0.0,1.0
1999-09-24,14.45,14.45,14.4,14.4,8.8305,6500.0,0.0,1.0
1999-09-27,14.35,14.35,14.1,14.1,8.7241,1000.0,0.128,1.0
1999-09-28,14.1,14.1,13.6,13.9,8.6004,5500.0,0.0,1.0
1999-09-29,13.6,14.0,13.6,13.65,8.4457,3700.0,0.0,1.0
1999-09-30,13.95,13.95,13.55,13.55,8.3838,1000.0,0.0,1.0
1999-10-01,13.6,13.7,13.15,13.7,8.4766,83100.0,0.0,1.0
1999-10-04,13.5,13.7,13.5,13.6,8.4147,3200.0,0.0,1.0
1999-10-05,13.5,13.5,13.2,13.5,8.3529,5100.0,0.0,1.0
1999-10-06,13.3,13.3,13.1,13.2,8.1672,7500.0,0.0,1.0
1999-10-07,13.5,13.5,13.0,13.0,8.0435,5500.0,0.0,1.0
1999-10-08,12.9,12.9,12.8,12.8,7.9198,21700.0,0.0,1.0
1999-10-11,12.9,13.05,12.9,12.95,8.0126,19100.0,0.0,1.0
1999-10-12,13.15,13.9,13.15,13.8,8.5385,7700.0,0.0,1.0
1999-10-13,14.0,14.0,13.45,13.45,8.3219,7800.0,0.0,1.0
1999-10-14,13.65,13.75,13.5,13.75,8.5075,7700.0,0.0,1.0
1999-10-15,13.6,13.7,12.6,13.2,8.1672,6300.0,0.0,1.0
1999-10-18,13.2,13.2,13.2,13.2,8.1672,0.0,0.0,1.0
1999-10-19,13.4,13.5,12.8,12.8,7.9198,5700.0,0.0,1.0
1999-10-20,13.2,13.2,13.0,13.0,8.0435,9000.0,0.0,1.0
1999-10-21,12.8,13.0,12.8,12.8,7.9198,4500.0,0.0,1.0
1999-10-22,12.7,13.8,12.0,13.8,8.5385,58100.0,0.0,1.0
1999-10-25,13.425,13.8,13.425,13.8,8.5385,10100.0,0.0,1.0
1999-10-26,13.7,13.9,13.6,13.6,8.4147,8600.0,0.0,1.0
