date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-08-03,24.85,25.1,24.85,25.01,19.6165,199400.0,0.0,1.0
2015-08-04,25.01,25.1,24.85,25.0,19.6087,112500.0,0.0,1.0
2015-08-05,25.0,25.05,24.85,24.98,19.593,46000.0,0.0,1.0
2015-08-06,25.0,25.1,24.9,25.1,19.6871,59000.0,0.0,1.0
2015-08-07,25.1,25.17,24.9,25.14,19.7185,86000.0,0.0,1.0
2015-08-10,25.14,25.2,25.05,25.2,19.7655,31300.0,0.0,1.0
2015-08-11,25.15,25.26,25.1,25.1,19.6871,46100.0,0.0,1.0
2015-08-12,25.1,25.2,24.8,25.05,19.6479,19000.0,0.0,1.0
2015-08-13,25.1,25.1,24.8,25.07,19.6636,25700.0,0.0,1.0
2015-08-14,25.08,25.1,24.8,24.8,19.4518,79200.0,0.0,1.0
2015-08-17,24.95,25.0,24.9,25.0,19.6087,30800.0,0.0,1.0
2015-08-18,25.02,25.05,25.0,25.02,19.6244,12000.0,0.0,1.0
2015-08-19,25.04,25.15,25.04,25.15,19.7263,15400.0,0.0,1.0
2015-08-20,25.0,25.2,25.0,25.14,19.7185,7100.0,0.0,1.0
2015-08-21,25.14,25.14,25.0,25.1,19.6871,2900.0,0.0,1.0
2015-08-24,24.5,25.25,24.5,24.8,19.4518,13000.0,0.0,1.0
2015-08-25,24.8,25.4,24.8,25.34,19.8753,24700.0,0.0,1.0
2015-08-26,25.37,25.37,24.75,24.85,19.491,15800.0,0.0,1.0
2015-08-27,24.75,25.2,24.75,24.99,19.6008,33100.0,0.0,1.0
2015-08-28,24.98,25.05,24.81,25.0,19.6087,4700.0,0.0,1.0
2015-08-31,25.0,25.05,24.9,25.0,19.6087,50800.0,0.0,1.0
2015-09-01,24.88,25.0,24.8,24.95,19.5695,8800.0,0.0,1.0
2015-09-02,25.09,25.1,24.95,25.07,19.6636,22300.0,0.0,1.0
2015-09-03,25.1,25.19,25.0,25.05,19.6479,28500.0,0.0,1.0
2015-09-04,25.06,25.2,24.77,25.09,19.6793,21900.0,0.0,1.0
2015-09-08,25.09,25.09,24.8,24.81,19.4596,35100.0,0.0,1.0
2015-09-09,24.99,24.99,24.79,24.85,19.491,15500.0,0.0,1.0
2015-09-10,24.75,25.0,24.75,24.91,19.5381,26000.0,0.0,1.0
2015-09-11,24.95,24.95,24.9,24.9,19.5302,7700.0,0.0,1.0
2015-09-14,24.89,25.01,24.89,24.92,19.5459,14700.0,0.0,1.0
2015-09-15,24.9,24.99,24.9,24.99,19.6008,9500.0,0.0,1.0
2015-09-16,24.99,24.99,24.97,24.99,19.6008,30100.0,0.0,1.0
2015-09-17,24.75,25.05,24.75,25.03,19.6322,23500.0,0.0,1.0
2015-09-18,24.97,25.189,24.95,25.189,19.7569,48900.0,0.0,1.0
2015-09-21,25.18,25.19,25.0,25.0,19.6087,15700.0,0.0,1.0
2015-09-22,25.1,25.29,24.962,25.29,19.8361,72200.0,0.0,1.0
2015-09-23,25.29,25.4,25.199,25.397,19.9201,24100.0,0.0,1.0
2015-09-24,25.4,25.49,25.15,25.3,19.844,28600.0,0.0,1.0
2015-09-25,25.21,25.45,25.21,25.44,19.9538,4600.0,0.0,1.0
2015-09-28,25.38,25.38,25.01,25.36,19.891,6900.0,0.0,1.0
