date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-05-23,14.0,16.898,10.2,11.19,11.19,1718600.0,0.0,1.0
2019-05-24,11.2,11.8,10.82,11.25,11.25,313000.0,0.0,1.0
2019-05-28,11.25,11.65,10.64,11.39,11.39,174000.0,0.0,1.0
2019-05-29,11.58,11.95,10.891,11.95,11.95,151300.0,0.0,1.0
2019-05-30,11.95,12.07,11.2,11.54,11.54,120000.0,0.0,1.0
2019-05-31,11.36,12.11,11.2,11.87,11.87,73900.0,0.0,1.0
2019-06-03,12.07,12.63,11.41,11.6,11.6,141700.0,0.0,1.0
2019-06-04,11.5,12.05,11.5,11.86,11.86,60300.0,0.0,1.0
2019-06-05,11.6,11.89,11.51,11.7,11.7,34000.0,0.0,1.0
2019-06-06,11.716,11.89,11.447,11.48,11.48,35500.0,0.0,1.0
2019-06-07,11.59,11.59,9.1,10.52,10.52,254000.0,0.0,1.0
2019-06-10,10.54,11.21,9.61,10.76,10.76,133100.0,0.0,1.0
2019-06-11,10.82,11.23,9.81,11.12,11.12,30300.0,0.0,1.0
2019-06-12,11.0,11.73,10.655,10.79,10.79,64800.0,0.0,1.0
2019-06-13,10.74,11.0,10.511,10.65,10.65,20400.0,0.0,1.0
2019-06-14,10.62,10.93,9.85,10.82,10.82,42400.0,0.0,1.0
2019-06-17,10.82,11.4,10.687,10.92,10.92,61500.0,0.0,1.0
2019-06-18,10.99,11.13,10.865,10.9,10.9,31300.0,0.0,1.0
2019-06-19,10.804,11.08,10.01,10.74,10.74,15600.0,0.0,1.0
2019-06-20,10.44,10.78,9.958,10.47,10.47,73900.0,0.0,1.0
2019-06-21,10.38,11.059,9.52,9.58,9.58,72700.0,0.0,1.0
2019-06-24,9.5,10.61,9.035,9.97,9.97,48100.0,0.0,1.0
2019-06-25,10.0,10.661,9.6,9.87,9.87,25100.0,0.0,1.0
2019-06-26,9.9,10.35,9.81,9.81,9.81,9400.0,0.0,1.0
2019-06-27,9.9,10.18,9.823,10.06,10.06,9100.0,0.0,1.0
2019-06-28,10.08,10.363,9.611,9.96,9.96,38500.0,0.0,1.0
2019-07-01,10.08,10.308,8.96,9.6,9.6,49400.0,0.0,1.0
2019-07-02,9.61,9.71,8.75,9.1,9.1,36700.0,0.0,1.0
2019-07-03,9.1,9.416,8.62,8.62,8.62,26300.0,0.0,1.0
2019-07-05,8.7,9.12,8.0,8.01,8.01,66200.0,0.0,1.0
2019-07-08,8.06,8.46,7.95,8.15,8.15,43300.0,0.0,1.0
2019-07-09,8.11,8.183,7.61,7.88,7.88,41300.0,0.0,1.0
2019-07-10,7.88,8.39,7.71,7.77,7.77,33100.0,0.0,1.0
2019-07-11,7.8,8.32,7.8,8.04,8.04,34200.0,0.0,1.0
2019-07-12,8.11,8.75,8.053,8.6,8.6,38700.0,0.0,1.0
2019-07-15,8.7,8.8,8.03,8.29,8.29,19200.0,0.0,1.0
2019-07-16,8.19,8.47,8.0,8.02,8.02,15900.0,0.0,1.0
2019-07-17,8.04,8.2,7.72,7.97,7.97,12300.0,0.0,1.0
2019-07-18,7.71,8.2,7.71,7.83,7.83,18900.0,0.0,1.0
2019-07-19,7.88,8.716,7.3,7.83,7.83,28400.0,0.0,1.0
2019-07-22,7.85,8.25,6.81,7.21,7.21,23400.0,0.0,1.0
2019-07-23,7.25,7.803,6.69,6.82,6.82,27900.0,0.0,1.0
2019-07-24,6.7,7.313,6.7,6.8,6.8,19500.0,0.0,1.0
2019-07-25,6.81,7.02,6.678,6.72,6.72,12500.0,0.0,1.0
2019-07-26,7.0,7.0,6.7,6.77,6.77,13400.0,0.0,1.0
2019-07-29,6.95,7.17,6.8,7.12,7.12,18200.0,0.0,1.0
2019-07-30,7.07,7.2,6.804,6.9,6.9,9900.0,0.0,1.0
2019-07-31,6.82,7.2,6.82,7.11,7.11,13400.0,0.0,1.0
2019-08-01,6.854,8.0,6.854,7.07,7.07,5300.0,0.0,1.0
2019-08-02,7.31,7.31,6.7,6.81,6.81,9100.0,0.0,1.0
2019-08-05,6.72,7.01,6.7,6.7,6.7,10500.0,0.0,1.0
2019-08-06,6.71,6.988,6.71,6.85,6.85,3400.0,0.0,1.0
2019-08-07,6.7,6.768,6.55,6.74,6.74,6100.0,0.0,1.0
2019-08-08,6.79,6.88,6.56,6.77,6.77,12300.0,0.0,1.0
2019-08-09,6.624,6.83,6.63,6.78,6.78,4037.0,0.0,1.0
